model_entrez,model_symbol,human_entrez,human_symbol,species
37625,CG9826,10050,SLC17A4,fly
35745,MFS12,10050,SLC17A4,fly
37427,MFS16,10050,SLC17A4,fly
47253,dmGlut,10050,SLC17A4,fly
43761,CG2003,10050,SLC17A4,fly
46085,MFS14,10050,SLC17A4,fly
40506,Arf79F,100506084,ARL17A|ARL17B|LOC100996709,fly
38203,CG13920,100506144,TMEM35B,fly
37068,Hsf,100506164,HSFX1,fly
32663,CG9609,100506243,KRBOX1,fly
42585,Theg,100506564,THEGL,fly
40171,Su(Tpl),100506658,OCLN,fly
39173,Dronc,100506742,CASP12,fly
42008,Decay,100506742,CASP12,fly
32104,CG11696,100507290,ZNF865,fly
35262,CG10631,100507290,ZNF865,fly
43070,CG11902,100507290,ZNF865,fly
32932,narya,100507650,RNF212B,fly
318572,nenya,100507650,RNF212B,fly
37736,Eglp1,100509620,AQP7B,fly
37739,Eglp4,100509620,AQP7B,fly
37737,Eglp2,100509620,AQP7B,fly
37738,Eglp3,100509620,AQP7B,fly
35001,glu,10051,SMC4,fly
44496,Uba2,10054,UBA2,fly
41532,Aos1,10055,SAE1,fly
42888,beta-PheRS,10056,FARSB,fly
34148,CG7627,10057,ABCC5,fly
37428,CG10505,10057,ABCC5,fly
35163,CG31792,10057,ABCC5,fly
34686,MRP,10057,ABCC5,fly
35366,CG9270,10057,ABCC5,fly
41387,Mrp4,10057,ABCC5,fly
42362,CG4562,10057,ABCC5,fly
43451,CG11898,10057,ABCC5,fly
47905,l(2)03659,10057,ABCC5,fly
43450,rdog,10057,ABCC5,fly
41925,Hmt-1,10058,ABCB6,fly
34148,CG7627,10060,ABCC9,fly
35163,CG31792,10060,ABCC9,fly
35366,CG9270,10060,ABCC9,fly
34686,MRP,10060,ABCC9,fly
37428,CG10505,10060,ABCC9,fly
41387,Mrp4,10060,ABCC9,fly
42362,CG4562,10060,ABCC9,fly
43451,CG11898,10060,ABCC9,fly
43450,rdog,10060,ABCC9,fly
47905,l(2)03659,10060,ABCC9,fly
32508,CG9281,10061,ABCF2,fly
35540,EcR,10062,NR1H3,fly
42993,Hr96,10062,NR1H3,fly
3355096,Tim23,100652748,TIMM23B,fly
32470,Scamp,10066,SCAMP2,fly
32470,Scamp,10067,SCAMP3,fly
246548,CG30338,10069,RWDD2B,fly
40996,DppIII,10072,DPP3,fly
38332,CG42304,10073,SNUPN,fly
7354429,Snup,10073,SNUPN,fly
32510,HUWE1,10075,HUWE1,fly
39174,CG6674,10078,TSSC4,fly
32609,CG9981,10079,ATP9A,fly
32610,CG4301,10079,ATP9A,fly
34736,CG31729,10079,ATP9A,fly
38928,cert,10087,CERT1,fly
41173,p23,100885848,PTGES3L,fly
32020,Ork1,10089,KCNK7,fly
35777,sand,10089,KCNK7,fly
37398,CG34396,10089,KCNK7,fly
41125,Task7,10089,KCNK7,fly
7354472,CG42340,10089,KCNK7,fly
42222,CG10864,10089,KCNK7,fly
41671,Task6,10089,KCNK7,fly
8674091,CG42594,10089,KCNK7,fly
40104,pip,10090,UST,fly
33444,Arpc5,10092,ARPC5,fly
33864,Arpc4,10093,ARPC4,fly
32696,Arpc3B,10094,ARPC3,fly
41917,Arpc3A,10094,ARPC3,fly
34793,Arpc1,10095,ARPC1B,fly
38898,Arp3,10096,ACTR3,fly
32623,Arp2,10097,ACTR2,fly
31293,N,100996717,NOTCH2NLC,fly
31293,N,100996763,NOTCH2NLB,fly
40282,CG4858,10101,NUBP2,fly
35060,mEFTs,10102,TSFM,fly
39573,CG7768,10105,PPIF,fly
37524,GM130,101059918,GOLGA8R,fly
39748,hzg,10106,CTDSP2,fly
31267,CG2712,101060200,ZNF891,fly
39697,Phs,101060200,ZNF891,fly
41445,CG3281,101060200,ZNF891,fly
35311,Arpc2,10109,ARPC2,fly
37564,rad50,10111,RAD50,fly
33862,CG9175,10113,PREB,fly
38070,Hipk,10114,HIPK3,fly
37344,Fem-1,10116,FEM1B,fly
41566,Arp1,10121,ACTR1A,fly
36303,CG8407,10126,DNAL4,fly
31095,Lrpprc2,10128,LRPPRC,fly
35100,bsf,10128,LRPPRC,fly
39122,fry,10129,FRY,fly
34976,CaBP1,10130,PDIA6,fly
35559,Trap1,10131,TRAP1,fly
38096,CG13887,10134,BCAP31,fly
41431,glo,10137,RBM12,fly
44095,fus,10137,RBM12,fly
37601,RYBP,10138,YAF2,fly
31841,Arfrp1,10139,ARFRP1,fly
32574,Tob,10140,TOB1,fly
37012,CG6424,10144,FAM13A,fly
47998,rin,10146,G3BP1,fly
40661,CG31550,10147,SUGP2,fly
36945,mbl,10150,MBNL2,fly
39240,CG7839,10153,CEBPZ,fly
43832,PlexA,10154,PLXNC1,fly
43766,PlexB,10154,PLXNC1,fly
32754,raskol,10156,RASA4,fly
39158,RasGAP1,10156,RASA4,fly
34064,LKRSDH,10157,AASS,fly
41104,ATP6AP2,10159,ATP6AP2,fly
40093,nes,10162,LPCAT3,fly
34519,SCAR,10163,WASF2,fly
33913,CG9550,10164,CHST4,fly
33914,CG31637,10164,CHST4,fly
32338,Rtc1,10171,RCL1,fly
37218,EndoB,10174,SORBS3,fly
37014,Dlish,10174,SORBS3,fly
34967,cni,10175,CNIH1,fly
33175,CG11454,10179,RBM7,fly
42453,Cdk2,1018,CDK3,fly
33304,CG4887,10180,RBM6,fly
33305,CG4896,10180,RBM6,fly
33304,CG4887,10181,RBM5,fly
33305,CG4896,10181,RBM5,fly
37991,CG3770,10184,LHFPL2,fly
37991,CG3770,10186,LHFPL6,fly
38489,Ack,10188,TNK2,fly
41305,CG4511,10190,TXNDC9,fly
37068,Hsf,101927685,HSFX4,fly
37068,Hsf,101928917,HSFX3,fly
31293,N,101929796,NOTCH2NLR,fly
39735,elgi,10193,RNF41,fly
35430,tsh,10194,TSHZ1,fly
44272,tio,10194,TSHZ1,fly
37754,Alg3,10195,ALG3,fly
317885,CG32152,10196,PRMT3,fly
41837,Art3,10196,PRMT3,fly
41698,Art9,10196,PRMT3,fly
41699,Art6,10196,PRMT3,fly
32274,REG,10197,PSME3,fly
34184,CG13097,10199,MPHOSPH10,fly
32561,mmd,102,ADAM10,fly
34772,kuz,102,ADAM10,fly
36727,Cdk5,1020,CDK5,fly
32396,nmdyn-D6,10201,NME6,fly
30972,CG13377,10202,DHRS2,fly
318794,CG31548,10202,DHRS2,fly
31046,CG3699,10202,DHRS2,fly
40689,CG31549,10202,DHRS2,fly
40690,CG12171,10202,DHRS2,fly
40691,CG31546,10202,DHRS2,fly
38598,CG10672,10202,DHRS2,fly
43502,CG7601,10202,DHRS2,fly
33078,Ntf-2,10204,NUTF2,fly
35101,Ntf-2r,10204,NUTF2,fly
38398,eIF1,10209,EIF1,fly
37188,Topors,10210,TOPORS,fly
37189,CG18605,10210,TOPORS,fly
38630,l(3)psg2,10210,TOPORS,fly
36726,Flo1,10211,FLOT1,fly
33781,Hel25E,10212,DDX39A,fly
33738,Rpn11,10213,PSMD14,fly
35110,amos,10215,OLIG2,fly
40975,ato,10215,OLIG2,fly
39935,tap,10215,OLIG2,fly
36379,Ak6,102157402,AK6,fly
39748,hzg,10217,CTDSPL,fly
31441,Cdk7,1022,CDK7,fly
43999,trbl,10221,TRIB1,fly
32437,Lsd-2,10226,PLIN3,fly
40274,CG18281,10227,MFSD10,fly
40275,CG17637,10227,MFSD10,fly
40276,CG5078,10227,MFSD10,fly
38373,CG11537,10227,MFSD10,fly
42500,rtet,10227,MFSD10,fly
40373,Syx6,10228,STX6,fly
44007,Coq7,10229,COQ7,fly
47384,sra,10231,RCAN2,fly
3355180,Ppr-Y,10233,LRRC23,fly
34318,TbCMF46,10233,LRRC23,fly
42510,meigo,10237,SLC35B1,fly
33131,wap,10238,DCAF7,fly
43943,or,10239,AP3S2,fly
39749,mRpS31,10240,MRPS31,fly
30973,cin,10243,GPHN,fly
33097,CG1724,10245,TIMM17B,fly
3355107,Tim17b,10245,TIMM17B,fly
40632,Tim17a2,10245,TIMM17B,fly
40635,Tim17b1,10245,TIMM17B,fly
41500,Tim17a1,10245,TIMM17B,fly
44381,Tim17b2,10245,TIMM17B,fly
33427,VGlut,10246,SLC17A2,fly
31413,CG6978,10246,SLC17A2,fly
246519,MFS1,10246,SLC17A2,fly
37623,CG12490,10246,SLC17A2,fly
37622,CG30265,10246,SLC17A2,fly
37624,CG9825,10246,SLC17A2,fly
35745,MFS12,10246,SLC17A2,fly
35521,CG7881,10246,SLC17A2,fly
37168,MFS15,10246,SLC17A2,fly
37170,CG15096,10246,SLC17A2,fly
37625,CG9826,10246,SLC17A2,fly
37427,MFS16,10246,SLC17A2,fly
34773,CG9254,10246,SLC17A2,fly
36865,Picot,10246,SLC17A2,fly
37626,CG3649,10246,SLC17A2,fly
43761,CG2003,10246,SLC17A2,fly
47253,dmGlut,10246,SLC17A2,fly
46085,MFS14,10246,SLC17A2,fly
34897,UK114,10247,RIDA,fly
3772007,Rpp20,10248,POP7,fly
37586,Cdk9,1025,CDK9,fly
39483,Srrm1,10250,SRRM1,fly
38424,sty,10251,SPRY3,fly
38424,sty,10252,SPRY1,fly
38424,sty,10253,SPRY2,fly
31902,Gga,10254,STAM2,fly
34505,Stam,10254,STAM2,fly
34425,Wdfy2,10254,STAM2,fly
36952,cnk,10256,CNKSR1,fly
35163,CG31792,10257,ABCC4,fly
34148,CG7627,10257,ABCC4,fly
34686,MRP,10257,ABCC4,fly
37428,CG10505,10257,ABCC4,fly
35366,CG9270,10257,ABCC4,fly
41387,Mrp4,10257,ABCC4,fly
43451,CG11898,10257,ABCC4,fly
43450,rdog,10257,ABCC4,fly
42362,CG4562,10257,ABCC4,fly
47905,l(2)03659,10257,ABCC4,fly
31558,Spx,10262,SF3B4,fly
32050,CDK2AP1,10263,CDK2AP2,fly
36908,ste24a,10269,ZMPSTE24,fly
36907,ste24b,10269,ZMPSTE24,fly
39272,CG7573,10269,ZMPSTE24,fly
3772676,ste24c,10269,ZMPSTE24,fly
34293,Taf11,102723526,LINC02218,fly
31496,IntS6,102723631,CT45A10,fly
36053,CG1371,102723728,NOMO2|LOC102723728,fly
43162,gro,102723796,TLE7,fly
34433,STUB1,10273,STUB1,fly
35237,cyst,10276,NET1,fly
34699,CG9934,10277,UBE4B,fly
38021,p130CAS,10278,EFS,fly
42318,CG3734,10279,PRSS16,fly
42319,CG18493,10279,PRSS16,fly
42320,CG3739,10279,PRSS16,fly
42323,CG11626,10279,PRSS16,fly
39331,CG10907,10283,CWC27,fly
41965,Bin1,10284,SAP18,fly
7354399,CG17454,10285,SMNDC1,fly
43348,BCAS2,10286,BCAS2,fly
2769001,zormin,10290,SPEG,fly
43814,bt,10290,SPEG,fly
42048,Sf3a1,10291,SF3A1,fly
326135,CG31357,10296,MAEA,fly
44642,Apc,10297,APC2,fly
42871,Apc2,10297,APC2,fly
38300,CG1317,10299,MARCHF6,fly
38575,CG12493,103,ADAR,fly
38620,blanks,103,ADAR,fly
32581,kat80,10300,KATNB1,fly
32551,CycD,10309,CCNO,fly
34924,CycE,10309,CCNO,fly
37618,CycB,10309,CCNO,fly
40290,CG4074,10311,VPS26C,fly
246543,Vha100-3,10312,TCIRG1,fly
33721,Rtnl1,10313,RTN3,fly
40903,Rtnl2,10313,RTN3,fly
32042,CG2061,10314,LANCL1,fly
40393,CapaR,10316,NMUR1,fly
41713,PK1-R,10316,NMUR1,fly
41638,PK2-R2,10316,NMUR1,fly
41639,PK2-R1,10316,NMUR1,fly
31358,brn,10317,B3GALT5,fly
31610,CG14440,10320,IKZF1,fly
31609,CG14442,10320,IKZF1,fly
14462631,CG43777,10321,CRISP3,fly
32385,CG9400,10321,CRISP3,fly
318662,CG31286,10321,CRISP3,fly
246647,antr,10321,CRISP3,fly
14462630,CG43776,10321,CRISP3,fly
318150,CG32679,10321,CRISP3,fly
10178796,CG42780,10321,CRISP3,fly
317973,CG32313,10321,CRISP3,fly
246645,CG30486,10321,CRISP3,fly
35303,CG10651,10321,CRISP3,fly
37440,CG9822,10321,CRISP3,fly
36414,CG17575,10321,CRISP3,fly
37441,CG17974,10321,CRISP3,fly
41348,scpr-C,10321,CRISP3,fly
3885644,CG34002,10321,CRISP3,fly
41358,scpr-A,10321,CRISP3,fly
41357,scpr-B,10321,CRISP3,fly
37863,CG43775,10321,CRISP3,fly
40788,CG42564,10321,CRISP3,fly
39183,CG6628,10321,CRISP3,fly
37942,CG3640,10321,CRISP3,fly
39181,CG8072,10321,CRISP3,fly
41623,CG8483,10321,CRISP3,fly
44079,Ag5r2,10321,CRISP3,fly
44631,Ag5r,10321,CRISP3,fly
36916,SmydA-7,10322,SMYD5,fly
42517,Smyd5,10322,SMYD5,fly
41071,RagA-B,10325,RRAGB,fly
37635,EMC8-9,10328,EMC8,fly
36046,sel,10330,CNPY2,fly
31358,brn,10331,B3GNT3,fly
3885602,CG34033,10332,CLEC4M,fly
38141,tfc,10332,CLEC4M,fly
41854,CG14866,10332,CLEC4M,fly
53516,lectin-33A,10332,CLEC4M,fly
53523,lectin-46Ca,10332,CLEC4M,fly
53522,lectin-46Cb,10332,CLEC4M,fly
48903,l(3)73Ah,10336,PCGF3,fly
34651,Pkd2,10343,PKDREJ,fly
33102,CG1494,10347,ABCA7,fly
33104,CG1801,10347,ABCA7,fly
33103,ABCA,10347,ABCA7,fly
318066,CG34120,10347,ABCA7,fly
34783,Eato,10347,ABCA7,fly
37293,CG8908,10347,ABCA7,fly
39971,CG6052,10347,ABCA7,fly
42382,CG31213,10347,ABCA7,fly
33102,CG1494,10349,ABCA10,fly
318066,CG34120,10349,ABCA10,fly
33104,CG1801,10349,ABCA10,fly
33103,ABCA,10349,ABCA10,fly
34783,Eato,10349,ABCA10,fly
37293,CG8908,10349,ABCA10,fly
39971,CG6052,10349,ABCA10,fly
42382,CG31213,10349,ABCA10,fly
318066,CG34120,10350,ABCA9,fly
33103,ABCA,10350,ABCA9,fly
318910,CG43672,10350,ABCA9,fly
33102,CG1494,10350,ABCA9,fly
33104,CG1801,10350,ABCA9,fly
37293,CG8908,10350,ABCA9,fly
34783,Eato,10350,ABCA9,fly
39971,CG6052,10350,ABCA9,fly
42382,CG31213,10350,ABCA9,fly
33103,ABCA,10351,ABCA8,fly
318910,CG43672,10351,ABCA8,fly
33104,CG1801,10351,ABCA8,fly
318066,CG34120,10351,ABCA8,fly
33102,CG1494,10351,ABCA8,fly
34783,Eato,10351,ABCA8,fly
37293,CG8908,10351,ABCA8,fly
39971,CG6052,10351,ABCA8,fly
42382,CG31213,10351,ABCA8,fly
39989,TrpRS-m,10352,WARS2,fly
37139,CG5493,1036,CDO1,fly
43559,Nph,10360,NPM3,fly
43560,Nlp,10360,NPM3,fly
43560,Nlp,10361,NPM2,fly
43559,Nph,10361,NPM2,fly
2768719,luna,10365,KLF2,fly
37818,CG3065,10365,KLF2,fly
33999,MICU1,10367,MICU1,fly
42706,CG4704,10367,MICU1,fly
318064,stg1,10368,CACNG3,fly
318064,stg1,10369,CACNG2,fly
40904,alphaTub84D,10376,TUBA1B,fly
40848,alphaTub84B,10376,TUBA1B,fly
43516,CG7789,10380,BPNT1,fly
37238,betaTub56D,10383,TUBB4B,fly
34709,Sfmbt,10389,SCML2,fly
43288,l(3)mbt,10389,SCML2,fly
35330,Cen,1039,CDR2,fly
36496,bbc,10390,CEPT1,fly
35596,coro,10391,CORO2B,fly
36975,APC10,10393,ANAPC10,fly
34736,CG31729,10396,ATP8A1,fly
37451,MESK2,10397,NDRG1,fly
40713,CG2082,10397,NDRG1,fly
31554,sqh,10398,MYL9,fly
34070,Rack1,10399,RACK1,fly
34751,loqs,104,ADARB1,fly
39764,Zn72D,104,ADARB1,fly
38575,CG12493,104,ADARB1,fly
38620,blanks,104,ADARB1,fly
43950,Cds,1040,CDS1,fly
35927,Su(var)2-10,10401,PIAS3,fly
34419,Ip259,10412,NSA2,fly
37851,yki,10413,YAP1,fly
246514,CG30203,10418,SPON1,fly
36333,CG17739,10418,SPON1,fly
36334,CG30046,10418,SPON1,fly
36809,csul,10419,PRMT5,fly
34432,holn1,10421,CD2BP2,fly
32506,Pis,10423,CDIPT,fly
32548,MSBP,10424,PGRMC2,fly
34755,CG16957,10424,PGRMC2,fly
37542,ari-2,10425,ARIH2,fly
48481,Grip91,10426,TUBGCP3,fly
36025,Sec24AB,10427,SEC24B,fly
34965,CG5861,10430,TMEM147,fly
59176,CG18815,10434,LYPLA1,fly
31387,CG3527,10436,EMG1,fly
5740475,CG41378,10437,IFI30,fly
33097,CG1724,10440,TIMM17A,fly
3355107,Tim17b,10440,TIMM17A,fly
40635,Tim17b1,10440,TIMM17A,fly
40632,Tim17a2,10440,TIMM17A,fly
44381,Tim17b2,10440,TIMM17A,fly
41500,Tim17a1,10440,TIMM17A,fly
192509,CG12084,10444,ZER1,fly
38478,Rcd5,10445,MCRS1,fly
34313,yip2,10449,ACAA2,fly
39121,CG8336,10450,PPIE,fly
35553,tomboy40,10452,TOMM40,fly
44978,Tom40,10452,TOMM40,fly
31683,Pdp,10454,TAB1,fly
38784,Acbp2,10455,ECI2,fly
33743,CG4230,10456,HAX1,fly
39258,IRSp53,10458,BAIAP2,fly
40677,Rev7,10459,MAD2L2,fly
3885602,CG34033,10462,CLEC10A,fly
38141,tfc,10462,CLEC10A,fly
53523,lectin-46Ca,10462,CLEC10A,fly
53522,lectin-46Cb,10462,CLEC10A,fly
41854,CG14866,10462,CLEC10A,fly
53516,lectin-33A,10462,CLEC10A,fly
36393,ZnT49B,10463,SLC30A9,fly
35571,CG17266,10465,PPIH,fly
35054,fws,10466,COG5,fly
326171,CG31917,10467,ZNHIT1,fly
42298,CG11779,10469,TIMM44,fly
32180,CG1924,1047,CLGN,fly
44643,Cnx99A,1047,CLGN,fly
40176,Pfdn6,10471,PFDN6,fly
32787,Ada3,10474,TADA3,fly
36845,knon,10476,ATP5PD,fly
36565,eIF3m,10480,EIF3M,fly
39843,nxf2,10482,NXF1,fly
43944,sbr,10482,NXF1,fly
40694,Sec23,10483,SEC23B,fly
45233,capt,10486,CAP2,fly
45233,capt,10487,CAP1,fly
32817,CrebB,10488,CREB3,fly
35480,Atf6,10488,CREB3,fly
39682,CrebA,10488,CREB3,fly
42215,Vti1b,10490,VTI1B,fly
35687,Drat,10493,VAT1,fly
42064,GckIII,10494,STK25,fly
39459,CG10948,10495,ENOX2,fly
33631,Art2,10498,CARM1,fly
41219,Art4,10498,CARM1,fly
34242,tai,10499,NCOA2,fly
34751,loqs,105,ADARB2,fly
39764,Zn72D,105,ADARB2,fly
38620,blanks,105,ADARB2,fly
38575,CG12493,105,ADARB2,fly
37889,slbo,1050,CEBPA,fly
37889,slbo,1051,CEBPB,fly
31074,CG32812,10518,CIB2,fly
37363,Cib2,10518,CIB2,fly
40695,elm,10518,CIB2,fly
41695,CG14362,10518,CIB2,fly
31074,CG32812,10519,CIB1,fly
37363,Cib2,10519,CIB1,fly
40695,elm,10519,CIB1,fly
41695,CG14362,10519,CIB1,fly
37889,slbo,1052,CEBPD,fly
35770,CG12769,10520,ZNF211,fly
38756,CG10077,10521,DDX17,fly
40164,Deaf1,10522,DEAF1,fly
3346235,scaf6,10523,CHERP,fly
32318,tth,10524,KAT5,fly
35485,d4,10524,KAT5,fly
31215,CG2918,10525,HYOU1,fly
44747,msk,10527,IPO7,fly
37328,Hil,10529,NEBL,fly
37889,slbo,1053,CEBPE,fly
35475,CG3107,10531,PITRM1,fly
37141,Atg7,10533,ATG7,fly
33213,CG13690,10535,RNASEH2A,fly
33759,vri,105372267,NFILZ,fly
39491,trn,105378803,LRRC53,fly
39188,CG32055,105378803,LRRC53,fly
39144,CG6749,105378803,LRRC53,fly
39493,caps,105378803,LRRC53,fly
41616,2mit,105378803,LRRC53,fly
43867,Atf3,10538,BATF,fly
34745,CG6523,10539,GLRX3,fly
44086,DCTN2-p50,10540,DCTN2,fly
37043,Mapmodulin,10541,ANP32B,fly
31137,CG14812,10542,LAMTOR5,fly
53577,Jafrac2,10549,PRDX4,fly
35128,Jwa,10550,ARL6IP5,fly
34793,Arpc1,10552,ARPC1A,fly
32230,Agpat1,10554,AGPAT1,fly
34176,Agpat2,10554,AGPAT1,fly
32230,Agpat1,10555,AGPAT2,fly
34176,Agpat2,10555,AGPAT2,fly
44392,Rpp30,10556,RPP30,fly
36448,Spt-I,10558,SPTLC1,fly
37572,gas,1056,CEL,fly
36779,Jhedup,1056,CEL,fly
34193,Glt,1056,CEL,fly
34194,CG9287,1056,CEL,fly
34278,CG3841,1056,CEL,fly
34279,CG4382,1056,CEL,fly
36780,Jhe,1056,CEL,fly
34195,CG9289,1056,CEL,fly
40909,alpha-Est1,1056,CEL,fly
39392,Est-6,1056,CEL,fly
40905,alpha-Est5,1056,CEL,fly
40906,alpha-Est4,1056,CEL,fly
40908,alpha-Est2,1056,CEL,fly
39393,Est-P,1056,CEL,fly
40907,alpha-Est3,1056,CEL,fly
40901,alpha-Est7,1056,CEL,fly
40902,alpha-Est6,1056,CEL,fly
40899,alpha-Est8,1056,CEL,fly
41330,CG4757,1056,CEL,fly
40897,alpha-Est9,1056,CEL,fly
40896,alpha-Est10,1056,CEL,fly
34679,CG17036,10560,SLC19A2,fly
41307,CG14694,10560,SLC19A2,fly
41308,CG6574,10560,SLC19A2,fly
34785,Sec71,10564,ARFGEF2,fly
36337,garz,10564,ARFGEF2,fly
40327,siz,10564,ARFGEF2,fly
36337,garz,10565,ARFGEF1,fly
34785,Sec71,10565,ARFGEF1,fly
40327,siz,10565,ARFGEF1,fly
36035,CG1418,10567,RABAC1,fly
43427,Slu7,10569,SLU7,fly
33715,mRpL28,10573,MRPL28,fly
41054,CCT7,10574,CCT7,fly
34674,CCT4,10575,CCT4,fly
31838,CCT2,10576,CCT2,fly
33374,Npc2a,10577,NPC2,fly
37014,Dlish,10580,SORBS1,fly
39297,rt,10585,POMT1,fly
31533,CG4766,10586,MAB21L2,fly
44127,mab-21,10586,MAB21L2,fly
37699,Mthfs,10588,MTHFS,fly
37471,NC2alpha,10589,DRAP1,fly
36905,Cbp53E,10590,SCGN,fly
36653,SMC2,10592,SMC2,fly
36304,Prp8,10594,PRPF8,fly
42358,Ire1,10595,ERN2,fly
39769,Trs20,10597,TRAPPC2B,fly
35426,CG1416,10598,AHSA1,fly
34268,Oatp30B,10599,SLCO1B1,fly
43130,Lnk,10603,SH2B2,fly
36913,CG8963,10605,PAIP1,fly
32228,Paics,10606,PAICS,fly
36019,CG1671,10607,TBL3,fly
36740,Zasp52,10611,PDLIM5,fly
41778,Hexim,10614,HEXIM1,fly
43617,CG2224,10617,STAMBP,fly
3771934,cana,1062,CENPE,fly
53561,cmet,1062,CENPE,fly
45976,retn,10620,ARID3B,fly
42619,CG5380,10621,POLR3F,fly
41542,CG12267,10623,POLR3C,fly
40667,mia,10629,TAF6L,fly
42025,Fas1,10631,POSTN,fly
34054,ATPsynGL,10632,ATP5MG,fly
46069,ATPsynG,10632,ATP5MG,fly
31596,pigs,10634,GAS2L1,fly
42863,Sec10,10640,EXOC5,fly
32677,Nprl2,10641,NPRL2,fly
