trait,trait_label,k
http://www.ebi.ac.uk/efo/EFO_0004279,suntan,1
http://www.ebi.ac.uk/efo/EFO_0004298,cardiovascular measurement,3
http://www.ebi.ac.uk/efo/EFO_0004302,anthropometric measurement,1
http://www.ebi.ac.uk/efo/EFO_0004305,erythrocyte count,10
http://www.ebi.ac.uk/efo/EFO_0004309,Platelet count,13
http://www.ebi.ac.uk/efo/EFO_0004312,vital capacity,4
http://www.ebi.ac.uk/efo/EFO_0004314,forced expiratory volume,3
http://www.ebi.ac.uk/efo/EFO_0004317,Extraversion,5
http://www.ebi.ac.uk/efo/EFO_0004318,smoking behavior,4
http://www.ebi.ac.uk/efo/EFO_0004319,Smoking cessation,1
http://www.ebi.ac.uk/efo/EFO_0004321,attempted suicide,1
http://www.ebi.ac.uk/efo/EFO_0004324,body weights and measures,1
http://www.ebi.ac.uk/efo/EFO_0004327,electrocardiography,12
http://www.ebi.ac.uk/efo/EFO_0004335,short-term memory,1
http://www.ebi.ac.uk/efo/EFO_0004337,Intelligence,4
http://www.ebi.ac.uk/efo/EFO_0004338,body weight,3
http://www.ebi.ac.uk/efo/EFO_0004340,Body mass index (BMI),23
http://www.ebi.ac.uk/efo/EFO_0004341,body fat distribution,2
http://www.ebi.ac.uk/efo/EFO_0004343,waist-hip ratio,9
http://www.ebi.ac.uk/efo/EFO_0004345,corneal topography,1
http://www.ebi.ac.uk/efo/EFO_0004346,neuroimaging measurement,10
http://www.ebi.ac.uk/efo/EFO_0004348,hematocrit,19
http://www.ebi.ac.uk/efo/EFO_0004352,mortality,1
http://www.ebi.ac.uk/efo/EFO_0004363,information processing speed,2
http://www.ebi.ac.uk/efo/EFO_0004458,C-reactive protein measurement,14
http://www.ebi.ac.uk/efo/EFO_0004459,ferritin measurement,2
http://www.ebi.ac.uk/efo/EFO_0004460,soluble transferrin receptor measurement,2
http://www.ebi.ac.uk/efo/EFO_0004461,iron biomarker measurement,1
http://www.ebi.ac.uk/efo/EFO_0004462,PR interval,14
http://www.ebi.ac.uk/efo/EFO_0004467,insulin measurement,2
http://www.ebi.ac.uk/efo/EFO_0004468,glucose measurement,6
http://www.ebi.ac.uk/efo/EFO_0004469,HOMA-B,6
http://www.ebi.ac.uk/efo/EFO_0004471,insulin sensitivity measurement,4
http://www.ebi.ac.uk/efo/EFO_0004501,HOMA-IR,2
http://www.ebi.ac.uk/efo/EFO_0004502,adiponectin measurement,1
http://www.ebi.ac.uk/efo/EFO_0004509,Hemoglobin,10
http://www.ebi.ac.uk/efo/EFO_0004517,arterial stiffness measurement,1
http://www.ebi.ac.uk/efo/EFO_0004527,Mean corpuscular hemoglobin,12
http://www.ebi.ac.uk/efo/EFO_0004528,mean corpuscular hemoglobin concentration,11
http://www.ebi.ac.uk/efo/EFO_0004529,lipid measurement,9
http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement,9
http://www.ebi.ac.uk/efo/EFO_0004531,urate measurement,9
http://www.ebi.ac.uk/efo/EFO_0004532,serum gamma-glutamyl transferase measurement,5
http://www.ebi.ac.uk/efo/EFO_0004533,Alkaline phosphatase (ALP),12
http://www.ebi.ac.uk/efo/EFO_0004534,creatine kinase measurement,13
http://www.ebi.ac.uk/efo/EFO_0004536,total blood protein measurement,7
http://www.ebi.ac.uk/efo/EFO_0004541,HbA1c,14
http://www.ebi.ac.uk/efo/EFO_0004555,glycoprotein measurement,3
http://www.ebi.ac.uk/efo/EFO_0004570,bilirubin measurement,6
http://www.ebi.ac.uk/efo/EFO_0004574,Total cholesterol,13
http://www.ebi.ac.uk/efo/EFO_0004587,lymphocyte count,9
http://www.ebi.ac.uk/efo/EFO_0004611,low density lipoprotein cholesterol measurement,10
http://www.ebi.ac.uk/efo/EFO_0004612,high density lipoprotein cholesterol measurement,14
http://www.ebi.ac.uk/efo/EFO_0004614,apolipoprotein A 1 measurement,6
http://www.ebi.ac.uk/efo/EFO_0004615,apolipoprotein B measurement,9
http://www.ebi.ac.uk/efo/EFO_0004617,cystatin C measurement,1
http://www.ebi.ac.uk/efo/EFO_0004627,IGF-1 measurement,4
http://www.ebi.ac.uk/efo/EFO_0004632,nevus count,1
http://www.ebi.ac.uk/efo/EFO_0004641,white matter integrity,1
http://www.ebi.ac.uk/efo/EFO_0004644,TPE interval measurement,4
http://www.ebi.ac.uk/efo/EFO_0004645,response to vaccine,1
http://www.ebi.ac.uk/efo/EFO_0004670,beta-amyloid 1-42 measurement,1
http://www.ebi.ac.uk/efo/EFO_0004682,QT interval,10
http://www.ebi.ac.uk/efo/EFO_0004685,hip geometry,2
http://www.ebi.ac.uk/efo/EFO_0004695,intraocular pressure measurement,3
http://www.ebi.ac.uk/efo/EFO_0004696,sex hormone-binding globulin measurement,4
http://www.ebi.ac.uk/efo/EFO_0004697,estradiol measurement,2
http://www.ebi.ac.uk/efo/EFO_0004703,age at menarche,12
http://www.ebi.ac.uk/efo/EFO_0004704,age at menopause,6
http://www.ebi.ac.uk/efo/EFO_0004713,FEV/FVC ratio,5
http://www.ebi.ac.uk/efo/EFO_0004725,metabolite measurement,11
http://www.ebi.ac.uk/efo/EFO_0004730,hormone measurement,1
http://www.ebi.ac.uk/efo/EFO_0004731,eye measurement,1
http://www.ebi.ac.uk/efo/EFO_0004732,lipoprotein measurement,4
http://www.ebi.ac.uk/efo/EFO_0004736,Aspartate aminotransferase (AST),11
http://www.ebi.ac.uk/efo/EFO_0004746,lipoprotein-associated phospholipase A(2) measurement,4
http://www.ebi.ac.uk/efo/EFO_0004747,protein measurement,12
http://www.ebi.ac.uk/efo/EFO_0004753,interleukin 12 measurement,2
http://www.ebi.ac.uk/efo/EFO_0004754,interleukin 1 receptor antagonist measurement,2
http://www.ebi.ac.uk/efo/EFO_0004760,t-tau measurement,1
http://www.ebi.ac.uk/efo/EFO_0004761,uric acid measurement,10
http://www.ebi.ac.uk/efo/EFO_0004767,visceral:subcutaneous adipose tissue ratio,1
http://www.ebi.ac.uk/efo/EFO_0004784,self reported educational attainment,10
http://www.ebi.ac.uk/efo/EFO_0004792,plasminogen activator inhibitor 1 measurement,1
http://www.ebi.ac.uk/efo/EFO_0004811,interleukin-8 measurement,1
http://www.ebi.ac.uk/efo/EFO_0004819,resistin measurement,1
http://www.ebi.ac.uk/efo/EFO_0004831,RR interval,5
http://www.ebi.ac.uk/efo/EFO_0004833,Neutrophil count,12
http://www.ebi.ac.uk/efo/EFO_0004838,calcium measurement,5
http://www.ebi.ac.uk/efo/EFO_0004840,cortical thickness,9
http://www.ebi.ac.uk/efo/EFO_0004842,eosinophil count,13
http://www.ebi.ac.uk/efo/EFO_0004861,phosphorus measurement,2
http://www.ebi.ac.uk/efo/EFO_0004872,inflammatory biomarker measurement,1
http://www.ebi.ac.uk/efo/EFO_0004873,cytokine measurement,5
http://www.ebi.ac.uk/efo/EFO_0004874,memory performance,6
http://www.ebi.ac.uk/efo/EFO_0004875,mathematical ability,11
http://www.ebi.ac.uk/efo/EFO_0004881,asparaginase hypersensitivity,1
http://www.ebi.ac.uk/efo/EFO_0004908,testosterone measurement,17
http://www.ebi.ac.uk/efo/EFO_0004980,appendicular lean mass,5
http://www.ebi.ac.uk/efo/EFO_0004995,lean body mass,15
http://www.ebi.ac.uk/efo/EFO_0004999,N-glycan measurement,1
http://www.ebi.ac.uk/efo/EFO_0005001,Phenylalanine,1
http://www.ebi.ac.uk/efo/EFO_0005035,hippocampal volume,1
http://www.ebi.ac.uk/efo/EFO_0005043,cardiac troponin T measurement,1
http://www.ebi.ac.uk/efo/EFO_0005058,tyrosine measurement,3
http://www.ebi.ac.uk/efo/EFO_0005059,acylcarnitine measurement,2
http://www.ebi.ac.uk/efo/EFO_0005090,Basophil count,12
http://www.ebi.ac.uk/efo/EFO_0005091,Monocyte count,9
http://www.ebi.ac.uk/efo/EFO_0005094,P wave duration,1
http://www.ebi.ac.uk/efo/EFO_0005106,body composition measurement,3
http://www.ebi.ac.uk/efo/EFO_0005116,urinary metabolite measurement,11
http://www.ebi.ac.uk/efo/EFO_0005127,cancer biomarker measurement,1
http://www.ebi.ac.uk/efo/EFO_0005134,amino acid measurement,3
http://www.ebi.ac.uk/efo/EFO_0005193,serum IgG glycosylation measurement,4
http://www.ebi.ac.uk/efo/EFO_0005194,amyloid-beta measurement,3
http://www.ebi.ac.uk/efo/EFO_0005213,Central corneal thickness,8
http://www.ebi.ac.uk/efo/EFO_0005229,reading,1
http://www.ebi.ac.uk/efo/EFO_0005241,employment status,1
http://www.ebi.ac.uk/efo/EFO_0005275,dihydroxy docosatrienoic acid measurement,1
http://www.ebi.ac.uk/efo/EFO_0005276,hydroxy-leucine measurement,1
http://www.ebi.ac.uk/efo/EFO_0005298,allergic sensitization measurement,1
http://www.ebi.ac.uk/efo/EFO_0005318,axial length measurement,1
http://www.ebi.ac.uk/efo/EFO_0005408,pyroglutamine measurement,1
http://www.ebi.ac.uk/efo/EFO_0005527,ejection fraction measurement,1
http://www.ebi.ac.uk/efo/EFO_0005658,response to selective serotonin reuptake inhibitor,1
http://www.ebi.ac.uk/efo/EFO_0005663,urinary uromodulin measurement,2
http://www.ebi.ac.uk/efo/EFO_0005665,white matter hyperintensity measurement,1
http://www.ebi.ac.uk/efo/EFO_0005670,smoking initiation,20
http://www.ebi.ac.uk/efo/EFO_0005674,white matter microstructure measurement,4
http://www.ebi.ac.uk/efo/EFO_0005675,vitamin D-binding protein measurement,1
http://www.ebi.ac.uk/efo/EFO_0005677,puberty onset measurement,3
http://www.ebi.ac.uk/efo/EFO_0005680,omega-6 polyunsaturated fatty acid measurement,4
http://www.ebi.ac.uk/efo/EFO_0005689,non-high density lipoprotein cholesterol measurement,8
http://www.ebi.ac.uk/efo/EFO_0005763,pulse pressure measurement,12
http://www.ebi.ac.uk/efo/EFO_0005941,mammographic density measurement,1
http://www.ebi.ac.uk/efo/EFO_0005944,cumulative dose response to bevacizumab,1
http://www.ebi.ac.uk/efo/EFO_0006312,mitochondrial DNA measurement,2
http://www.ebi.ac.uk/efo/EFO_0006316,infant expressive language ability,1
http://www.ebi.ac.uk/efo/EFO_0006319,HIV viral set point measurement,2
http://www.ebi.ac.uk/efo/EFO_0006335,Systolic blood pressure,15
http://www.ebi.ac.uk/efo/EFO_0006336,diastolic blood pressure,17
http://www.ebi.ac.uk/efo/EFO_0006340,mean arterial pressure,4
http://www.ebi.ac.uk/efo/EFO_0006502,mammographic density percentage,1
http://www.ebi.ac.uk/efo/EFO_0006514,Alzheimer's disease biomarker measurement,1
http://www.ebi.ac.uk/efo/EFO_0006524,L-arginine measurement,1
http://www.ebi.ac.uk/efo/EFO_0006525,cigarettes per day measurement,2
http://www.ebi.ac.uk/efo/EFO_0006527,smoking status measurement,12
http://www.ebi.ac.uk/efo/EFO_0006796,very long-chain saturated fatty acid measurement,1
http://www.ebi.ac.uk/efo/EFO_0006797,neurofibrillary tangles measurement,1
http://www.ebi.ac.uk/efo/EFO_0006807,linoleic acid measurement,4
http://www.ebi.ac.uk/efo/EFO_0006808,arachidonic acid measurement,1
http://www.ebi.ac.uk/efo/EFO_0006809,Docosapentaenoic acid (DPA),1
http://www.ebi.ac.uk/efo/EFO_0006832,Disposition index,3
http://www.ebi.ac.uk/efo/EFO_0006925,Lipoprotein(a),10
http://www.ebi.ac.uk/efo/EFO_0006939,cup-to-disc ratio measurement,2
http://www.ebi.ac.uk/efo/EFO_0006941,grip strength measurement,2
http://www.ebi.ac.uk/efo/EFO_0007005,free androgen index,10
http://www.ebi.ac.uk/efo/EFO_0007010,drug use measurement,1
http://www.ebi.ac.uk/efo/EFO_0007013,aspirin use measurement,2
http://www.ebi.ac.uk/efo/EFO_0007015,3-hydroxy-1-methylpropylmercapturic acid measurement,3
http://www.ebi.ac.uk/efo/EFO_0007034,seropositivity measurement,1
http://www.ebi.ac.uk/efo/EFO_0007042,polychlorinated biphenyls measurement,2
http://www.ebi.ac.uk/efo/EFO_0007586,Cannabis use initiation,2
http://www.ebi.ac.uk/efo/EFO_0007626,emphysema imaging measurement,1
http://www.ebi.ac.uk/efo/EFO_0007629,hemoglobin A1 measurement,11
http://www.ebi.ac.uk/efo/EFO_0007630,glycerophospholipid measurement,2
http://www.ebi.ac.uk/efo/EFO_0007654,clinical and behavioural ideal cardiovascular health,1
http://www.ebi.ac.uk/efo/EFO_0007660,neuroticism measurement,18
http://www.ebi.ac.uk/efo/EFO_0007667,lobe attachment,2
http://www.ebi.ac.uk/efo/EFO_0007702,hip bone mineral density,2
http://www.ebi.ac.uk/efo/EFO_0007707,cerebral amyloid deposition measurement,1
http://www.ebi.ac.uk/efo/EFO_0007710,cognitive decline measurement,5
http://www.ebi.ac.uk/efo/EFO_0007744,lung disease severity measurement,2
http://www.ebi.ac.uk/efo/EFO_0007753,seasonal gut microbiome measurement,1
http://www.ebi.ac.uk/efo/EFO_0007759,alpha-linolenic acid measurement,2
http://www.ebi.ac.uk/efo/EFO_0007760,eicosapentaenoic acid measurement,1
http://www.ebi.ac.uk/efo/EFO_0007761,docosahexaenoic acid measurement,3
http://www.ebi.ac.uk/efo/EFO_0007763,dihomo-gamma-linolenic acid measurement,2
http://www.ebi.ac.uk/efo/EFO_0007778,urinary albumin to creatinine ratio,1
http://www.ebi.ac.uk/efo/EFO_0007785,Femoral neck bone mineral density,4
http://www.ebi.ac.uk/efo/EFO_0007787,plasma betaine measurement,2
http://www.ebi.ac.uk/efo/EFO_0007788,BMI-adjusted waist-hip ratio,6
