model_entrez,model_symbol,human_entrez,human_symbol,species
68243,A930018P22Rik,100131378,C11orf91,mouse
381373,Sp9,100131390,SP9,mouse
100043123,Cd300ld4,100131439,CD300LD,mouse
100043125,Cd300ld5,100131439,CD300LD,mouse
217305,Cd300ld,100131439,CD300LD,mouse
217303,Cd300a,100131439,CD300LD,mouse
629970,Cd300ld2,100131439,CD300LD,mouse
382551,Cd300ld3,100131439,CD300LD,mouse
384059,Tlr12,100131451,TLR12P,mouse
13168,Dbil5,100131454,DBIL5P,mouse
623166,Prr23a1,100131608,PRR23D1|PRR23D2,mouse
623186,Prr23a2,100131608,PRR23D1|PRR23D2,mouse
546157,7420426K07Rik,100131608,PRR23D1|PRR23D2,mouse
71979,Prr23a3,100131608,PRR23D1|PRR23D2,mouse
100503043,Armcx4,100131755,ARMCX4,mouse
100503890,Pet100,100131801,PET100,mouse
574403,Insyn2b,100131897,INSYN2B,mouse
330463,Zfp78,100131980,ZNF705G|ZNF705B,mouse
100039899,Tex13d,100132015,TEX13D,mouse
637093,Tex13c1,100132015,TEX13D,mouse
329934,Foxo6,100132074,FOXO6,mouse
235634,Fam240a,100132146,FAM240A,mouse
330463,Zfp78,100132396,ZNF705G|ZNF705B,mouse
100039801,Cldn24,100132463,CLDN24,mouse
16705,Krtap9-1,100132476,KRTAP4-7,mouse
100415785,Gm11559,100132476,KRTAP4-7,mouse
432600,Gm11568,100132476,KRTAP4-7,mouse
76444,Krtap4-7,100132476,KRTAP4-7,mouse
68673,Krtap4-2,100132476,KRTAP4-7,mouse
670533,Gm11567,100132476,KRTAP4-7,mouse
77803,Shisal2b,100132916,SHISAL2B,mouse
434800,Smim9,100132963,SMIM9,mouse
100042465,Gm3858,100132994,CXorf49B,mouse
102634296,Gm4779,100132994,CXorf49B,mouse
382231,8030474K03Rik,100132994,CXorf49B,mouse
71088,4933412E24Rik,100132994,CXorf49B,mouse
623186,Prr23a2,100133251,PRR23D1|PRR23D2,mouse
623166,Prr23a1,100133251,PRR23D1|PRR23D2,mouse
546157,7420426K07Rik,100133251,PRR23D1|PRR23D2,mouse
71979,Prr23a3,100133251,PRR23D1|PRR23D2,mouse
72628,Hoxaas3|LOC115490409,100133311,HOXA-AS3,mouse
12484,Cd24a,100133941,CD24,mouse
69535,Ten1,100134934,TEN1,mouse
69665,Upk3bl,100134938,UPK3BL1,mouse
433466,Jmjd7,100137047,JMJD7,mouse
211429,Pla2g4b,100137049,PLA2G4B,mouse
15184,Hdac5,10014,HDAC5,mouse
77727,6030468B19Rik,100141515,C17orf99,mouse
338320,Mia2,100142659,CTAGE8,mouse
18571,Pdcd6ip,10015,PDCD6IP,mouse
18570,Pdcd6,10016,PDCD6,mouse
100861491,n-R5s136,100169760,RNA5S9,mouse
12049,Bcl2l10,10017,BCL2L10,mouse
632778,Erich4,100170765,ERICH4,mouse
103551,Epop,100170841,EPOP,mouse
12125,Bcl2l11,10018,BCL2L11,mouse
66119,Tomm6,100188893,TOMM6,mouse
16923,Sh2b3,10019,SH2B3,mouse
67430,4921536K21Rik,100190949,C5orf52,mouse
271944,C2cd4d,100191040,C2CD4D,mouse
12561,Cdh4,1002,CDH4,mouse
50798,Gne,10020,GNE,mouse
330953,Hcn4,10021,HCN4,mouse
23919,Insl5,10022,INSL5,mouse
14296,Frat1,10023,FRAT1,mouse
27412,Peg12,10023,FRAT1,mouse
78733,Troap,10024,TROAP,mouse
216154,Med16,10025,MED16,mouse
329777,Pigk,10026,PIGK,mouse
381112,Arhgef33,100271715,ARHGEF33,mouse
105980076,Mef2b|Mef2bl,100271849,BORCS8-MEF2B|MEF2B,mouse
17259,Mef2b|Mef2bl,100271849,BORCS8-MEF2B|MEF2B,mouse
104103,Airn,100271873,AIRN,mouse
54153,Rasa4,100271927,RASA4B,mouse
105886298,Cmc4,100272147,CMC4,mouse
631145,Fam90a1b,100287045,FAM90A26,mouse
97476,Fam90a1a,100287045,FAM90A26,mouse
68767,Washc1,100287171,WASHC1,mouse
100416706,Zfp729b,100287226,ZNF729,mouse
212281,Zfp729a,100287226,ZNF729,mouse
408068,Zfp738,100287226,ZNF729,mouse
13531,Usp17la,100287238,USP17L13,mouse
13532,Usp17lc,100287238,USP17L13,mouse
625530,Usp17le,100287238,USP17L13,mouse
381944,Usp17lb,100287238,USP17L13,mouse
384701,Usp17ld,100287238,USP17L13,mouse
545893,Mansc4,100287284,MANSC4,mouse
100043332,Ankrd66,100287718,ANKRD66,mouse
242800,Ttc34,100287898,TTC34,mouse
53600,Timm23,100287932,TIMM23,mouse
436008,Gm5737,100288072,SDR42E2,mouse
245263,Gm4981,100288687,DUX4,mouse
278672,Duxbl1,100288687,DUX4,mouse
74399,Duxf3|Dux,100288687,DUX4,mouse
110829,Lims1,100288695,LIMS4,mouse
433752,Frg2f1,100288801,FRG2C,mouse
100040937,Cldn34b1,100288814,CLDN34,mouse
100039763,Cldn34c6,100288814,CLDN34,mouse
238829,Cldn34b3,100288814,CLDN34,mouse
625591,Cldn34c2,100288814,CLDN34,mouse
619294,Cldn34b4,100288814,CLDN34,mouse
635396,Cldn34a,100288814,CLDN34,mouse
73347,Cldn34b2,100288814,CLDN34,mouse
73934,Cldn34c4,100288814,CLDN34,mouse
74987,Cldn34d,100288814,CLDN34,mouse
73061,Cldn34c1,100288814,CLDN34,mouse
102637973,B3galt9,100288842,B3GALT9,mouse
272643,Prss43,100288960,PRSS43P,mouse
71576,Tmem238l,100289255,TMEM238L,mouse
238680,Cntnap3,100289279,CNTNAP3C,mouse
116746,Defb6,100289462,DEFB4A|DEFB4B,mouse
246080,Defb7,100289462,DEFB4A|DEFB4B,mouse
244334,Defb8,100289462,DEFB4A|DEFB4B,mouse
27358,Defb3,100289462,DEFB4A|DEFB4B,mouse
56519,Defb4,100289462,DEFB4A|DEFB4B,mouse
81007,Defb5,100289462,DEFB4A|DEFB4B,mouse
675812,Zfp605,100289635,ZNF605,mouse
22768,Zfy2,100293516,ZNF587B,mouse
22767,Zfy1,100293516,ZNF587B,mouse
12562,Cdh5,1003,CDH5,mouse
65257,Asb3,100302652,ASB3|GPR75-ASB3,mouse
78878,Ftx,100302692,FTX,mouse
66676,Tmed7,100302736,TMED7-TICAM2,mouse
115488064,Gm22748,100302743,SNORA80B,mouse
433424,Zeb2os,100303491,ZEB2-AS1,mouse
100048644,Pet117,100303755,PET117,mouse
606497,Otx2os1,100309464,OTX2-AS1,mouse
330228,Spdye4b,100310812,SPDYE2B,mouse
74673,Spdye4a,100310812,SPDYE2B,mouse
66729,Ankrd61,100310846,ANKRD61,mouse
735309,Mir449c,100313923,MIR449C,mouse
751865,Sap25,100316904,SAP25,mouse
100503240,Trpc5os,100329135,TRPC5OS,mouse
27221,Chaf1a,10036,CHAF1A,mouse
67366,Tmed11,100379220,TMED11P,mouse
11546,Parp2,10038,PARP2,mouse
667118,Zbed6,100381270,ZBED6,mouse
235587,Parp3,10039,PARP3,mouse
12563,Cdh6,1004,CDH6,mouse
71943,Tom1l1,10040,TOM1L1,mouse
70823,Hmgxb4,10042,HMGXB4,mouse
280667,Adam1b,100420505,ADAM1B,mouse
119065974,Hspa14|Gm45902,100421372,LOC100421372,mouse
110785,Iglc1,100423062,IGLL5,mouse
16136,Igll1,100423062,IGLL5,mouse
110787,Iglc3,100423062,IGLL5,mouse
110786,Iglc2,100423062,IGLL5,mouse
404736,Iglc4,100423062,IGLL5,mouse
21968,Tom1,10043,TOM1,mouse
27387,Sh2d3c,10044,SH2D3C,mouse
333639,Mamld1,10046,MAMLD1,mouse
13012,Cst8,10047,CST8,mouse
56705,Ranbp9,10048,RANBP9,mouse
23950,Dnajb6,10049,DNAJB6,mouse
100503199,5430416N02Rik,100499177,THAP9-AS1,mouse
72386,2610035D17Rik|Gm57578,100499467,LINC00511|LINC00673,mouse
381522,Ccdc180,100499483,CCDC180,mouse
241201,Cdh7,1005,CDH7,mouse
319848,Slc17a4,10050,SLC17A4,mouse
100503036,1700015G11Rik,100500938,CCDC179,mouse
100505386,Iqschfp,100505385,SCHIP1|IQCJ-SCHIP1,mouse
75524,Tex48,100505478,TEX48,mouse
100043272,Inafm2,100505573,INAFM2,mouse
68127,B230217C12Rik,100505576,LINC00672,mouse
192852,Lrrc3c,100505591,LRRC3C,mouse
70951,Spata1,100505741,SPATA1,mouse
330228,Spdye4b,100505767,SPDYE18,mouse
74673,Spdye4a,100505767,SPDYE18,mouse
100616095,Snhg18,100505806,SNHG18,mouse
68554,Cebpzos,100505876,CEBPZOS,mouse
407795,Smim31,100505989,SMIM31,mouse
78217,Tmem210,100505993,TMEM210,mouse
434280,Sox1ot,100505996,SOX1-OT,mouse
100038489,Apela,100506013,APELA,mouse
71156,Lrrc72,100506049,LRRC72,mouse
11841,Arf2,100506084,ARL17A|ARL17B|LOC100996709,mouse
100039968,Tmem35b,100506144,TMEM35B,mouse
235907,Zfp65,100506243,KRBOX1,mouse
105242658,Hotairm1|Hotairm2,100506311,HOTAIRM1,mouse
627821,Epp13,100506374,EDDM13|LOC124900420,mouse
66297,Pantr1,100506421,PANTR1,mouse
629141,Gm9999,100506540,SPTY2D1OS,mouse
71868,Thegl,100506564,THEGL,mouse
76405,1700018B08Rik,100506581,C16orf95,mouse
18260,Ocln,100506658,OCLN,mouse
20555,Slfn1,100506736,SLFN12L,mouse
20557,Slfn3,100506736,SLFN12L,mouse
20556,Slfn2,100506736,SLFN12L,mouse
20558,Slfn4,100506736,SLFN12L,mouse
12364,Casp12,100506742,CASP12,mouse
67320,Iqcf4,100506840,IQCF4P,mouse
100039953,Gfy,100507003,GFY,mouse
69563,Mrln,100507027,MRLN,mouse
69952,Tunar,100507043,TUNAR,mouse
100503386,Tpbgl,100507050,TPBGL,mouse
381667,Lrcol1,100507055,LRCOL1,mouse
433653,Gimd1,100507096,GIMD1,mouse
330385,9530026P05Rik,100507098,ADAMTS9-AS2,mouse
100504474,Smlr1,100507203,SMLR1,mouse
66293,Snhg16,100507246,SNHG16,mouse
319748,Zfp865,100507290,ZNF865,mouse
72632,Smim18,100507341,SMIM18,mouse
434008,Tmem178b,100507421,TMEM178B,mouse
243864,Mill2,100507436,MICA,mouse
266815,Mill1,100507436,MICA,mouse
105245869,Sox21os1,100507533,SOX21-AS1,mouse
102637511,Strit1,100507537,STRIT1,mouse
115488819,Gm17251,100507567,RAB11B-AS1,mouse
100044509,Tgfbr3l,100507588,TGFBR3L,mouse
102632837,Rnf212b,100507650,RNF212B,mouse
66501,1700029H14Rik,100507747,C13orf46,mouse
11832,Aqp7,100509620,AQP7B,mouse
70099,Smc4,10051,SMC4,mouse
14615,Gjc1,10052,GJC1,mouse
17076,Ly75,100526664,LY75-CD302,mouse
230157,Tmeff1,100526694,MSANTD3-TMEFF1,mouse
56275,Rbm14,100526737,RBM14-RBM4,mouse
69928,Cenps,100526739,CENPS-CORT,mouse
74434,Sohlh2,100526761,CCDC169-SOHLH2,mouse
66700,Chmp3,100526767,RNF103-CHMP3,mouse
75526,Eppin,100526773,EPPIN-WFDC6,mouse
435766,Tnni3k,100526835,FPGT-TNNI3K,mouse
67037,Pmf1,100527963,PMF1-BGLAP,mouse
66784,Fam187a,100528020,FAM187A,mouse
14426,Galnt4,100528030,POC1B-GALNT4,mouse
27007,Klrk1,100528032,KLRK1|KLRC4-KLRK1,mouse
245607,Gprasp2,100528062,GPRASP2|ARMCX5-GPRASP2,mouse
70237,Bhlhb9,100528062,GPRASP2|ARMCX5-GPRASP2,mouse
110606,Fntb,100529261,FNTB|CHURC1-FNTB,mouse
11768,Ap1m2,10053,AP1M2,mouse
68197,Ndufc2,100532726,NDUFC2-KCTD14,mouse
12151,Bmi1,100532731,COMMD3-BMI1,mouse
17965,Nbl1,100532736,NBL1|MICOS10-NBL1,mouse
170755,Sgk3,100533105,C8orf44-SGK3,mouse
75758,9130401M01Rik,100533106,ZHX1-C8orf76,mouse
67510,Tvp23b,100533496,TVP23C-CDRT4,mouse
57905,Isy1,100534599,ISY1-RAB43,mouse
50995,Uba2,10054,UBA2,mouse
56459,Sae1,10055,SAE1,mouse
23874,Farsb,10056,FARSB,mouse
27416,Abcc5,10057,ABCC5,mouse
74104,Abcb6,10058,ABCB6,mouse
74006,Dnm1l,10059,DNM1L,mouse
12564,Cdh8,1006,CDH8,mouse
20928,Abcc9,10060,ABCC9,mouse
27407,Abcf2,10061,ABCF2,mouse
387199,Mir203,100616173,MIR203B,mouse
22259,Nr1h3,10062,NR1H3,mouse
12856,Cox17,10063,COX17,mouse
384198,Fam47e,100631383,FAM47E-STBD1,mouse
53600,Timm23,100652748,TIMM23B,mouse
381260,Gm973,100652824,KIAA2012,mouse
58251,Cep295nl,100653515,CEP295NL,mouse
24044,Scamp2,10066,SCAMP2,mouse
24045,Scamp3,10067,SCAMP3,mouse
16068,Il18bp,10068,IL18BP,mouse
53858,Rwdd2b,10069,RWDD2B,mouse
12565,Cdh9,1007,CDH9,mouse
102633301,Gm31160,10071,MUC12,mouse
75221,Dpp3,10072,DPP3,mouse
66069,Snupn,10073,SNUPN,mouse
59026,Huwe1,10075,HUWE1,mouse
19273,Ptpru,10076,PTPRU,mouse
27027,Tspan32,10077,TSPAN32,mouse
56844,Tssc4,10078,TSSC4,mouse
11981,Atp9a,10079,ATP9A,mouse
320873,Cdh10,1008,CDH10,mouse
50996,Pdcd7,10081,PDCD7,mouse
23888,Gpc6,10082,GPC6,mouse
102371,Myzap,100820829,MYZAP,mouse
72088,Ush1c,10083,USH1C,mouse
54633,Pqbp1,10084,PQBP1,mouse
13612,Edil3,10085,EDIL3,mouse
654498,Hhla1,10086,HHLA1,mouse
100503583,Fsbp,100861412,FSBP,mouse
105180375,Tmem265,100862671,TMEM265,mouse
68018,Cert1,10087,CERT1,mouse
115487004,Gm26002,100873741,RNU6-26P,mouse
115486659,Gm23239,100873814,RNU1-17P,mouse
115490060,Gm23738,100873815,RNU1-18P,mouse
115488862,Gm23102,100873833,RNU5F-6P,mouse
115489624,Gm26505,100873863,RNU1-22P,mouse
667306,Gm11634,100874261,CCDC200,mouse
103214,Ifngas1,100885789,IFNG-AS1,mouse
73635,Ptges3l,100885848,PTGES3L,mouse
69684,Aarsd1,100885850,PTGES3L-AARSD1,mouse
16530,Kcnk7,10089,KCNK7,mouse
12552,Cdh11,1009,CDH11,mouse
338362,Ust,10090,UST,mouse
67771,Arpc5,10092,ARPC5,mouse
68089,Arpc4,10093,ARPC4,mouse
56378,Arpc3,10094,ARPC3,mouse
11867,Arpc1b,10095,ARPC1B,mouse
74117,Actr3,10096,ACTR3,mouse
66713,Actr2,10097,ACTR2,mouse
56224,Tspan5,10098,TSPAN5,mouse
56434,Tspan3,10099,TSPAN3,mouse
100039239,Ctxnd1,100996492,CTXND1,mouse
67654,4930558C23Rik,100996521,CTXND2,mouse
66117,Fmc1,100996928,FMC1-LUC7L2,mouse
66459,Pyurf,100996939,PYURF,mouse
11501,Adam8,101,ADAM8,mouse
215654,Cdh12,1010,CDH12,mouse
70747,Tspan2,10100,TSPAN2,mouse
26426,Nubp2,10101,NUBP2,mouse
66399,Tsfm,10102,TSFM,mouse
66805,Tspan1,10103,TSPAN1,mouse
105675,Ppif,10105,PPIF,mouse
99412,Golga2,101059918,GOLGA8R,mouse
100040019,Saxo3,101059948,LOC101059948,mouse
52468,Ctdsp2,10106,CTDSP2,mouse
67028,2610002M06Rik,101060146,CHMP1B2P,mouse
330463,Zfp78,101060200,ZNF891,mouse
19824,Trim10,10107,TRIM10,mouse
76709,Arpc2,10109,ARPC2,mouse
27219,Sgk2,10110,SGK2,mouse
19360,Rad50,10111,RAD50,mouse
19348,Kif20a,10112,KIF20A,mouse
50907,Preb,10113,PREB,mouse
15259,Hipk3,10114,HIPK3,mouse
14155,Fem1b,10116,FEM1B,mouse
13801,Enam,10117,ENAM,mouse
12554,Cdh13,1012,CDH13,mouse
226977,Actr1b,10120,ACTR1B,mouse
54130,Actr1a,10121,ACTR1A,mouse
320982,Arl4c,10123,ARL4C,mouse
11861,Arl4a,10124,ARL4A,mouse
19419,Rasgrp1,10125,RASGRP1,mouse
54152,Dnal4,10126,DNAL4,mouse
74120,Zfp263,10127,ZNF263,mouse
72416,Lrpprc,10128,LRPPRC,mouse
320365,Fry,10129,FRY,mouse
12555,Cdh15,1013,CDH15,mouse
71853,Pdia6,10130,PDIA6,mouse
68015,Trap1,10131,TRAP1,mouse
71648,Optn,10133,OPTN,mouse
27061,Bcap31,10134,BCAP31,mouse
59027,Nampt,10135,NAMPT,mouse
242711,Cela3a,10136,CELA3A,mouse
67868,Cela3b,10136,CELA3A,mouse
75710,Rbm12,10137,RBM12,mouse
67057,Yaf2,10138,YAF2,mouse
76688,Arfrp1,10139,ARFRP1,mouse
12556,Cdh16,1014,CDH16,mouse
22057,Tob1,10140,TOB1,mouse
613262,BC029722,101410538,MMP24OS,mouse
100986,Akap9,10142,AKAP9,mouse
403395,Clec3a,10143,CLEC3A,mouse
58909,Fam13a,10144,FAM13A,mouse
27041,G3bp1,10146,G3BP1,mouse
234373,Sugp2,10147,SUGP2,mouse
50498,Ebi3,10148,EBI3,mouse
237175,Adgrg2,10149,ADGRG2,mouse
12557,Cdh17,1015,CDH17,mouse
105559,Mbnl2,10150,MBNL2,mouse
329165,Abi2,10152,ABI2,mouse
12607,Cebpz,10153,CEBPZ,mouse
54712,Plxnc1,10154,PLXNC1,mouse
21849,Trim28,10155,TRIM28,mouse
54153,Rasa4,10156,RASA4,mouse
30956,Aass,10157,AASS,mouse
67182,Pdzk1ip1,10158,PDZK1IP1,mouse
70495,Atp6ap2,10159,ATP6AP2,mouse
320865,Cdh18,1016,CDH18,mouse
223254,Farp1,10160,FARP1,mouse
67168,Lpar6,10161,LPAR6,mouse
14792,Lpcat3,10162,LPCAT3,mouse
242687,Wasf2,10163,WASF2,mouse
26887,Chst4,10164,CHST4,mouse
50799,Slc25a13,10165,SLC25A13,mouse
18408,Slc25a15,10166,SLC25A15,mouse
378702,Serf2,10169,SERF2,mouse
12566,Cdk2,1017,CDK2,mouse
241452,Dhrs9,10170,DHRS9,mouse
59028,Rcl1,10171,RCL1,mouse
22768,Zfy2,10172,ZNF256,mouse
22767,Zfy1,10172,ZNF256,mouse
20410,Sorbs3,10174,SORBS3,mouse
12793,Cnih1,10175,CNIH1,mouse
23963,Tenm1,10178,TENM1,mouse
67010,Rbm7,10179,RBM7,mouse
69681,Cdk3,1018,CDK3,mouse
19654,Rbm6,10180,RBM6,mouse
83486,Rbm5,10181,RBM5,mouse
218454,Lhfpl2,10184,LHFPL2,mouse
108927,Lhfp,10186,LHFPL6,mouse
51789,Tnk2,10188,TNK2,mouse
100043231,Alyreffm6,10189,ALYREF,mouse
100043235,Alyreffm7,10189,ALYREF,mouse
100043239,Alyreffm8,10189,ALYREF,mouse
100043247,Alyreffm9,10189,ALYREF,mouse
21681,Alyref,10189,ALYREF,mouse
56009,Alyref2,10189,ALYREF,mouse
435615,Alyreffm3,10189,ALYREF,mouse
70988,4931428L18Rik|Gm29669,10189,ALYREF,mouse
12567,Cdk4,1019,CDK4,mouse
98258,Txndc9,10190,TXNDC9,mouse
69642,Mlip,101927189,LOC101927189,mouse
121811722,Smim36,101927367,SMIM36,mouse
74297,Ccdc182,101927581,CCDC182,mouse
628686,D030068K23Rik,101927957,LINC01572,mouse
102637705,Ly6l,101928108,LY6L,mouse
75328,Fam243,101928147,C21orf140,mouse
320846,Gjd2os,101928174,GJD2-DT,mouse
665186,Zpld2,101928303,ZPLD2P,mouse
66364,Pigbos1,101928527,PIGBOS1,mouse
75033,Mei4,101928601,MEI4,mouse
432582,Ccdc92b,101928991,CCDC92B,mouse
403185,Cfap97d2,101929355,CFAP97D2,mouse
71149,Tex52,101929469,TEX52,mouse
100415915,A530072M11Rik,101929709,RIPK2-DT,mouse
653016,Mymx,101929726,MYMX,mouse
100041253,Gm16513,101929983,PRAMEF27,mouse
100041179,Gm3183,101929983,PRAMEF27,mouse
100041102,Pramel42,101929983,PRAMEF27,mouse
100012,Oog3,101929983,PRAMEF27,mouse
100041077,Pramel61,101929983,PRAMEF27,mouse
100041032,Pramel38,101929983,PRAMEF27,mouse
100041296,Pramel47,101929983,PRAMEF27,mouse
100040861,Gm13057,101929983,PRAMEF27,mouse
100041806,LOC100041806,101929983,PRAMEF27,mouse
100039010,LOC100039010,101929983,PRAMEF27,mouse
100039087,Gm2042,101929983,PRAMEF27,mouse
108168683,LOC108168683,101929983,PRAMEF27,mouse
100039315,Pramel51,101929983,PRAMEF27,mouse
242736,Pramel12,101929983,PRAMEF27,mouse
242737,Oog4,101929983,PRAMEF27,mouse
194227,Pramel25,101929983,PRAMEF27,mouse
194225,Pramel27,101929983,PRAMEF27,mouse
193322,Oog1,101929983,PRAMEF27,mouse
384077,Pramel5,101929983,PRAMEF27,mouse
626943,Pramel14,101929983,PRAMEF27,mouse
381570,Oog2,101929983,PRAMEF27,mouse
545693,Gm13043,101929983,PRAMEF27,mouse
381590,Pramel32,101929983,PRAMEF27,mouse
545662,Pramel17,101929983,PRAMEF27,mouse
381654,Pramel34,101929983,PRAMEF27,mouse
626922,Pramel28,101929983,PRAMEF27,mouse
347710,Pramel4,101929983,PRAMEF27,mouse
626995,Pramel30,101929983,PRAMEF27,mouse
320549,Pramel48,101929983,PRAMEF27,mouse
627009,Pramel15,101929983,PRAMEF27,mouse
277666,Pramel24,101929983,PRAMEF27,mouse
332923,Pramel19,101929983,PRAMEF27,mouse
433779,Pramel31,101929983,PRAMEF27,mouse
277667,Pramel23,101929983,PRAMEF27,mouse
381569,Pramel26,101929983,PRAMEF27,mouse
347711,Pramel6,101929983,PRAMEF27,mouse
277668,Pramel22,101929983,PRAMEF27,mouse
329986,Pramel20,101929983,PRAMEF27,mouse
347712,Pramel7,101929983,PRAMEF27,mouse
381535,Pramel18,101929983,PRAMEF27,mouse
381536,Gm12789,101929983,PRAMEF27,mouse
665802,Pramel35,101929983,PRAMEF27,mouse
666203,Pramel50,101929983,PRAMEF27,mouse
77632,Pramel13,101929983,PRAMEF27,mouse
83491,Pramel1,101929983,PRAMEF27,mouse
97187,Pramel29,101929983,PRAMEF27,mouse
436336,Gm5767,101929989,LITAFD,mouse
67588,Rnf41,10193,RNF41,mouse
110796,Tshz1,10194,TSHZ1,mouse
208624,Alg3,10195,ALG3,mouse
115489840,Gm24046,101954267,RNVU1-15,mouse
115486615,Gm23928,101954269,RNVU1-17,mouse
71974,Prmt3,10196,PRMT3,mouse
19192,Psme3,10197,PSME3,mouse
269702,Mphosph9,10198,MPHOSPH9,mouse
67973,Mphosph10,10199,MPHOSPH10,mouse
11487,Adam10,102,ADAM10,mouse
12568,Cdk5,1020,CDK5,mouse
68533,Mphosph6,10200,MPHOSPH6,mouse
54369,Nme6,10201,NME6,mouse
71412,Dhrs2,10202,DHRS2,mouse
54598,Calcrl,10203,CALCRL,mouse
100043462,Nutf2-ps1,10204,NUTF2,mouse
68051,Nutf2,10204,NUTF2,mouse
14012,Mpzl2,10205,MPZL2,mouse
66597,Trim13,10206,TRIM13,mouse
12695,Patj,10207,PATJ,mouse
231915,Uspl1,10208,USPL1,mouse
20918,Eif1,10209,EIF1,mouse
12571,Cdk6,1021,CDK6,mouse
106021,Topors,10210,TOPORS,mouse
14251,Flot1,10211,FLOT1,mouse
68278,Ddx39a,10212,DDX39A,mouse
59029,Psmd14,10213,PSMD14,mouse
385312,Ssxb10,10214,SSX3,mouse
387131,Ssxb9,10214,SSX3,mouse
546263,Gm14459,10214,SSX3,mouse
382206,Ssx9,10214,SSX3,mouse
67985,Ssxb1,10214,SSX3,mouse
668976,Ssxb6,10214,SSX3,mouse
50913,Olig2,10215,OLIG2,mouse
