study	family	rule	direction	background	tests	n	N	significant	status
OSD-25	RDKG curated genetic	sensitivity	up	retained conditional	83.0	62.0	130.0	0.0	run
OSD-25	RDKG curated genetic	sensitivity	down	all annotated	192.0	31.0	486.0	0.0	run
OSD-25	RDKG curated genetic	sensitivity	down	retained conditional	83.0	31.0	130.0	0.0	run
OSD-25	DIG lipid traits	strict	all	all annotated	4.0	116.0	21710.0	4.0	run
OSD-25	DIG lipid traits	strict	all	retained conditional	4.0	116.0	4493.0	4.0	run
OSD-25	DIG lipid traits	strict	up	all annotated	4.0	85.0	21710.0	4.0	run
OSD-25	DIG lipid traits	strict	up	retained conditional	4.0	85.0	4493.0	4.0	run
OSD-25	DIG lipid traits	strict	down	all annotated	4.0	31.0	21710.0	4.0	run
OSD-25	DIG lipid traits	strict	down	retained conditional	4.0	31.0	4493.0	1.0	run
OSD-25	DIG lipid traits	sensitivity	all	all annotated	4.0	3155.0	21710.0	4.0	run
OSD-25	DIG lipid traits	sensitivity	all	retained conditional	4.0	3155.0	4493.0	1.0	run
OSD-25	DIG lipid traits	sensitivity	up	all annotated	4.0	2389.0	21710.0	4.0	run
OSD-25	DIG lipid traits	sensitivity	up	retained conditional	4.0	2389.0	4493.0	0.0	run
OSD-25	DIG lipid traits	sensitivity	down	all annotated	4.0	766.0	21710.0	4.0	run
OSD-25	DIG lipid traits	sensitivity	down	retained conditional	4.0	766.0	4493.0	0.0	run
OSD-47	GO BP	strict	all	all annotated	9381.0	4.0	7578.0	1.0	run
OSD-47	GO BP	strict	all	retained conditional	303.0	4.0	30.0	0.0	run
OSD-47	GO BP	strict	up	all annotated					skipped: no mapped foreground
OSD-47	GO BP	strict	up	retained conditional					skipped: no mapped foreground
OSD-47	GO BP	strict	down	all annotated	9381.0	4.0	7578.0	1.0	run
OSD-47	GO BP	strict	down	retained conditional	303.0	4.0	30.0	0.0	run
OSD-47	GO BP	sensitivity	all	all annotated	9381.0	7.0	7578.0	1.0	run
OSD-47	GO BP	sensitivity	all	retained conditional	303.0	7.0	30.0	0.0	run
OSD-47	GO BP	sensitivity	up	all annotated	9381.0	2.0	7578.0	0.0	run
OSD-47	GO BP	sensitivity	up	retained conditional	303.0	2.0	30.0	0.0	run
OSD-47	GO BP	sensitivity	down	all annotated	9381.0	5.0	7578.0	1.0	run
OSD-47	GO BP	sensitivity	down	retained conditional	303.0	5.0	30.0	0.0	run
OSD-47	Reactome	strict	all	all annotated	2124.0	4.0	5972.0	0.0	run
OSD-47	Reactome	strict	all	retained conditional	121.0	4.0	24.0	0.0	run
OSD-47	Reactome	strict	up	all annotated	2124.0	1.0	5972.0	0.0	run
OSD-47	Reactome	strict	up	retained conditional	121.0	1.0	24.0	0.0	run
OSD-47	Reactome	strict	down	all annotated	2124.0	3.0	5972.0	0.0	run
OSD-47	Reactome	strict	down	retained conditional	121.0	3.0	24.0	0.0	run
OSD-47	Reactome	sensitivity	all	all annotated	2124.0	6.0	5972.0	0.0	run
OSD-47	Reactome	sensitivity	all	retained conditional	121.0	6.0	24.0	0.0	run
OSD-47	Reactome	sensitivity	up	all annotated	2124.0	3.0	5972.0	0.0	run
OSD-47	Reactome	sensitivity	up	retained conditional	121.0	3.0	24.0	0.0	run
OSD-47	Reactome	sensitivity	down	all annotated	2124.0	3.0	5972.0	0.0	run
OSD-47	Reactome	sensitivity	down	retained conditional	121.0	3.0	24.0	0.0	run
OSD-47	RDKG curated genetic	strict	all	all annotated	192.0	1.0	486.0	0.0	run
OSD-47	RDKG curated genetic	strict	all	retained conditional	2.0	1.0	2.0	0.0	run
OSD-47	RDKG curated genetic	strict	up	all annotated					skipped: no mapped foreground
OSD-47	RDKG curated genetic	strict	up	retained conditional					skipped: no mapped foreground
OSD-47	RDKG curated genetic	strict	down	all annotated	192.0	1.0	486.0	0.0	run
OSD-47	RDKG curated genetic	strict	down	retained conditional	2.0	1.0	2.0	0.0	run
OSD-47	RDKG curated genetic	sensitivity	all	all annotated	192.0	1.0	486.0	0.0	run
OSD-47	RDKG curated genetic	sensitivity	all	retained conditional	2.0	1.0	2.0	0.0	run
OSD-47	RDKG curated genetic	sensitivity	up	all annotated					skipped: no mapped foreground
OSD-47	RDKG curated genetic	sensitivity	up	retained conditional					skipped: no mapped foreground
OSD-47	RDKG curated genetic	sensitivity	down	all annotated	192.0	1.0	486.0	0.0	run
OSD-47	RDKG curated genetic	sensitivity	down	retained conditional	2.0	1.0	2.0	0.0	run
OSD-47	DIG lipid traits	strict	all	all annotated	4.0	9.0	21710.0	0.0	run
OSD-47	DIG lipid traits	strict	all	retained conditional	4.0	9.0	84.0	0.0	run
OSD-47	DIG lipid traits	strict	up	all annotated	4.0	3.0	21710.0	1.0	run
OSD-47	DIG lipid traits	strict	up	retained conditional	4.0	3.0	84.0	0.0	run
OSD-47	DIG lipid traits	strict	down	all annotated	4.0	6.0	21710.0	0.0	run
OSD-47	DIG lipid traits	strict	down	retained conditional	4.0	6.0	84.0	0.0	run
OSD-47	DIG lipid traits	sensitivity	all	all annotated	4.0	16.0	21710.0	0.0	run
OSD-47	DIG lipid traits	sensitivity	all	retained conditional	4.0	16.0	84.0	0.0	run
OSD-47	DIG lipid traits	sensitivity	up	all annotated	4.0	8.0	21710.0	0.0	run
OSD-47	DIG lipid traits	sensitivity	up	retained conditional	4.0	8.0	84.0	0.0	run
OSD-47	DIG lipid traits	sensitivity	down	all annotated	4.0	8.0	21710.0	0.0	run
OSD-47	DIG lipid traits	sensitivity	down	retained conditional	4.0	8.0	84.0	0.0	run
OSD-137	GO BP	strict	all	all annotated	9381.0	1.0	7578.0	0.0	run
OSD-137	GO BP	strict	all	retained conditional	60.0	1.0	3.0	0.0	run
OSD-137	GO BP	strict	up	all annotated	9381.0	1.0	7578.0	0.0	run
OSD-137	GO BP	strict	up	retained conditional	60.0	1.0	3.0	0.0	run
OSD-137	GO BP	strict	down	all annotated					skipped: no mapped foreground
OSD-137	GO BP	strict	down	retained conditional					skipped: no mapped foreground
OSD-137	GO BP	sensitivity	all	all annotated	9381.0	1.0	7578.0	0.0	run
OSD-137	GO BP	sensitivity	all	retained conditional	60.0	1.0	3.0	0.0	run
OSD-137	GO BP	sensitivity	up	all annotated	9381.0	1.0	7578.0	0.0	run
OSD-137	GO BP	sensitivity	up	retained conditional	60.0	1.0	3.0	0.0	run
OSD-137	GO BP	sensitivity	down	all annotated					skipped: no mapped foreground
OSD-137	GO BP	sensitivity	down	retained conditional					skipped: no mapped foreground
OSD-137	Reactome	strict	all	all annotated					skipped: no mapped foreground
OSD-137	Reactome	strict	all	retained conditional					skipped: no mapped foreground
OSD-137	Reactome	strict	up	all annotated					skipped: no mapped foreground
OSD-137	Reactome	strict	up	retained conditional					skipped: no mapped foreground
OSD-137	Reactome	strict	down	all annotated					skipped: no mapped foreground
OSD-137	Reactome	strict	down	retained conditional					skipped: no mapped foreground
OSD-137	Reactome	sensitivity	all	all annotated					skipped: no mapped foreground
OSD-137	Reactome	sensitivity	all	retained conditional					skipped: no mapped foreground
OSD-137	Reactome	sensitivity	up	all annotated					skipped: no mapped foreground
OSD-137	Reactome	sensitivity	up	retained conditional					skipped: no mapped foreground
OSD-137	Reactome	sensitivity	down	all annotated					skipped: no mapped foreground
OSD-137	Reactome	sensitivity	down	retained conditional					skipped: no mapped foreground
OSD-137	RDKG curated genetic	strict	all	all annotated					skipped: no mapped foreground
OSD-137	RDKG curated genetic	strict	all	retained conditional					skipped: no mapped foreground
OSD-137	RDKG curated genetic	strict	up	all annotated					skipped: no mapped foreground
OSD-137	RDKG curated genetic	strict	up	retained conditional					skipped: no mapped foreground
OSD-137	RDKG curated genetic	strict	down	all annotated					skipped: no mapped foreground
OSD-137	RDKG curated genetic	strict	down	retained conditional					skipped: no mapped foreground
OSD-137	RDKG curated genetic	sensitivity	all	all annotated					skipped: no mapped foreground
OSD-137	RDKG curated genetic	sensitivity	all	retained conditional					skipped: no mapped foreground
OSD-137	RDKG curated genetic	sensitivity	up	all annotated					skipped: no mapped foreground
OSD-137	RDKG curated genetic	sensitivity	up	retained conditional					skipped: no mapped foreground
OSD-137	RDKG curated genetic	sensitivity	down	all annotated					skipped: no mapped foreground
OSD-137	RDKG curated genetic	sensitivity	down	retained conditional					skipped: no mapped foreground
OSD-137	DIG lipid traits	strict	all	all annotated	4.0	1.0	21710.0	0.0	run
OSD-137	DIG lipid traits	strict	all	retained conditional					skipped: no mapped foreground
OSD-137	DIG lipid traits	strict	up	all annotated	4.0	1.0	21710.0	0.0	run
OSD-137	DIG lipid traits	strict	up	retained conditional					skipped: no mapped foreground
OSD-137	DIG lipid traits	strict	down	all annotated					skipped: no mapped foreground
OSD-137	DIG lipid traits	strict	down	retained conditional					skipped: no mapped foreground
OSD-137	DIG lipid traits	sensitivity	all	all annotated	4.0	1.0	21710.0	0.0	run
OSD-137	DIG lipid traits	sensitivity	all	retained conditional					skipped: no mapped foreground
OSD-137	DIG lipid traits	sensitivity	up	all annotated	4.0	1.0	21710.0	0.0	run
OSD-137	DIG lipid traits	sensitivity	up	retained conditional					skipped: no mapped foreground
OSD-137	DIG lipid traits	sensitivity	down	all annotated					skipped: no mapped foreground
OSD-137	DIG lipid traits	sensitivity	down	retained conditional					skipped: no mapped foreground
