study	mouse_genes	human_entrez	log2fc	adj_p	direction	tier	score	lipid_terms	diseases	traits	sources_n	sources	ambiguity	rank
OSD-25	Ern1	2081	-1.1529	0.000140772	down	C	4.11529		clear cell renal carcinoma; drug-induced liver injury; epilepsy; gastric adenocarcinoma; glioblastoma; glioma susceptibility; lung adenocarcinoma; lung cancer; nonpapillary renal cell carcinoma; ovarian serous adenocarcinoma; renal carcinoma; renal cell carcinoma	LDL cholesterol	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	22
OSD-25	Efna1	1942	-1.087	0.000526357	down	C	4.1087		breast cancer; breast carcinoma; breast neoplasm; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; squamous cell carcinoma of the corpus uteri; undifferentiated carcinoma of the corpus uteri	non-alcoholic fatty liver disease	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	23
OSD-25	Ankrd17	26057	1.0808	0.00437265	up	C	4.10808		Non-specific syndromic intellectual disability	LDL cholesterol	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	24
OSD-25	Pex11a	8800	1.0775	5.80532e-06	up	C	4.10775		Zellweger spectrum disorders; drug-induced liver injury; inherited obesity; obesity disorder; peroxisome biogenesis disorder	triglyceride measurement	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	25
OSD-25	Sulf2	55959	1.0099	1.96444e-05	up	C	4.10099		breast cancer; breast neoplasm; endometriosis (disease); endometriosis of uterus; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; ovarian endometriosis; squamous cell carcinoma of the corpus uteri; undifferentiated carcinoma of the corpus uteri	HDL cholesterol	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	26
OSD-25	Tor1a	1861	1.002	9.69685e-07	up	C	4.1002		TH-deficient dopa-responsive dystonia; X-linked dystonia-parkinsonism; autosomal recessive Parkinson disease; combined dystonia; dopa-responsive dystonia due to sepiapterin reductase deficiency; dystonia; early-onset generalized dystonia; familial prostate carcinoma; focal dystonia; focal hand dystonia; generalized dystonia; isolated dystonia; myoclonic dystonia; myoclonus-dystonia syndrome; persistent combined dystonia; prostate cancer, hereditary; torsion dystonia; torsion dystonia with onset in infancy	LDL cholesterol; non-alcoholic fatty liver disease	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	27
OSD-47	Tpm3-rs7	7170	5.5092	0.0183924	up	C	3.5		X-linked myotubular myopathy; adenocarcinoma; cap myopathy; carcinoma; centronuclear myopathy; colonic neoplasm; colorectal cancer; congenital fiber-type disproportion myopathy; congenital myopathy; cribriform carcinoma; cribriform carcinoma of breast; diffuse gastric adenocarcinoma; follicular thyroid adenoma; gastric cancer; gastric carcinoma; gastric linitis plastica; gastric neoplasm; granular cell carcinoma; inflammatory myofibroblastic tumor; malignant colon neoplasm; mammary neoplasms, animal; myopathy, tubular aggregate; nemaline myopathy; salivary gland basal cell adenocarcinoma; sarcomatoid carcinoma; squamous cell carcinoma of colon; thyroid adenoma (disease); thyroid cancer; thyroid gland carcinoma; thyroid tumor; tubular adenocarcinoma; undifferentiated carcinoma		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	28
OSD-47	Cacna1h	8912	-4.0775	0.0328389	down	C	3.40775		absence epilepsy; autism (disease); autism spectrum disorder; autism susceptibility 1; beta thalassemia; beta-thalassemia HBB/LCRB; beta-thalassemia and related diseases; beta-thalassemia intermedia; dominant beta-thalassemia; epilepsy, childhood absence, susceptibility to; epilepsy, idiopathic generalized; familial hyperaldosteronism; hemoglobinopathy; hereditary persistence of fetal hemoglobin; hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome; thalassemia		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	29
OSD-47	Ttn	7273	-3.7451	0.0337535	down	C	3.37451		MYH7-related skeletal myopathy; Wilms tumor; adenosarcoma; arrhythmogenic right ventricular dysplasia; arthrogryposis; arthrogryposis multiplex congenita; atrial fibrillation (disease); autosomal recessive myogenic arthrogryposis multiplex congenita; centronuclear myopathy; colorectal adenocarcinoma; congenital myopathy; dilated cardiomyopathy; distal myopathy; distal myopathy, Welander type; early-onset myopathy with fatal cardiomyopathy; familial atrial fibrillation; familial dilated cardiomyopathy; gastric adenocarcinoma; hypertrophic cardiomyopathy; kidney Wilms tumor; limb-girdle muscular dystrophy; lung adenocarcinoma; lung cancer; lung large cell carcinoma; metastatic melanoma; myofibrillar myopathy; myopathy, centronuclear; myopathy, myofibrillar, 9, with early respiratory failure; ovarian mucinous adenocarcinoma; ovarian serous adenocarcinoma; small cell lung carcinoma; squamous cell lung carcinoma; tibial muscular dystrophy; urinary bladder cancer; urinary bladder carcinoma		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	30
OSD-47	Cacna1c	775	-2.9471	0.0366324	down	C	3.29471		Brugada syndrome; Non-specific syndromic intellectual disability; Romano-Ward syndrome; Timothy syndrome; Timothy syndrome type 1; Timothy syndrome type 1 (disorder); Timothy syndrome type 2; Timothy syndrome, atypical type; anxiety disorder; autism (disease); autism spectrum disorder; autism susceptibility 1; bipolar disorder; dysthymic disorder; endogenous depression; hereditary persistence of fetal hemoglobin; hypertrophic cardiomyopathy; hypoglycemia; inborn error of immunity; long QT syndrome; major affective disorder; major depressive disorder; manic bipolar affective disorder; neurotic disorder; phobic disorder; schizophrenia; sickle cell disease; systemic primary carnitine deficiency disease; unipolar depression		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	31
OSD-25	Cidec	63924	2.5991	1.12049e-06	up	C	3.25991		allergic contact dermatitis; familial partial lipodystrophy	HDL cholesterol; LDL cholesterol; triglyceride measurement	3	['spoke-genelab', 'rdkg', 'digcfdekg']	one-to-one	32
OSD-47	Sulf1	23213	-2.5107	0.0178325	down	C	3.25107		borderline epithelial tumor of ovary; familial ovarian cancer; hereditary breast ovarian cancer syndrome; hereditary site-specific ovarian cancer syndrome; immature ovarian teratoma; maligant granulosa cell tumor of ovary; malignant Sertoli-Leydig cell tumor of ovary; malignant dysgerminomatous germ cell tumor of ovary; malignant germ cell tumor of ovary; malignant non-dysgerminomatous germ cell tumor of ovary; malignant sex cord stromal tumor of ovary; mesomelia-synostoses syndrome; ovarian adenocarcinoma; ovarian cancer; ovarian carcinosarcoma; ovarian clear cell adenocarcinoma; ovarian endometrioid adenocarcinoma; ovarian mucinous adenocarcinoma; ovarian neoplasm; ovarian small cell carcinoma; precancerous condition; primary non-gestational choriocarcinoma of ovary; theca steroid-producing cell malignant tumor of ovary, not further specified; yolk sac tumor		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	33
OSD-25	Nr4a1	3164	-2.0099	0.00172	down	C	3.20099		anxiety disorder; bipolar disorder; coronary artery disease; endogenous depression; endometriosis (disease); endometriosis of uterus; exocrine pancreatic carcinoma; familial pancreatic carcinoma; major depressive disorder; malignant pancreatic neoplasm; myocardial ischemia; ovarian endometriosis; pancreatic neoplasm; unipolar depression		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	34
OSD-25	Rarres1	5918	1.9883	7.83277e-05	up	C	3.19883		diffuse gastric adenocarcinoma; gastric cancer; gastric carcinoma; gastric linitis plastica; gastric neoplasm		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	35
OSD-25	Hsph1	10808	-1.9583	4.32814e-05	down	C	3.19583		HIV infectious disease		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	36
OSD-25	Pdgfrl	5157	-1.9574	1.75643e-05	down	C	3.19574		adenocarcinoma of liver and intrahepatic biliary tract; colorectal adenocarcinoma; colorectal cancer; colorectal carcinoma; colorectal neoplasm; fibrolamellar hepatocellular carcinoma; hepatocellular carcinoma; liver cancer; pediatric hepatocellular carcinoma; squamous cell carcinoma of liver and intrahepatic biliary tract; undifferentiated carcinoma of liver and intrahepatic biliary tract		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	37
OSD-25	Acmsd	130013	-1.6147	1.05087e-06	down	C	3.16147			LDL cholesterol	3	['spoke-genelab', 'prokn', 'digcfdekg']	one-to-one	38
OSD-47	Arrdc3	57561	-1.5302	9.44848e-05	down	C	3.15302		breast cancer; breast carcinoma; breast neoplasm; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; squamous cell carcinoma of the corpus uteri; undifferentiated carcinoma of the corpus uteri	HDL cholesterol; triglyceride measurement	3	['spoke-genelab', 'rdkg', 'digcfdekg']	one-to-one	39
OSD-25	Tenm3	55714	1.4948	6.5053e-06	up	C	3.14948		microphthalmia; morphine dependence; occupational asthma; substance abuse/dependence		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	40
OSD-25	Chrna2	1135	1.4273	1.08937e-05	up	C	3.14273		anxiety disorder; autosomal dominant nocturnal frontal lobe epilepsy; bipolar disorder; dysthymic disorder; lung cancer; lung neoplasm; major affective disorder; neurotic disorder; unipolar depression		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	41
OSD-25	Fos	2353	-1.3546	0.0251745	down	C	3.13546		Berardinelli-Seip congenital lipodystrophy; adenocarcinoma of liver and intrahepatic biliary tract; amphetamine abuse; amyotrophic lateral sclerosis; anxiety disorder; breast cancer; breast carcinoma; breast neoplasm; congenital generalized lipodystrophy; encephalopathy; endometriosis (disease); endometriosis of uterus; epilepsy; extrahepatic cholestasis; fibrolamellar hepatocellular carcinoma; fibrous dysplasia; hepatocellular carcinoma; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; ischemia reperfusion injury; juvenile arthritis due to defect in LACC1; juvenile idiopathic arthritis; lipoatrophic diabetes; lipodystrophy; lipodystrophy (disease); liver cancer; lung cancer; lung neoplasm; middle cerebral artery infarction; morphine dependence; ovarian carcinoma; ovarian endometriosis; partial epilepsy; partial motor epilepsy; pediatric hepatocellular carcinoma; phobic disorder; psoriasis-related juvenile idiopathic arthritis; spondyloarthropathy; squamous cell carcinoma of liver and intrahepatic biliary tract; squamous cell carcinoma of the corpus uteri; status epilepticus; substance abuse/dependence; substance withdrawal syndrome; systemic-onset juvenile idiopathic arthritis; trigeminal neuralgia; undifferentiated carcinoma of liver and intrahepatic biliary tract; undifferentiated carcinoma of the corpus uteri; visual epilepsy		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	42
OSD-25	Vnn1	8876	1.3415	0.000358349	up	C	3.13415		atopic eczema; celiac disease; dermatitis, atopic; parapsoriasis; psoriasis; psoriasis 14, pustular; pustulosis palmaris et plantaris; refractory celiac disease		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	43
OSD-25	Pde4d	5144	1.3057	2.8774e-07	up	C	3.13057		acrodysostosis; acrodysostosis with or without hormone resistance; allergic asthma; amphetamine abuse; anxiety disorder; asthma; dysthymic disorder; familial prostate carcinoma; intrinsic asthma; neurotic disorder; peripheral dysostosis; prostate cancer; prostate carcinoma; schizophrenia; unipolar depression		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	44
OSD-25	Fus	2521	1.2908	9.20916e-06	up	C	3.12908		amyotrophic lateral sclerosis; amyotrophic lateral sclerosis-parkinsonism-dementia complex; breast cancer; breast neoplasm; dementia (disease); frontotemporal dementia and/or amyotrophic lateral sclerosis; frontotemporal dementia with motor neuron disease; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; juvenile amyotrophic lateral sclerosis; myxofibrosarcoma; myxoid liposarcoma; squamous cell carcinoma of the corpus uteri; tremor, hereditary essential; undifferentiated carcinoma of the corpus uteri		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	45
OSD-25	Arsg	22901	1.2526	4.89248e-07	up	C	3.12526		Usher syndrome; infantile neuronal ceroid lipofuscinosis; neuronal ceroid lipofuscinosis; neuronal ceroid lipofuscinosis 8 northern epilepsy variant; parkinsonism due to ATP13A2 deficiency	LDL cholesterol	3	['spoke-genelab', 'rdkg', 'digcfdekg']	one-to-one	46
OSD-25	Slc6a9	6536	1.2135	0.000128864	up	C	3.12135		amphetamine abuse; atypical glycine encephalopathy; schizophrenia		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	47
OSD-25	Sgk2	10110	1.1869	0.00114471	up	C	3.11869		lung adenocarcinoma; lung cancer		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	48
OSD-25	Mlxipl	51085	-1.1792	0.000531668	down	C	3.11792		Williams syndrome; adenocarcinoma of liver and intrahepatic biliary tract; chronic kidney disease; chronic renal failure syndrome; end stage renal failure; fibrolamellar hepatocellular carcinoma; hepatocellular carcinoma; liver cancer; pediatric hepatocellular carcinoma; squamous cell carcinoma of liver and intrahepatic biliary tract; undifferentiated carcinoma of liver and intrahepatic biliary tract	HDL cholesterol; LDL cholesterol; non-alcoholic fatty liver disease; triglyceride measurement	3	['spoke-genelab', 'rdkg', 'digcfdekg']	one-to-one	49
OSD-25	Pnpla3	80339	-1.1519	0.0323652	down	C	3.11519		NAFLD1; alcoholic liver cirrhosis; fatty liver disease; non-alcoholic steatohepatitis	HDL cholesterol; non-alcoholic fatty liver disease; triglyceride measurement	3	['spoke-genelab', 'rdkg', 'digcfdekg']	one-to-one	50
OSD-25	E2f8	79733	1.1289	0.0013885	up	C	3.11289		adenocarcinoma of liver and intrahepatic biliary tract; fibrolamellar hepatocellular carcinoma; hepatocellular carcinoma; liver cancer; lung cancer; non-small cell lung carcinoma (disease); pediatric hepatocellular carcinoma; squamous cell carcinoma of liver and intrahepatic biliary tract; undifferentiated carcinoma of liver and intrahepatic biliary tract		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	51
OSD-25	Stip1	10963	-1.1202	2.8774e-07	down	C	3.1120200000000002		anxiety disorder; dysthymic disorder; melanoma; neurotic disorder		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	52
OSD-25	Slc22a26|Slc22a30	114571	-1.1145	3.17098e-05	down	C	3.11145		breast cancer; breast neoplasm; colorectal cancer; colorectal carcinoma; colorectal neoplasm; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; squamous cell carcinoma of the corpus uteri; undifferentiated carcinoma of the corpus uteri	triglyceride measurement	3	['spoke-genelab', 'rdkg', 'digcfdekg']	ambiguous	53
OSD-25	Fgf21	26291	1.1127	1.49133e-05	up	C	3.11127		IDDM 1; diabetes mellitus (disease); diabetic ketoacidosis; fatty liver disease; inherited obesity; middle cerebral artery infarction; non-alcoholic steatohepatitis; obesity disorder; type 1 diabetes mellitus; type 2 diabetes mellitus	HDL cholesterol; LDL cholesterol; non-alcoholic fatty liver disease; triglyceride measurement	3	['spoke-genelab', 'rdkg', 'digcfdekg']	one-to-one	54
OSD-25	Bdh1	622	1.1071	0.000486363	up	C	3.11071		drug-induced liver injury	LDL cholesterol	3	['spoke-genelab', 'rdkg', 'digcfdekg']	one-to-one	55
OSD-25	Pex3	8504	1.1049	0.000101121	up	C	3.11049		Zellweger spectrum disorders; infantile Refsum disease; neonatal adrenoleukodystrophy; peroxisome biogenesis disorder	HDL cholesterol; LDL cholesterol; triglyceride measurement	3	['spoke-genelab', 'rdkg', 'digcfdekg']	one-to-one	56
OSD-25	Pgm3	5238	1.0814	0.00335912	up	C	3.10814		combined immunodeficiency; immunodeficiency 23; severe combined immunodeficiency		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	57
OSD-25	Rrs1	23212	1.0682	0.000475725	up	C	3.10682		lung adenocarcinoma; lung cancer		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	58
OSD-25	Idh3a	3419	1.0621	7.56811e-05	up	C	3.10621		arthropathy; osteoarthritis; osteoarthritis susceptibility; retinitis pigmentosa		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	59
OSD-47	Aqp8	343	1.0601	0.0101192	up	C	3.10601		breast cancer; breast neoplasm; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; squamous cell carcinoma of the corpus uteri; undifferentiated carcinoma of the corpus uteri	HDL cholesterol; LDL cholesterol	3	['spoke-genelab', 'rdkg', 'digcfdekg']	one-to-one	60
OSD-25	Galnt2	2590	1.0574	3.38641e-06	up	C	3.10574			HDL cholesterol; LDL cholesterol; triglyceride measurement	3	['spoke-genelab', 'prokn', 'digcfdekg']	one-to-one	61
OSD-47	Mafb	9935	1.0363	0.0172875	up	C	3.10363		Duane retraction syndrome; Duane retraction syndrome 2; Duane retraction syndrome 3 with or without deafness; Duane syndrome type 1; Duane-radial ray syndrome; cleft lip (disease); isolated cleft lip; multicentric carpo-tarsal osteolysis with or without nephropathy	LDL cholesterol; triglyceride measurement	3	['spoke-genelab', 'rdkg', 'digcfdekg']	one-to-one	62
OSD-25	Lasp1	3927	-1.0351	1.49133e-05	down	C	3.10351		autism (disease); autism spectrum disorder; autism susceptibility 1; endometrial cancer; endometrial carcinoma (disease); endometrium neoplasm; schizophrenia; uterine corpus cancer		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	63
