naicsCode	naicsLabel	industryGroup	priorClass	nFacilities	nCells
335931	Current-Carrying Wiring Device Manufacturing	Other electrical equipment manufacturing	Moderate	4	4
316110	Leather and Hide Tanning and Finishing	Leather & hide tanning and finishing	High	4	4
313210	Broadwoven Fabric Mills	Fabric mills	High	3	3
221112	Fossil Fuel Electric Power Generation	Electric power generation	Moderate	3	2
313230	Nonwoven Fabric Mills	Fabric mills	High	3	3
322220	Paper Bag and Coated and Treated Paper Manufacturing	Paper coating & laminating	High	3	3
488190	Other Support Activities for Air Transportation	Airport operations (AFFF fire training)	High	3	3
334413	Semiconductor and Related Device Manufacturing	Semiconductor & electronic component manufacturing	Moderate	3	3
562112	Hazardous Waste Collection	Waste collection	High	3	3
92811	National Security	National security / military installation (AFFF)	High	3	3
31611	Leather and Hide Tanning and Finishing	Leather & hide tanning and finishing	High	3	3
562211	Hazardous Waste Treatment and Disposal	Waste treatment & disposal (landfill, hazardous waste)	High	3	3
335999	All Other Miscellaneous Electrical Equipment and Component Manufacturing	Other electrical equipment manufacturing	Moderate	3	2
221310	Water Supply and Irrigation Systems	Water supply systems	Moderate	3	3
325120	Industrial Gas Manufacturing	Basic chemical manufacturing	High	3	2
325991	Custom Compounding of Purchased Resins	Other chemical product manufacturing	High	2	2
42393	Recyclable Material Merchant Wholesalers	Other EPA PFAS-flagged industry	Low	2	2
327910	Abrasive Product Manufacturing	Other EPA PFAS-flagged industry	Low	2	2
332322	Sheet Metal Work Manufacturing	Other EPA PFAS-flagged industry	Low	2	2
325611	Soap and Other Detergent Manufacturing	Other EPA PFAS-flagged industry	Low	2	2
332721	Precision Turned Product Manufacturing	Other EPA PFAS-flagged industry	Low	2	2
326112	Plastics Packaging Film and Sheet (including Laminated) Manufacturing	Plastics & rubber products manufacturing	Moderate	2	2
32612	Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing	Plastics & rubber products manufacturing	Moderate	2	2
49319	Other Warehousing and Storage	Other EPA PFAS-flagged industry	Low	2	2
325412	Pharmaceutical Preparation Manufacturing	Other EPA PFAS-flagged industry	Low	2	2
811111	General Automotive Repair	Other EPA PFAS-flagged industry	Low	2	2
611110	Elementary and Secondary Schools	Other EPA PFAS-flagged industry	Low	2	2
22132	Sewage Treatment Facilities	Sewage treatment (effluent & biosolids)	High	2	2
924110	Administration of Air and Water Resource and Solid Waste Management Programs	Other EPA PFAS-flagged industry	Low	2	2
313310	Textile and Fabric Finishing Mills	Textile & fabric finishing / coating	High	2	2
31332	Fabric Coating Mills	Textile & fabric finishing / coating	High	2	2
313320	Fabric Coating Mills	Textile & fabric finishing / coating	High	2	1
81292	Photofinishing	Other EPA PFAS-flagged industry	Low	2	2
314999	All Other Miscellaneous Textile Product Mills	Other textile product mills	High	2	2
32211	Pulp Mills	Pulp, paper & paperboard mills	High	2	2
334417	Electronic Connector Manufacturing	Semiconductor & electronic component manufacturing	Moderate	2	1
562219	Other Nonhazardous Waste Treatment and Disposal	Waste treatment & disposal (landfill, hazardous waste)	High	2	2
562910	Remediation Services	Remediation & other waste services	Moderate	2	2
323113	Commercial Screen Printing	Printing & related support activities	Moderate	2	2
322230	Stationery Product Manufacturing	Other EPA PFAS-flagged industry	Low	2	2
922120	Police Protection	Other EPA PFAS-flagged industry	Low	1	1
812930	Parking Lots and Garages	Other EPA PFAS-flagged industry	Low	1	1
336991	Motorcycle, Bicycle, and Parts Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
336611	Ship Building and Repairing	Other EPA PFAS-flagged industry	Low	1	1
336415	Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
562998	All Other Miscellaneous Waste Management Services	Remediation & other waste services	Moderate	1	1
551114	Corporate, Subsidiary, and Regional Managing Offices	Other EPA PFAS-flagged industry	Low	1	1
336360	Motor Vehicle Seating and Interior Trim Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
541420	Industrial Design Services	Other EPA PFAS-flagged industry	Low	1	1
925120	Administration of Urban Planning and Community and Rural Development	Other EPA PFAS-flagged industry	Low	1	1
92612	Regulation and Administration of Transportation Programs	Other EPA PFAS-flagged industry	Low	1	1
493190	Other Warehousing and Storage	Other EPA PFAS-flagged industry	Low	1	1
336412	Aircraft Engine and Engine Parts Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
337215	Showcase, Partition, Shelving, and Locker Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
336999	All Other Transportation Equipment Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
482111	Line-Haul Railroads	Other EPA PFAS-flagged industry	Low	1	1
56291	Remediation Services	Remediation & other waste services	Moderate	1	1
423720	Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers	Other EPA PFAS-flagged industry	Low	1	1
531120	Lessors of Nonresidential Buildings (except Miniwarehouses)	Other EPA PFAS-flagged industry	Low	1	1
712190	Nature Parks and Other Similar Institutions	Other EPA PFAS-flagged industry	Low	1	1
42469	Other Chemical and Allied Products Merchant Wholesalers	Chemical & allied products wholesalers	Moderate	1	1
62149	Other Outpatient Care Centers	Other EPA PFAS-flagged industry	Low	1	1
611691	Exam Preparation and Tutoring	Other EPA PFAS-flagged industry	Low	1	1
56292	Materials Recovery Facilities	Remediation & other waste services	Moderate	1	1
441120	Used Car Dealers	Other EPA PFAS-flagged industry	Low	1	1
441210	Recreational Vehicle Dealers	Other EPA PFAS-flagged industry	Low	1	1
532310	General Rental Centers	Other EPA PFAS-flagged industry	Low	1	1
22	Utilities	Other EPA PFAS-flagged industry	Low	1	1
334412	Bare Printed Circuit Board Manufacturing	Semiconductor & electronic component manufacturing	Moderate	1	1
334310	Audio and Video Equipment Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
325520	Adhesive Manufacturing	Paint, coating & adhesive manufacturing	High	1	1
32552	Adhesive Manufacturing	Paint, coating & adhesive manufacturing	High	1	1
32551	Paint and Coating Manufacturing	Paint, coating & adhesive manufacturing	High	1	1
325411	Medicinal and Botanical Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
32519	Other Basic Organic Chemical Manufacturing	Basic chemical manufacturing	High	1	1
325	Chemical Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
324199	All Other Petroleum and Coal Products Manufacturing	Petroleum & coal products manufacturing	Moderate	1	1
324121	Asphalt Paving Mixture and Block Manufacturing	Petroleum & coal products manufacturing	Moderate	1	1
323120	Support Activities for Printing	Printing & related support activities	Moderate	1	1
32222	Paper Bag and Coated and Treated Paper Manufacturing	Paper coating & laminating	High	1	1
322212	Folding Paperboard Box Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
322211	Corrugated and Solid Fiber Box Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
32213	Paperboard Mills	Pulp, paper & paperboard mills	High	1	1
32212	Paper Mills	Pulp, paper & paperboard mills	High	1	1
321999	All Other Miscellaneous Wood Product Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
316990	Other Leather and Allied Product Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
314110	Carpet and Rug Mills	Textile furnishings mills	High	1	1
311999	All Other Miscellaneous Food Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
311221	Wet Corn Milling and Starch Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
23822	Plumbing, Heating, and Air-Conditioning Contractors	Other EPA PFAS-flagged industry	Low	1	1
237990	Other Heavy and Civil Engineering Construction	Other EPA PFAS-flagged industry	Low	1	1
23731	Highway, Street, and Bridge Construction	Other EPA PFAS-flagged industry	Low	1	1
22131	Water Supply and Irrigation Systems	Water supply systems	Moderate	1	1
325612	Polish and Other Sanitation Good Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
325620	Toilet Preparation Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
32591	Printing Ink Manufacturing	Other chemical product manufacturing	High	1	1
332311	Prefabricated Metal Building and Component Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
33429	Other Communications Equipment Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
334220	Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
33422	Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
334112	Computer Storage Device Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
333514	Special Die and Tool, Die Set, Jig, and Fixture Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
332996	Fabricated Pipe and Pipe Fitting Manufacturing	Other fabricated metal product manufacturing	Moderate	1	1
332994	Small Arms, Ordnance, and Ordnance Accessories Manufacturing	Other fabricated metal product manufacturing	Moderate	1	1
332913	Plumbing Fixture Fitting and Trim Manufacturing	Other fabricated metal product manufacturing	Moderate	1	1
332811	Metal Heat Treating	Metal coating & electroplating	High	1	1
332710	Machine Shops	Other EPA PFAS-flagged industry	Low	1	1
332119	Metal Crown, Closure, and Other Metal Stamping (except Automotive)	Other EPA PFAS-flagged industry	Low	1	1
325910	Printing Ink Manufacturing	Other chemical product manufacturing	High	1	1
331492	Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)	Other EPA PFAS-flagged industry	Low	1	1
221111	Hydroelectric Power Generation	Electric power generation	Moderate	1	1
327310	Cement Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
327215	Glass Product Manufacturing Made of Purchased Glass	Other EPA PFAS-flagged industry	Low	1	1
327120	Clay Building Material and Refractories Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
326211	Tire Manufacturing (except Retreading)	Plastics & rubber products manufacturing	Moderate	1	1
326130	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing	Plastics & rubber products manufacturing	Moderate	1	1
32613	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing	Plastics & rubber products manufacturing	Moderate	1	1
326121	Unlaminated Plastics Profile Shape Manufacturing	Plastics & rubber products manufacturing	Moderate	1	1
326111	Plastics Bag and Pouch Manufacturing	Plastics & rubber products manufacturing	Moderate	1	1
327991	Cut Stone and Stone Product Manufacturing	Other EPA PFAS-flagged industry	Low	1	1
