rel,otherLabel,cat,source,nStatements
preventative_for_condition,Amino Acids,aapp_gngm_bacs_phsu_gngm,PubMed,1
predisposes_to_condition,Arginine,aapp_gngm_bacs_phsu_gngm,PubMed,1
predisposes_to_condition,Angiotensins,aapp_gngm_bacs_phsu_phsu,PubMed,1
preventative_for_condition,S-Adenosylmethionine,aapp_gngm_bacs_phsu_phsu,PubMed,1
predisposes_to_condition,Enzymes,aapp_gngm_enzy_aapp,PubMed,1
preventative_for_condition,Enzymes,aapp_gngm_enzy_aapp,PubMed,1
predisposes_to_condition,GTP-Binding Proteins,aapp_gngm_enzy_aapp,PubMed,1
predisposes_to_condition,Lactate Dehydrogenase,aapp_gngm_enzy_aapp,PubMed,1
predisposes_to_condition,Matrix Metalloproteinases,aapp_gngm_enzy_aapp,PubMed,1
predisposes_to_condition,Phosphotransferases,aapp_gngm_enzy_aapp,PubMed,1
predisposes_to_condition,alteplase,aapp_gngm_enzy_phsu_aapp_5327_PLAT,PubMed,1
preventative_for_condition,alteplase,aapp_gngm_enzy_phsu_aapp_5327_PLAT,PubMed,1
predisposes_to_condition,Endopeptidases,aapp_gngm_enzy_phsu_aapp,PubMed,1
preventative_for_condition,Endopeptidases,aapp_gngm_enzy_phsu_aapp,PubMed,1
predisposes_to_condition,Lipase,aapp_gngm_enzy_phsu_aapp,PubMed,1
predisposes_to_condition,Thrombin,aapp_gngm_enzy_phsu_aapp,PubMed,1
predisposes_to_condition,Urokinase,aapp_gngm_enzy_phsu_aapp,PubMed,1
predisposes_to_condition,Plasminogen Activator,aapp_gngm_enzy_phsu_phsu,PubMed,1
preventative_for_condition,Plasminogen Activator,aapp_gngm_enzy_phsu_phsu,PubMed,1
predisposes_to_condition,Nesiritide,aapp_gngm_horm_phsu_aapp_4879_NPPB,PubMed,1
predisposes_to_condition,Cholecystokinin,aapp_gngm_horm_phsu_aapp,PubMed,1
preventative_for_condition,Erythropoietin,aapp_gngm_horm_phsu_aapp,PubMed,1
predisposes_to_condition,Human Chorionic Gonadotropin,aapp_gngm_horm_phsu_aapp,PubMed,1
NEG_PREDISPOSES,Insulin,aapp_gngm_horm_phsu_aapp,PubMed,1
predisposes_to_condition,Insulin,aapp_gngm_horm_phsu_aapp,PubMed,1
preventative_for_condition,Insulin,aapp_gngm_horm_phsu_aapp,PubMed,1
predisposes_to_condition,Pramlintide,aapp_gngm_horm_phsu_aapp,PubMed,1
predisposes_to_condition,Thyrotropin,aapp_gngm_horm_phsu_aapp,PubMed,1
preventative_for_condition,Somatostatin,aapp_gngm_horm_phsu_phsu,PubMed,1
preventative_for_condition,Interleukin-3,aapp_gngm_imft_aapp_1437_3918_CSF2_LAMC2,PubMed,1
preventative_for_condition,Granulocyte-Macrophage Colony-Stimulating Factor,aapp_gngm_imft_aapp_1437_CSF2,PubMed,1
preventative_for_condition,Anti-Antibodies,aapp_gngm_imft_aapp,PubMed,1
NEG_PREDISPOSES,Antibodies,aapp_gngm_imft_aapp,PubMed,1
predisposes_to_condition,Antibodies,aapp_gngm_imft_aapp,PubMed,1
preventative_for_condition,Antibodies,aapp_gngm_imft_aapp,PubMed,1
predisposes_to_condition,Autoantibodies,aapp_gngm_imft_aapp,PubMed,1
preventative_for_condition,Autoantibodies,aapp_gngm_imft_aapp,PubMed,1
predisposes_to_condition,Complement System Proteins,aapp_gngm_imft_aapp,PubMed,1
predisposes_to_condition,cytokine,aapp_gngm_imft_aapp,PubMed,1
preventative_for_condition,cytokine,aapp_gngm_imft_aapp,PubMed,1
predisposes_to_condition,Interleukins,aapp_gngm_imft_aapp,PubMed,1
NEG_PREDISPOSES,Monoclonal Antibodies,aapp_gngm_imft_aapp,PubMed,1
predisposes_to_condition,Monoclonal Antibodies,aapp_gngm_imft_aapp,PubMed,1
predisposes_to_condition,"Antibodies, Anti-Idiotypic",aapp_gngm_imft_gngm,PubMed,1
preventative_for_condition,"Antibodies, Anti-Idiotypic",aapp_gngm_imft_gngm,PubMed,1
predisposes_to_condition,Interleukin-2,aapp_gngm_imft_gngm,PubMed,1
preventative_for_condition,NF-kappa B,aapp_gngm_imft_gngm,PubMed,1
predisposes_to_condition,Immunoglobulins,aapp_gngm_imft_imft,PubMed,1
predisposes_to_condition,Purified Protein Derivative of Tuberculin,aapp_gngm_imft_irda_aapp_3242_8838_27161_30813_HPD_WISP3_AGO2_VSX1,PubMed,1
preventative_for_condition,adalimumab,aapp_gngm_imft_phsu_aapp,PubMed,1
predisposes_to_condition,"Immunoglobulins, Intravenous",aapp_gngm_imft_phsu_phsu,PubMed,1
preventative_for_condition,"Immunoglobulins, Intravenous",aapp_gngm_imft_phsu_phsu,PubMed,1
predisposes_to_condition,Complement 3b Receptor,aapp_gngm_imft_rcpt_aapp_1378_CR1,PubMed,1
preventative_for_condition,Acetylcysteine,aapp_gngm_phsu_aapp,PubMed,1
preventative_for_condition,Etanercept,aapp_gngm_phsu_aapp,PubMed,1
preventative_for_condition,exenatide,aapp_gngm_phsu_aapp,PubMed,1
predisposes_to_condition,Carnitine,aapp_gngm_phsu_phsu,PubMed,1
predisposes_to_condition,Opioid Receptor,aapp_gngm_rcpt_aapp,PubMed,1
predisposes_to_condition,receptor,aapp_gngm_rcpt_aapp,PubMed,1
predisposes_to_condition,Angiotensin Receptor,aapp_gngm_rcpt_gngm,PubMed,1
predisposes_to_condition,N-Methyl-D-Aspartate Receptors,aapp_gngm_rcpt_gngm,PubMed,1
predisposes_to_condition,5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase,aapp,PubMed,1
preventative_for_condition,acetylcholine transporter,aapp,PubMed,1
predisposes_to_condition,Activated-Leukocyte Cell Adhesion Molecule,aapp,PubMed,1
preventative_for_condition,Activins,aapp,PubMed,1
predisposes_to_condition,AD7c-NTP,aapp,PubMed,1
predisposes_to_condition,"AD7c-NTP protein, human",aapp,PubMed,1
predisposes_to_condition,Adipokines,aapp,PubMed,1
predisposes_to_condition,Adiponectin,aapp,PubMed,1
preventative_for_condition,Adiponectin,aapp,PubMed,1
predisposes_to_condition,Alanine,aapp,PubMed,1
NEG_PREDISPOSES,alpha 1-Antichymotrypsin,aapp,PubMed,1
predisposes_to_condition,alpha 1-Antichymotrypsin,aapp,PubMed,1
NEG_PREDISPOSES,alpha-Synuclein,aapp,PubMed,1
predisposes_to_condition,alpha-Synuclein,aapp,PubMed,1
predisposes_to_condition,alpha2 macroglobulin receptor,aapp,PubMed,1
predisposes_to_condition,"Amino Acids, Branched-Chain",aapp,PubMed,1
predisposes_to_condition,Amino-terminal pro-brain natriuretic peptide,aapp,PubMed,1
NEG_PREDISPOSES,aminopeptidase B,aapp,PubMed,1
predisposes_to_condition,Amylin,aapp,PubMed,1
preventative_for_condition,Amylin,aapp,PubMed,1
predisposes_to_condition,Amylin analog,aapp,PubMed,1
predisposes_to_condition,Amyloid beta-Protein,aapp,PubMed,1
NEG_PREDISPOSES,Amyloid beta-Protein Precursor,aapp,PubMed,1
predisposes_to_condition,Amyloid beta-Protein Precursor,aapp,PubMed,1
preventative_for_condition,Amyloid beta-Protein Precursor,aapp,PubMed,1
predisposes_to_condition,Amyloid Proteins,aapp,PubMed,1
predisposes_to_condition,Angiostatins,aapp,PubMed,1
preventative_for_condition,Angiotensin II,aapp,PubMed,1
NEG_PREDISPOSES,anti-IgG,aapp,PubMed,1
preventative_for_condition,"Antibodies, Blocking",aapp,PubMed,1
predisposes_to_condition,Apolipoprotein A-II,aapp,PubMed,1
predisposes_to_condition,apolipoprotein C-I,aapp,PubMed,1
predisposes_to_condition,apolipoprotein C-III,aapp,PubMed,1
predisposes_to_condition,Apolipoprotein E isoform,aapp,PubMed,1
predisposes_to_condition,apolipoprotein E-3,aapp,PubMed,1
preventative_for_condition,apolipoprotein E-3,aapp,PubMed,1
NEG_PREDISPOSES,apolipoprotein E-4,aapp,PubMed,1
predisposes_to_condition,apolipoprotein E-4,aapp,PubMed,2
predisposes_to_condition,Apolipoprotein gene,aapp,PubMed,1
NEG_PREDISPOSES,Apolipoproteins,aapp,PubMed,1
predisposes_to_condition,Apolipoproteins,aapp,PubMed,1
preventative_for_condition,Apolipoproteins,aapp,PubMed,1
predisposes_to_condition,Apolipoproteins B,aapp,PubMed,1
predisposes_to_condition,Apolipoproteins C,aapp,PubMed,1
predisposes_to_condition,"APP protein, human",aapp,PubMed,1
preventative_for_condition,"APP protein, human",aapp,PubMed,1
preventative_for_condition,Argipressin,aapp,PubMed,1
predisposes_to_condition,Arylesterase,aapp,PubMed,1
predisposes_to_condition,asparaginylendopeptidase,aapp,PubMed,1
predisposes_to_condition,Aspartic Endopeptidases,aapp,PubMed,1
predisposes_to_condition,beta-Actin,aapp,PubMed,1
predisposes_to_condition,beta-secretase,aapp,PubMed,1
predisposes_to_condition,beta-Synuclein,aapp,PubMed,1
preventative_for_condition,beta-Synuclein,aapp,PubMed,1
preventative_for_condition,beta-Tubulin,aapp,PubMed,1
predisposes_to_condition,biglycan,aapp,PubMed,1
predisposes_to_condition,Biliverdin reductase,aapp,PubMed,1
predisposes_to_condition,BIN1 protein,aapp,PubMed,1
predisposes_to_condition,bleomycin hydrolase,aapp,PubMed,1
NEG_PREDISPOSES,Brain-Derived Neurotrophic Factor,aapp,PubMed,1
predisposes_to_condition,Brain-Derived Neurotrophic Factor,aapp,PubMed,1
preventative_for_condition,Brain-Derived Neurotrophic Factor,aapp,PubMed,1
predisposes_to_condition,C-reactive protein,aapp,PubMed,1
predisposes_to_condition,Carrier Proteins,aapp,PubMed,1
preventative_for_condition,caspase-3,aapp,PubMed,1
NEG_PREDISPOSES,Catechol O-Methyltransferase,aapp,PubMed,1
predisposes_to_condition,Catechol O-Methyltransferase,aapp,PubMed,1
predisposes_to_condition,Cathepsins B,aapp,PubMed,1
preventative_for_condition,caveolin 1,aapp,PubMed,1
preventative_for_condition,Caveolins,aapp,PubMed,1
predisposes_to_condition,CCAAT-Enhancer-Binding Protein-delta,aapp,PubMed,1
predisposes_to_condition,Cell Adhesion Molecules,aapp,PubMed,1
preventative_for_condition,Cell Adhesion Molecules,aapp,PubMed,1
preventative_for_condition,cerebrolysin,aapp,PubMed,1
predisposes_to_condition,Cerebrospinal Fluid Proteins,aapp,PubMed,1
predisposes_to_condition,chemokine,aapp,PubMed,1
preventative_for_condition,chemokine,aapp,PubMed,1
predisposes_to_condition,Cholesterol Ester Transfer Proteins,aapp,PubMed,1
predisposes_to_condition,Choline O-Acetyltransferase,aapp,PubMed,1
preventative_for_condition,Choline O-Acetyltransferase,aapp,PubMed,1
predisposes_to_condition,Chylomicrons,aapp,PubMed,1
predisposes_to_condition,Clathrin Adaptors,aapp,PubMed,1
preventative_for_condition,Clathrin Adaptors,aapp,PubMed,1
NEG_PREDISPOSES,Clusterin,aapp,PubMed,1
predisposes_to_condition,Clusterin,aapp,PubMed,1
NEG_PREDISPOSES,COIL gene,aapp,PubMed,1
predisposes_to_condition,Complement 3,aapp,PubMed,1
preventative_for_condition,Complement 3,aapp,PubMed,1
predisposes_to_condition,Complement component,aapp,PubMed,1
predisposes_to_condition,COMPLEMENT FACTOR H,aapp,PubMed,1
predisposes_to_condition,Complement Receptor Type 1,aapp,PubMed,1
predisposes_to_condition,Connexins,aapp,PubMed,1
predisposes_to_condition,Contact factor,aapp,PubMed,1
predisposes_to_condition,Corticotropin-Releasing Hormone,aapp,PubMed,1
preventative_for_condition,Corticotropin-Releasing Hormone,aapp,PubMed,1
predisposes_to_condition,Cyclin-Dependent Kinase 5,aapp,PubMed,1
predisposes_to_condition,Cyclin-Dependent Kinases,aapp,PubMed,1
predisposes_to_condition,cyclooxygenase 1,aapp,PubMed,1
predisposes_to_condition,cyclooxygenase 2,aapp,PubMed,1
predisposes_to_condition,Cysteine Protease,aapp,PubMed,1
NEG_PREDISPOSES,Cytochrome P-450 CYP2D6,aapp,PubMed,1
NEG_PREDISPOSES,Cytomegalovirus IgG Antibody,aapp,PubMed,1
predisposes_to_condition,dihydrolipoamide succinyltransferase,aapp,PubMed,1
predisposes_to_condition,dopamine D4 receptor,aapp,PubMed,1
NEG_PREDISPOSES,Dopamine Receptor,aapp,PubMed,1
predisposes_to_condition,dopamine transporter,aapp,PubMed,1
predisposes_to_condition,ELAV-Like Protein 2,aapp,PubMed,1
predisposes_to_condition,"estrogen receptor alpha, human",aapp,PubMed,1
predisposes_to_condition,Estrogen Receptor beta,aapp,PubMed,1
predisposes_to_condition,Extracellular Matrix Proteins,aapp,PubMed,1
predisposes_to_condition,Extracellular Protein,aapp,PubMed,1
predisposes_to_condition,Extracellular Signal Regulated Kinases,aapp,PubMed,1
predisposes_to_condition,Fatty Acid-Binding Proteins,aapp,PubMed,1
preventative_for_condition,fibrinopeptides gamma,aapp,PubMed,1
preventative_for_condition,fibroblast growth factor 21,aapp,PubMed,1
predisposes_to_condition,Fibronectins,aapp,PubMed,1
predisposes_to_condition,flotillin,aapp,PubMed,1
preventative_for_condition,Free triiodothyronine,aapp,PubMed,1
preventative_for_condition,GABA transporter,aapp,PubMed,1
preventative_for_condition,Galanin,aapp,PubMed,1
predisposes_to_condition,Galectin 3,aapp,PubMed,1
preventative_for_condition,gamma-Aminobutyric Acid,aapp,PubMed,1
predisposes_to_condition,gastric inhibitory polypeptide receptor,aapp,PubMed,1
NEG_PREDISPOSES,Gelatinase B,aapp,PubMed,1
predisposes_to_condition,Gelatinases,aapp,PubMed,1
predisposes_to_condition,"Gene Products, Protein",aapp,PubMed,1
NEG_PREDISPOSES,ghrelin,aapp,PubMed,1
NEG_PREVENTS,ghrelin,aapp,PubMed,1
preventative_for_condition,ghrelin,aapp,PubMed,1
predisposes_to_condition,Glia Maturation Factor,aapp,PubMed,1
preventative_for_condition,Glia Maturation Factor,aapp,PubMed,1
predisposes_to_condition,Glial Fibrillary Acidic Protein,aapp,PubMed,1
preventative_for_condition,Glial Fibrillary Acidic Protein,aapp,PubMed,1
predisposes_to_condition,Glutamate,aapp,PubMed,1
preventative_for_condition,Glutamate,aapp,PubMed,1
preventative_for_condition,Glutamate Transporter,aapp,PubMed,1
predisposes_to_condition,Glutamates,aapp,PubMed,1
preventative_for_condition,Glutamates,aapp,PubMed,1
predisposes_to_condition,glutaminyl-peptide cyclotransferase,aapp,PubMed,1
predisposes_to_condition,Glutathione,aapp,PubMed,1
preventative_for_condition,Glutathione,aapp,PubMed,1
predisposes_to_condition,Glutathione S-Transferase,aapp,PubMed,1
predisposes_to_condition,Glycogen Synthase Kinase 3,aapp,PubMed,1
predisposes_to_condition,glycogen synthase kinase 3 beta,aapp,PubMed,1
predisposes_to_condition,glycosylated serum albumin,aapp,PubMed,1
predisposes_to_condition,GNB3 protein,aapp,PubMed,1
predisposes_to_condition,Gonadotropins,aapp,PubMed,1
predisposes_to_condition,granulin,aapp,PubMed,1
predisposes_to_condition,Growth Associated Protein 43,aapp,PubMed,1
preventative_for_condition,Growth Associated Protein 43,aapp,PubMed,1
predisposes_to_condition,growth factor receptor-bound protein 2,aapp,PubMed,1
predisposes_to_condition,GTPase-Activating Proteins,aapp,PubMed,1
preventative_for_condition,GTPase-Activating Proteins,aapp,PubMed,1
predisposes_to_condition,Guanosine Triphosphate Phosphohydrolases,aapp,PubMed,1
preventative_for_condition,GVS 111,aapp,PubMed,1
preventative_for_condition,Heat shock proteins,aapp,PubMed,1
predisposes_to_condition,High Density Lipoproteins,aapp,PubMed,1
preventative_for_condition,High Density Lipoproteins,aapp,PubMed,1
predisposes_to_condition,Histone H1,aapp,PubMed,1
predisposes_to_condition,HLA Antigens,aapp,PubMed,1
predisposes_to_condition,Hormone Receptor,aapp,PubMed,1
predisposes_to_condition,HSP90 Heat-Shock Proteins,aapp,PubMed,1
predisposes_to_condition,Human Microbiome,aapp,PubMed,1
predisposes_to_condition,Human serum albumin,aapp,PubMed,1
preventative_for_condition,humanin,aapp,PubMed,1
predisposes_to_condition,Inositol Polyphosphate 5-Phosphatases,aapp,PubMed,1
predisposes_to_condition,Insulin-Like Growth Factor Binding Protein 3,aapp,PubMed,1
predisposes_to_condition,Insulin-Like Growth Factor Binding Protein 5,aapp,PubMed,1
predisposes_to_condition,insulin-like growth factor binding protein-related protein 1,aapp,PubMed,1
preventative_for_condition,Insulin-Like-Growth Factor I Receptor,aapp,PubMed,1
predisposes_to_condition,Insulinase,aapp,PubMed,1
NEG_PREDISPOSES,Intercellular adhesion molecule 1,aapp,PubMed,1
predisposes_to_condition,Interleukin-1,aapp,PubMed,1
predisposes_to_condition,Interleukin-1 alpha,aapp,PubMed,1
predisposes_to_condition,Interleukin-1 beta,aapp,PubMed,1
preventative_for_condition,Interleukin-1 beta,aapp,PubMed,1
predisposes_to_condition,Interleukin-10,aapp,PubMed,1
preventative_for_condition,Interleukin-10,aapp,PubMed,1
predisposes_to_condition,Interleukin-12,aapp,PubMed,1
predisposes_to_condition,Interleukin-15,aapp,PubMed,1
predisposes_to_condition,Interleukin-4,aapp,PubMed,1
preventative_for_condition,Interleukin-4,aapp,PubMed,1
NEG_PREDISPOSES,Interleukin-8,aapp,PubMed,1
predisposes_to_condition,Interleukin-8,aapp,PubMed,1
predisposes_to_condition,Kv Channel-Interacting Protein 3,aapp,PubMed,1
predisposes_to_condition,kyotorphin,aapp,PubMed,1
preventative_for_condition,L-Selectin,aapp,PubMed,1
predisposes_to_condition,Lactoferrin,aapp,PubMed,1
predisposes_to_condition,LDL-Receptor Related Protein 1,aapp,PubMed,1
predisposes_to_condition,Luteinizing Hormone,aapp,PubMed,1
predisposes_to_condition,Lymphocyte Specific Protein Tyrosine Kinase p56(lck),aapp,PubMed,1
preventative_for_condition,Lysine,aapp,PubMed,1
predisposes_to_condition,lysosomal proteins,aapp,PubMed,1
predisposes_to_condition,Macroglobulins,aapp,PubMed,1
preventative_for_condition,Macrophage Colony-Stimulating Factor Receptor,aapp,PubMed,1
predisposes_to_condition,Membrane Transport Proteins,aapp,PubMed,1
predisposes_to_condition,Methyltransferase,aapp,PubMed,1
predisposes_to_condition,Mitogen-Activated Protein Kinase 14,aapp,PubMed,1
preventative_for_condition,Molecular Chaperones,aapp,PubMed,1
predisposes_to_condition,Monoacylglycerol Lipases,aapp,PubMed,1
predisposes_to_condition,Monoamine Oxidase A,aapp,PubMed,1
predisposes_to_condition,Monoamine Oxidase B,aapp,PubMed,1
predisposes_to_condition,mortalin,aapp,PubMed,1
predisposes_to_condition,Muscarinic Acetylcholine Receptor,aapp,PubMed,1
predisposes_to_condition,Mutant Proteins,aapp,PubMed,1
predisposes_to_condition,myocyte enhancer factor 2C,aapp,PubMed,1
NEG_PREDISPOSES,"N,N-dimethylarginine",aapp,PubMed,1
predisposes_to_condition,NADPH Oxidase,aapp,PubMed,1
predisposes_to_condition,Neprilysin,aapp,PubMed,1
preventative_for_condition,Neprilysin,aapp,PubMed,1
preventative_for_condition,Nerve Growth Factors,aapp,PubMed,1
predisposes_to_condition,Nerve Tissue Proteins,aapp,PubMed,1
preventative_for_condition,netrin-1,aapp,PubMed,1
predisposes_to_condition,Neurofilament Proteins,aapp,PubMed,1
NEG_PREDISPOSES,Neurogranin,aapp,PubMed,1
predisposes_to_condition,Neurogranin,aapp,PubMed,1
preventative_for_condition,Neurogranin,aapp,PubMed,1
predisposes_to_condition,Neuronal Calcium-Sensor Proteins,aapp,PubMed,1
predisposes_to_condition,neuronal pentraxin receptor,aapp,PubMed,1
predisposes_to_condition,Neuropeptides,aapp,PubMed,1
preventative_for_condition,Neuropeptides,aapp,PubMed,1
predisposes_to_condition,NGFR Protein,aapp,PubMed,1
predisposes_to_condition,NIMA,aapp,PubMed,1
predisposes_to_condition,nuclear receptor coactivator 1,aapp,PubMed,1
predisposes_to_condition,orexin,aapp,PubMed,1
predisposes_to_condition,orexin A,aapp,PubMed,1
predisposes_to_condition,osteopontin,aapp,PubMed,1
predisposes_to_condition,oxidized low density lipoprotein,aapp,PubMed,1
predisposes_to_condition,P-Glycoprotein,aapp,PubMed,1
preventative_for_condition,P-Glycoprotein,aapp,PubMed,1
preventative_for_condition,P-Selectin,aapp,PubMed,1
preventative_for_condition,Parvalbumins,aapp,PubMed,1
predisposes_to_condition,Peptide Fragments,aapp,PubMed,1
predisposes_to_condition,Peptide Hydrolases,aapp,PubMed,1
predisposes_to_condition,peptide P3,aapp,PubMed,1
NEG_PREDISPOSES,Peptidyl-Dipeptidase A,aapp,PubMed,1
NEG_PREVENTS,Peptidyl-Dipeptidase A,aapp,PubMed,1
predisposes_to_condition,Peptidyl-Dipeptidase A,aapp,PubMed,1
preventative_for_condition,Peptidyl-Dipeptidase A,aapp,PubMed,1
predisposes_to_condition,phenylpyruvate tautomerase,aapp,PubMed,1
predisposes_to_condition,Phosphocreatine,aapp,PubMed,1
predisposes_to_condition,pigment epithelium-derived factor,aapp,PubMed,1
preventative_for_condition,pituitary adenylate cyclase activating polypeptide,aapp,PubMed,1
predisposes_to_condition,Plasma Proteins,aapp,PubMed,1
preventative_for_condition,Plasmin,aapp,PubMed,1
predisposes_to_condition,Plasminogen Activator Inhibitor 1,aapp,PubMed,1
predisposes_to_condition,Platelet-Derived Growth Factor beta Receptor,aapp,PubMed,1
predisposes_to_condition,PPAR alpha,aapp,PubMed,1
predisposes_to_condition,presenilin,aapp,PubMed,1
preventative_for_condition,presenilin,aapp,PubMed,1
preventative_for_condition,presynaptic density protein 95,aapp,PubMed,1
NEG_PREDISPOSES,Prions,aapp,PubMed,1
predisposes_to_condition,Prions,aapp,PubMed,1
predisposes_to_condition,Prostate-Specific Antigen,aapp,PubMed,1
predisposes_to_condition,Protein complex,aapp,PubMed,1
predisposes_to_condition,Protein Isoforms,aapp,PubMed,1
predisposes_to_condition,Protein Kinase C-epsilon,aapp,PubMed,1
predisposes_to_condition,Protein phosphatase,aapp,PubMed,1
predisposes_to_condition,PS2 protein (alzheimer-associated),aapp,PubMed,1
predisposes_to_condition,Qa-SNARE Proteins,aapp,PubMed,1
predisposes_to_condition,"Receptor, Angiotensin, Type 1",aapp,PubMed,1
preventative_for_condition,"Receptors, IgG",aapp,PubMed,1
NEG_PREDISPOSES,"Receptors, Immunologic",aapp,PubMed,1
predisposes_to_condition,"Receptors, Immunologic",aapp,PubMed,1
predisposes_to_condition,reduced folate carrier,aapp,PubMed,1
preventative_for_condition,Reduced Glutathione,aapp,PubMed,1
preventative_for_condition,Scaffold protein,aapp,PubMed,1
NEG_PREDISPOSES,Serine,aapp,PubMed,1
predisposes_to_condition,Serine,aapp,PubMed,1
predisposes_to_condition,serine racemase,aapp,PubMed,1
predisposes_to_condition,serotonin receptor,aapp,PubMed,1
predisposes_to_condition,Sex Hormone-Binding Globulin,aapp,PubMed,1
predisposes_to_condition,Sialic Acid Binding Immunoglobulin-like Lectins,aapp,PubMed,1
predisposes_to_condition,STAR gene,aapp,PubMed,1
NEG_PREDISPOSES,Synaptosomal-Associated Protein 25,aapp,PubMed,1
predisposes_to_condition,Synaptosomal-Associated Protein 25,aapp,PubMed,1
predisposes_to_condition,synaptotagmin I,aapp,PubMed,1
preventative_for_condition,synaptotagmin I,aapp,PubMed,1
predisposes_to_condition,syntaxin 6,aapp,PubMed,1
predisposes_to_condition,synthetic peptide,aapp,PubMed,1
