gene,biotype,spoke-okn,rdkg,prokn,digcfdekg,n_sources,digcfdekg_weight,confidence_tier
CAT,protein-coding,1,1,0,0,2,,T3 medium
CAV1,protein-coding,1,1,0,0,2,,T3 medium
CAVIN1,protein-coding,1,1,0,0,2,,T3 medium
CISD2,protein-coding,1,1,0,0,2,,T3 medium
EDN1,protein-coding,1,1,0,0,2,,T3 medium
FOS,protein-coding,1,1,0,0,2,,T3 medium
GCGR,protein-coding,1,1,0,0,2,,T3 medium
GPD2,protein-coding,1,1,0,0,2,,T3 medium
HBA1,protein-coding,1,1,0,0,2,,T3 medium
HMOX1,protein-coding,1,1,0,0,2,,T3 medium
IAPP,protein-coding,1,1,0,0,2,,T3 medium
ICAM1,protein-coding,1,1,0,0,2,,T3 medium
INPPL1,protein-coding,1,1,0,0,2,,T3 medium
LIPC,protein-coding,1,1,0,0,2,,T3 medium
MAPK8IP1,protein-coding,1,1,0,0,2,,T3 medium
MTNR1B,protein-coding,1,1,0,0,2,,T3 medium
NEUROD1,protein-coding,1,1,0,0,2,,T3 medium
NFKB1,protein-coding,1,1,0,0,2,,T3 medium
PAM,protein-coding,1,1,0,0,2,,T3 medium
PPARA,protein-coding,1,1,0,0,2,,T3 medium
PPP1R3A,protein-coding,1,1,0,0,2,,T3 medium
PTPN1,protein-coding,1,1,0,0,2,,T3 medium
RETN,protein-coding,1,1,0,0,2,,T3 medium
SHBG,protein-coding,1,1,0,0,2,,T3 medium
SLC2A1,protein-coding,1,1,0,0,2,,T3 medium
ST6GAL1,protein-coding,1,1,0,0,2,,T3 medium
TGFB1,protein-coding,1,1,0,0,2,,T3 medium
TNF,protein-coding,1,1,0,0,2,,T3 medium
USP48,protein-coding,1,1,0,0,2,,T3 medium
GIPR,protein-coding,0,0,0,1,1,8.34,T2 high
CEBPA,protein-coding,0,0,0,1,1,7.91,T2 high
PTEN,protein-coding,0,0,0,1,1,7.37,T2 high
SLC9B2,protein-coding,0,0,0,1,1,6.49,T2 high
BAD,protein-coding,0,0,0,1,1,6.1,T2 high
PFKM,protein-coding,0,0,0,1,1,6.1,T2 high
GNAS,protein-coding,0,0,0,1,1,5.89,T2 high
CEBPB,protein-coding,0,0,0,1,1,5.87,T2 high
ONECUT1,protein-coding,0,0,0,1,1,5.38,T2 high
PTPN11,protein-coding,0,0,0,1,1,5.26,T2 high
E2F1,protein-coding,0,0,0,1,1,5.19,T2 high
FOXA2,protein-coding,0,0,0,1,1,5.07,T2 high
CDK8,protein-coding,0,0,0,1,1,4.93,T3 medium
VPS13C,protein-coding,0,0,0,1,1,4.87,T3 medium
CDKN2C,protein-coding,0,0,0,1,1,4.82,T3 medium
FBXW7,protein-coding,0,0,0,1,1,4.68,T3 medium
FGFR3,protein-coding,0,0,0,1,1,4.54,T3 medium
STK11,protein-coding,0,0,0,1,1,4.45,T3 medium
MANSC4,protein-coding,0,0,0,1,1,4.34,T3 medium
TNKS2,protein-coding,0,0,0,1,1,4.33,T3 medium
EBF1,protein-coding,0,0,0,1,1,4.32,T3 medium
ANKRD55,protein-coding,0,0,0,1,1,4.3,T3 medium
KCNH6,protein-coding,0,0,0,1,1,4.29,T3 medium
CCND1,protein-coding,0,0,0,1,1,4.28,T3 medium
BCL11A,protein-coding,0,0,0,1,1,4.17,T3 medium
ZCCHC12,protein-coding,0,0,0,1,1,4.12,T3 medium
PRKAA2,protein-coding,0,0,0,1,1,4.11,T3 medium
HUWE1,protein-coding,0,0,0,1,1,4.02,T3 medium
CYP26A1,protein-coding,0,0,0,1,1,4.01,T3 medium
SPRY2,protein-coding,0,0,0,1,1,4.01,T3 medium
LYPLAL1,protein-coding,0,0,0,1,1,4.0,T3 medium
MOB1B,protein-coding,0,0,0,1,1,3.88,T3 medium
UBE3C,protein-coding,0,0,0,1,1,3.85,T3 medium
SIRT6,protein-coding,0,0,0,1,1,3.84,T3 medium
CPEB3,protein-coding,0,0,0,1,1,3.81,T3 medium
MACF1,protein-coding,0,0,0,1,1,3.8,T3 medium
COL1A1,protein-coding,0,0,0,1,1,3.77,T3 medium
PIM3,protein-coding,0,0,0,1,1,3.75,T3 medium
FAM60A,protein-coding,0,0,0,1,1,3.74,T3 medium
TP53INP1,protein-coding,0,0,0,1,1,3.72,T3 medium
NFAT5,protein-coding,0,0,0,1,1,3.69,T3 medium
POC5,protein-coding,0,0,0,1,1,3.69,T3 medium
ANK1,protein-coding,0,0,0,1,1,3.67,T3 medium
ACSL1,protein-coding,0,0,0,1,1,3.66,T3 medium
GIN1,protein-coding,0,0,0,1,1,3.66,T3 medium
CRHR2,protein-coding,0,0,0,1,1,3.64,T3 medium
PRKAB2,protein-coding,0,0,0,1,1,3.64,T3 medium
DGKB,protein-coding,0,0,0,1,1,3.63,T3 medium
EYA2,protein-coding,0,0,0,1,1,3.63,T3 medium
SSTR5,protein-coding,0,0,0,1,1,3.63,T3 medium
INHBB,protein-coding,0,0,0,1,1,3.62,T3 medium
DLEU7,protein-coding,0,0,0,1,1,3.61,T3 medium
GYS2,protein-coding,0,0,0,1,1,3.61,T3 medium
GRM8,protein-coding,0,0,0,1,1,3.59,T3 medium
BPTF,protein-coding,0,0,0,1,1,3.54,T3 medium
CDKN2B,protein-coding,0,0,0,1,1,3.53,T3 medium
RSPO3,protein-coding,0,0,0,1,1,3.52,T3 medium
SIDT2,protein-coding,0,0,0,1,1,3.51,T3 medium
SLC35D3,protein-coding,0,0,0,1,1,3.47,T4 low
CYB5R4,protein-coding,0,0,0,1,1,3.45,T4 low
NRXN3,protein-coding,0,0,0,1,1,3.43,T4 low
ERN1,protein-coding,0,0,0,1,1,3.42,T4 low
SH2B1,protein-coding,0,0,0,1,1,3.39,T4 low
SSPN,protein-coding,0,0,0,1,1,3.32,T4 low
CTBP1,protein-coding,0,0,0,1,1,3.31,T4 low
MPC2,protein-coding,0,0,0,1,1,3.31,T4 low
NUDT12,protein-coding,0,0,0,1,1,3.29,T4 low
NUCKS1,protein-coding,0,0,0,1,1,3.28,T4 low
PCSK1,protein-coding,0,0,0,1,1,3.27,T4 low
SELENOT,protein-coding,0,0,0,1,1,3.27,T4 low
VEGFA,protein-coding,0,0,0,1,1,3.26,T4 low
CLOCK,protein-coding,0,0,0,1,1,3.2,T4 low
PDPK1,protein-coding,0,0,0,1,1,3.18,T4 low
CD101,protein-coding,0,0,0,1,1,3.15,T4 low
FGFR4,protein-coding,0,0,0,1,1,3.13,T4 low
DUSP9,protein-coding,0,0,0,1,1,3.12,T4 low
RRAGA,protein-coding,0,0,0,1,1,3.08,T4 low
SOX4,protein-coding,0,0,0,1,1,3.07,T4 low
TSPAN8,protein-coding,0,0,0,1,1,3.05,T4 low
TBL1X,protein-coding,0,0,0,1,1,3.03,T4 low
MSRA,protein-coding,0,0,0,1,1,2.97,T4 low
NKX6-3,protein-coding,0,0,0,1,1,2.96,T4 low
FAM13A,protein-coding,0,0,0,1,1,2.93,T4 low
HLA-C,protein-coding,0,0,0,1,1,2.93,T4 low
QKI,protein-coding,0,0,0,1,1,2.93,T4 low
RASGRP1,protein-coding,0,0,0,1,1,2.93,T4 low
ARID5B,protein-coding,0,0,0,1,1,2.9,T4 low
CYB5D2,protein-coding,0,0,0,1,1,2.89,T4 low
NKX2-2,protein-coding,0,0,0,1,1,2.89,T4 low
OCIAD1,protein-coding,0,0,0,1,1,2.89,T4 low
ZXDA,protein-coding,0,0,0,1,1,2.89,T4 low
ZZEF1,protein-coding,0,0,0,1,1,2.89,T4 low
ZNF664,protein-coding,0,0,0,1,1,2.87,T4 low
RBM4,protein-coding,0,0,0,1,1,2.86,T4 low
TRPS1,protein-coding,0,0,0,1,1,2.84,T4 low
SESN2,protein-coding,0,0,0,1,1,2.8,T4 low
ABO,protein-coding,0,0,0,1,1,2.77,T4 low
TLE4,protein-coding,0,0,0,1,1,2.73,T4 low
CDKN1C,protein-coding,0,0,0,1,1,2.72,T4 low
FFAR1,protein-coding,0,0,0,1,1,2.68,T4 low
ANPEP,protein-coding,0,0,0,1,1,2.67,T4 low
LRP5,protein-coding,0,0,0,1,1,2.66,T4 low
TSC2,protein-coding,0,0,0,1,1,2.66,T4 low
GPC5,protein-coding,0,0,0,1,1,2.65,T4 low
NUDT5,protein-coding,0,0,0,1,1,2.65,T4 low
CEP68,protein-coding,0,0,0,1,1,2.64,T4 low
CDKN1B,protein-coding,0,0,0,1,1,2.62,T4 low
SLX4,protein-coding,0,0,0,1,1,2.61,T4 low
PELO,protein-coding,0,0,0,1,1,2.6,T4 low
CDC123,protein-coding,0,0,0,1,1,2.59,T4 low
ITGB6,protein-coding,0,0,0,1,1,2.57,T4 low
LYZ,protein-coding,0,0,0,1,1,2.55,T4 low
GPR27,protein-coding,0,0,0,1,1,2.54,T4 low
GHR,protein-coding,0,0,0,1,1,2.53,T4 low
GPER1,protein-coding,0,0,0,1,1,2.53,T4 low
HTR2C,protein-coding,0,0,0,1,1,2.52,T4 low
CLEC14A,protein-coding,0,0,0,1,1,2.5,T4 low
ANK2,protein-coding,0,0,0,1,1,2.49,T4 low
FOXA1,protein-coding,0,0,0,1,1,2.49,T4 low
ARNTL,protein-coding,0,0,0,1,1,2.47,T4 low
CRY2,protein-coding,0,0,0,1,1,2.47,T4 low
FANCL,protein-coding,0,0,0,1,1,2.47,T4 low
ZNF236,protein-coding,0,0,0,1,1,2.47,T4 low
NPY6R,protein-coding,0,0,0,1,1,2.44,T4 low
ZFP64,protein-coding,0,0,0,1,1,2.41,T4 low
CSF2,protein-coding,0,0,0,1,1,2.4,T4 low
FAM46C,protein-coding,0,0,0,1,1,2.4,T4 low
FBXL22,protein-coding,0,0,0,1,1,2.38,T4 low
STEAP4,protein-coding,0,0,0,1,1,2.36,T4 low
AKAP6,protein-coding,0,0,0,1,1,2.35,T4 low
MGAT4A,protein-coding,0,0,0,1,1,2.35,T4 low
CTRB2,protein-coding,0,0,0,1,1,2.34,T4 low
IGF2BP1,protein-coding,0,0,0,1,1,2.34,T4 low
PDGFC,protein-coding,0,0,0,1,1,2.34,T4 low
PLA2G6,protein-coding,0,0,0,1,1,2.34,T4 low
ABCA1,protein-coding,1,0,0,0,1,,T4 low
ABCA4,protein-coding,1,0,0,0,1,,T4 low
ABCB4,protein-coding,1,0,0,0,1,,T4 low
ACE2,protein-coding,1,0,0,0,1,,T4 low
ACTB,protein-coding,1,0,0,0,1,,T4 low
ADA2,protein-coding,1,0,0,0,1,,T4 low
ADAR,protein-coding,1,0,0,0,1,,T4 low
ADRA2A,protein-coding,1,0,0,0,1,,T4 low
ADRB3,protein-coding,1,0,0,0,1,,T4 low
AEBP1,protein-coding,1,0,0,0,1,,T4 low
AGBL5,protein-coding,1,0,0,0,1,,T4 low
AGRP,protein-coding,1,0,0,0,1,,T4 low
AGT,protein-coding,1,0,0,0,1,,T4 low
AGTR1,protein-coding,1,0,0,0,1,,T4 low
AHI1,protein-coding,1,0,0,0,1,,T4 low
AHR,protein-coding,1,0,0,0,1,,T4 low
AIP,protein-coding,1,0,0,0,1,,T4 low
AIRE,protein-coding,1,0,0,0,1,,T4 low
AKR1B1,protein-coding,1,0,0,0,1,,T4 low
AKT1,protein-coding,1,0,0,0,1,,T4 low
ALB,protein-coding,1,0,0,0,1,,T4 low
ALMS1,protein-coding,1,0,0,0,1,,T4 low
AMACR,protein-coding,1,0,0,0,1,,T4 low
AMY1B,protein-coding,1,0,0,0,1,,T4 low
AMY2A,protein-coding,1,0,0,0,1,,T4 low
AMY2B,protein-coding,1,0,0,0,1,,T4 low
ANGPTL8,protein-coding,1,0,0,0,1,,T4 low
ANO4,protein-coding,1,0,0,0,1,,T4 low
AP3S2,protein-coding,0,1,0,0,1,,T4 low
APCS,protein-coding,1,0,0,0,1,,T4 low
APOA1,protein-coding,1,0,0,0,1,,T4 low
APOA5,protein-coding,1,0,0,0,1,,T4 low
APOB,protein-coding,1,0,0,0,1,,T4 low
APOC3,protein-coding,1,0,0,0,1,,T4 low
APP,protein-coding,1,0,0,0,1,,T4 low
APPL1,protein-coding,1,0,0,0,1,,T4 low
AR,protein-coding,1,0,0,0,1,,T4 low
ARHGEF18,protein-coding,1,0,0,0,1,,T4 low
ARL2BP,protein-coding,1,0,0,0,1,,T4 low
ARL3,protein-coding,1,0,0,0,1,,T4 low
ARL6,protein-coding,1,0,0,0,1,,T4 low
ARNT2,protein-coding,1,0,0,0,1,,T4 low
ATF3,protein-coding,0,1,0,0,1,,T4 low
ATM,protein-coding,1,0,0,0,1,,T4 low
ATP12A,protein-coding,1,0,0,0,1,,T4 low
ATP2A2,protein-coding,0,1,0,0,1,,T4 low
ATP2A3,protein-coding,0,1,0,0,1,,T4 low
ATP4A,protein-coding,1,0,0,0,1,,T4 low
ATP6,protein-coding,1,0,0,0,1,,T4 low
ATRX,protein-coding,1,0,0,0,1,,T4 low
BAX,protein-coding,1,0,0,0,1,,T4 low
BAZ1B,protein-coding,1,0,0,0,1,,T4 low
BBIP1,protein-coding,1,0,0,0,1,,T4 low
BBS1,protein-coding,1,0,0,0,1,,T4 low
BBS10,protein-coding,1,0,0,0,1,,T4 low
BBS12,protein-coding,1,0,0,0,1,,T4 low
BBS2,protein-coding,1,0,0,0,1,,T4 low
BBS4,protein-coding,1,0,0,0,1,,T4 low
BBS5,protein-coding,1,0,0,0,1,,T4 low
BBS7,protein-coding,1,0,0,0,1,,T4 low
BBS9,protein-coding,1,0,0,0,1,,T4 low
BCAR1,protein-coding,1,0,0,0,1,,T4 low
BCL2L1,protein-coding,0,1,0,0,1,,T4 low
BCL7B,protein-coding,1,0,0,0,1,,T4 low
BDNF,protein-coding,1,0,0,0,1,,T4 low
BEST1,protein-coding,1,0,0,0,1,,T4 low
BLK,protein-coding,1,0,0,0,1,,T4 low
BLM,protein-coding,1,0,0,0,1,,T4 low
BMP2,protein-coding,1,0,0,0,1,,T4 low
BMP6,protein-coding,1,0,0,0,1,,T4 low
BRCA1,protein-coding,1,0,0,0,1,,T4 low
BRCA2,protein-coding,1,0,0,0,1,,T4 low
BUD23,protein-coding,1,0,0,0,1,,T4 low
C2CD4A,protein-coding,0,1,0,0,1,,T4 low
C2CD4B,protein-coding,0,1,0,0,1,,T4 low
C3,protein-coding,0,1,0,0,1,,T4 low
CA4,protein-coding,1,0,0,0,1,,T4 low
CARS1,protein-coding,1,0,0,0,1,,T4 low
CASP1,protein-coding,1,0,0,0,1,,T4 low
CASP8,protein-coding,0,1,0,0,1,,T4 low
CBLB,protein-coding,1,0,0,0,1,,T4 low
CBS,protein-coding,0,1,0,0,1,,T4 low
CC2D2A,protein-coding,1,0,0,0,1,,T4 low
CCDC28B,protein-coding,1,0,0,0,1,,T4 low
CCDC92,protein-coding,0,1,0,0,1,,T4 low
CCR5,protein-coding,1,0,0,0,1,,T4 low
CD36,protein-coding,1,0,0,0,1,,T4 low
CD38,protein-coding,1,0,0,0,1,,T4 low
CD4,protein-coding,1,0,0,0,1,,T4 low
CD8A,protein-coding,1,0,0,0,1,,T4 low
CDH23,protein-coding,1,0,0,0,1,,T4 low
CDHR1,protein-coding,1,0,0,0,1,,T4 low
CDO1,protein-coding,0,1,0,0,1,,T4 low
CDON,protein-coding,1,0,0,0,1,,T4 low
CEL,protein-coding,1,0,0,0,1,,T4 low
CELA2A,protein-coding,1,0,0,0,1,,T4 low
CEP19,protein-coding,1,0,0,0,1,,T4 low
CEP290,protein-coding,1,0,0,0,1,,T4 low
CERKL,protein-coding,1,0,0,0,1,,T4 low
CETP,protein-coding,1,0,0,0,1,,T4 low
CFAP418,protein-coding,1,0,0,0,1,,T4 low
CFTR,protein-coding,1,0,0,0,1,,T4 low
CIDEC,protein-coding,1,0,0,0,1,,T4 low
CKB,protein-coding,1,0,0,0,1,,T4 low
CKM,protein-coding,1,0,0,0,1,,T4 low
CKMT1B,protein-coding,1,0,0,0,1,,T4 low
CKMT2,protein-coding,1,0,0,0,1,,T4 low
CLCNKB,protein-coding,1,0,0,0,1,,T4 low
CLEC16A,protein-coding,1,0,0,0,1,,T4 low
CLIP2,protein-coding,1,0,0,0,1,,T4 low
CLPS,protein-coding,1,0,0,0,1,,T4 low
CLRN1,protein-coding,1,0,0,0,1,,T4 low
CNBP,protein-coding,1,0,0,0,1,,T4 low
CNGA1,protein-coding,1,0,0,0,1,,T4 low
CNGB1,protein-coding,1,0,0,0,1,,T4 low
CNKSR2,protein-coding,0,1,0,0,1,,T4 low
CNOT1,protein-coding,1,0,0,0,1,,T4 low
COL2A1,protein-coding,1,0,0,0,1,,T4 low
CORIN,protein-coding,1,0,0,0,1,,T4 low
COX1,protein-coding,1,0,0,0,1,,T4 low
COX2,protein-coding,1,0,0,0,1,,T4 low
COX3,protein-coding,1,0,0,0,1,,T4 low
CP,protein-coding,1,0,0,0,1,,T4 low
CPA1,protein-coding,1,0,0,0,1,,T4 low
CPT1A,protein-coding,0,1,0,0,1,,T4 low
CRB1,protein-coding,1,0,0,0,1,,T4 low
CREB1,protein-coding,1,0,0,0,1,,T4 low
CRIPTO,protein-coding,1,0,0,0,1,,T4 low
CRP,protein-coding,1,0,0,0,1,,T4 low
CRTC1,protein-coding,1,0,0,0,1,,T4 low
CRX,protein-coding,1,0,0,0,1,,T4 low
CST3,protein-coding,1,0,0,0,1,,T4 low
CTC1,protein-coding,1,0,0,0,1,,T4 low
CTLA4,protein-coding,1,0,0,0,1,,T4 low
CTNNB1,protein-coding,1,0,0,0,1,,T4 low
CTNS,protein-coding,1,0,0,0,1,,T4 low
CTRC,protein-coding,1,0,0,0,1,,T4 low
CXCL10,protein-coding,1,0,0,0,1,,T4 low
CXCL8,protein-coding,1,0,0,0,1,,T4 low
CYBA,protein-coding,0,1,0,0,1,,T4 low
CYBB,protein-coding,1,0,0,0,1,,T4 low
CYCS,protein-coding,1,0,0,0,1,,T4 low
CYP1A2,protein-coding,0,1,0,0,1,,T4 low
CYTB,protein-coding,1,0,0,0,1,,T4 low
DCAF17,protein-coding,1,0,0,0,1,,T4 low
DGKD,protein-coding,0,1,0,0,1,,T4 low
DHDDS,protein-coding,1,0,0,0,1,,T4 low
DHX38,protein-coding,1,0,0,0,1,,T4 low
DISP1,protein-coding,1,0,0,0,1,,T4 low
DKC1,protein-coding,1,0,0,0,1,,T4 low
DLK1,protein-coding,1,0,0,0,1,,T4 low
DLL1,protein-coding,1,0,0,0,1,,T4 low
DMXL2,protein-coding,1,0,0,0,1,,T4 low
DNAH8,protein-coding,1,0,0,0,1,,T4 low
DNAJC21,protein-coding,1,0,0,0,1,,T4 low
DNAJC3,protein-coding,1,0,0,0,1,,T4 low
DNAJC30,protein-coding,1,0,0,0,1,,T4 low
DNASE2,protein-coding,1,0,0,0,1,,T4 low
DNM1L,protein-coding,1,0,0,0,1,,T4 low
DNMT1,protein-coding,1,0,0,0,1,,T4 low
DPP4,protein-coding,1,0,0,0,1,,T4 low
DUT,protein-coding,1,0,0,0,1,,T4 low
DYRK1B,protein-coding,1,0,0,0,1,,T4 low
ECE1,protein-coding,0,1,0,0,1,,T4 low
EDA,protein-coding,1,0,0,0,1,,T4 low
EDA2R,protein-coding,1,0,0,0,1,,T4 low
EDNRA,protein-coding,0,1,0,0,1,,T4 low
EDNRB,protein-coding,0,1,0,0,1,,T4 low
EFL1,protein-coding,1,0,0,0,1,,T4 low
EGF,protein-coding,1,0,0,0,1,,T4 low
EGFR,protein-coding,0,1,0,0,1,,T4 low
EIF2AK3,protein-coding,1,0,0,0,1,,T4 low
EIF2S3,protein-coding,1,0,0,0,1,,T4 low
EIF4H,protein-coding,1,0,0,0,1,,T4 low
ELMO2,protein-coding,1,0,0,0,1,,T4 low
ELN,protein-coding,1,0,0,0,1,,T4 low
EML2,protein-coding,1,0,0,0,1,,T4 low
EPC2,protein-coding,0,1,0,0,1,,T4 low
EPO,protein-coding,1,0,0,0,1,,T4 low
ESR1,protein-coding,1,0,0,0,1,,T4 low
EYS,protein-coding,1,0,0,0,1,,T4 low
F2,protein-coding,1,0,0,0,1,,T4 low
F3,protein-coding,1,0,0,0,1,,T4 low
FABP4,protein-coding,1,0,0,0,1,,T4 low
FAM161A,protein-coding,1,0,0,0,1,,T4 low
FAM234A,protein-coding,0,1,0,0,1,,T4 low
FAS,protein-coding,0,1,0,0,1,,T4 low
FASN,protein-coding,1,0,0,0,1,,T4 low
FBN1,protein-coding,1,0,0,0,1,,T4 low
FCGR3B,protein-coding,1,0,0,0,1,,T4 low
FGF8,protein-coding,1,0,0,0,1,,T4 low
FGFR1,protein-coding,1,0,0,0,1,,T4 low
FKBP6,protein-coding,1,0,0,0,1,,T4 low
FLT1,protein-coding,1,0,0,0,1,,T4 low
