finding_id,layer,chemical,entity,related_entity,source_kg,relationship_type,effect_or_score,evidence_kind,notes
F0014,aop,BPA,AOP 314,Exacerbation of systemic lupus erythematosus (SLE),biobricks-aopwiki,has-adverse-outcome,,curated AOP link,MIE: Binding to estrogen receptor (ER)-alpha in immune cells; 5 KEs; target ESR1/GATA3
F0015,aop,BPA,AOP 522,autism-like behavior,biobricks-aopwiki,has-adverse-outcome,,curated AOP link,"MIE: Antagonism, Estrogen receptor; 6 KEs; target ESR1/ESR2"
F0016,aop,BPA,AOP 535,"Impairment, Learning and memory",biobricks-aopwiki,has-adverse-outcome,,curated AOP link,MIE: protein-coupled estrogen receptor 1 (GPER) activation; 9 KEs; target GPER1/ESR1/ESR2
F0017,aop,TBBPA,AOP 152,"Cognitive function, decreased",biobricks-aopwiki,has-adverse-outcome,,curated AOP link,"MIE: Binding, Transthyretin in serum; 11 KEs; target TTR"
F0018,assay,BPA,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,375/1414 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0019,assay,BPS,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,72/558 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0020,assay,BPF,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,51/665 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0021,assay,BPAF,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,484/1189 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0022,assay,BPB,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,309/991 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0023,assay,BPAP,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,80/273 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0024,assay,BPE,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,62/398 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0025,assay,BPC,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,229/662 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0026,assay,BPZ,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,119/238 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0027,assay,TBBPA,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,377/1138 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0028,assay,TCBPA,ToxCast HTS panel,multiple endpoints,biobricks-toxcast,assayed-in,297/808 active,HTS assay measurement,binary hitcall; not in-vivo effect
F0029,functional-use,BPM,Antioxidant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0030,functional-use,BPM,Uv absorber,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0031,functional-use,BPAP,Antioxidant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0032,functional-use,BPAP,Uv absorber,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0033,functional-use,BPE,Antioxidant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0034,functional-use,BPP,Antioxidant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0035,functional-use,BPF,Antioxidant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0036,functional-use,BPB,Antioxidant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0037,functional-use,TBBPA,Flame retardant,OECD Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0038,functional-use,TBBPA,Flame retardant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0039,functional-use,TCBPA,Flame retardant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0040,functional-use,BPC,Antioxidant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0041,functional-use,BPC,Uv absorber,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0042,functional-use,BPA,Binder,OECD Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0043,functional-use,BPA,Catalyst,OECD Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0044,functional-use,BPA,Hardener,OECD Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0045,functional-use,BPA,Antioxidant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0046,functional-use,BPA,Uv absorber,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0047,functional-use,BPS,Colorant,Predicted Functional Use,biobricks-ice,functional-use-of,,ICE functional-use curation,
F0048,hazard,BPA,Reproductive toxicity,H361f: Suspected of damaging fertility,biobricks-pubchem-annotations,hazard-annotation,,literature/safety annotation,
F0049,hazard,BPA,Reproductive toxicity,Reproductive toxicity - category 2,biobricks-pubchem-annotations,hazard-annotation,,literature/safety annotation,
F0050,hazard,BPA,Endocrine disruption,Potential endocrine disrupting compound,biobricks-pubchem-annotations,hazard-annotation,,literature/safety annotation,
F0051,hazard,BPA,Genotoxicity,Mutagen,biobricks-pubchem-annotations,hazard-annotation,,literature/safety annotation,
F0052,hazard,BPA,Skin sensitization,H317: May cause an allergic skin reaction,biobricks-pubchem-annotations,hazard-annotation,,literature/safety annotation,
F0053,hazard,BPA,Eye damage,H318: Causes serious eye damage,biobricks-pubchem-annotations,hazard-annotation,,literature/safety annotation,
F0054,hazard,BPA,Respiratory irritation,H335: May cause respiratory irritation,biobricks-pubchem-annotations,hazard-annotation,,literature/safety annotation,
F0055,hazard,BPA,Carcinogenicity study,NTP Toxicology & Carcinogenesis Studies of Bisphenol A (F344/N rats and B6C3F1 mice),biobricks-pubchem-annotations,hazard-annotation,,literature/safety annotation,
F0056,molecular-target,(bisphenol class),ESR1,Ensembl:ENSG00000091831; Entrez:2099; UniProt:P03372,biobricks-aopwiki,target-gene-of,,curated target ID,Primary estrogenic MIE target (AOP314/522); ToxCast ER assays
F0057,molecular-target,(bisphenol class),ESR2,Ensembl:ENSG00000140009; Entrez:2100; UniProt:Q92731,biobricks-aopwiki,target-gene-of,,curated target ID,Estrogenic target; ERalpha/beta heterodimer (AOP535 KE)
F0058,molecular-target,(bisphenol class),GPER1,Ensembl:ENSG00000164850; Entrez:2852; UniProt:Q99527,biobricks-aopwiki,target-gene-of,,curated target ID,MIE of AOP535 (GPER activation -> memory impairment)
F0059,molecular-target,(bisphenol class),AR,Ensembl:ENSG00000169083; Entrez:367; UniProt:P10275,biobricks-aopwiki,target-gene-of,,curated target ID,Anti-androgen activity in ToxCast/ICE AR assays
F0060,molecular-target,(bisphenol class),TTR,Ensembl:ENSG00000118271; Entrez:7276; UniProt:P02766,biobricks-aopwiki,target-gene-of,,curated target ID,MIE of AOP152 (TTR binding -> neurodevelopmental tox); TBBPA
F0061,molecular-target,(bisphenol class),THRA,Ensembl:ENSG00000126351; Entrez:7067; UniProt:P10827,biobricks-aopwiki,target-gene-of,,curated target ID,Thyroid axis (TBBPA/halogenated bisphenols)
F0062,molecular-target,(bisphenol class),THRB,Ensembl:ENSG00000151090; Entrez:7068; UniProt:P10828,biobricks-aopwiki,target-gene-of,,curated target ID,Thyroid axis (TBBPA/halogenated bisphenols)
F0063,molecular-target,(bisphenol class),ESRRA,Ensembl:; Entrez:; UniProt:P11474,biobricks-aopwiki,target-gene-of,,curated target ID,BPA high-affinity receptor (literature); not in aopwiki HGNC set
F0064,molecular-target,(bisphenol class),ESRRG,Ensembl:; Entrez:; UniProt:P62508,biobricks-aopwiki,target-gene-of,,curated target ID,BPA very high-affinity receptor (literature); not in aopwiki HGNC set
F0065,molecular-target,(bisphenol class),NR1I2,Ensembl:ENSG00000144852; Entrez:8856; UniProt:O75469,biobricks-aopwiki,target-gene-of,,curated target ID,Xenobiotic nuclear receptor; ToxCast actives
F0066,molecular-target,(bisphenol class),NR1I3,Ensembl:ENSG00000143257; Entrez:9970; UniProt:Q14994,biobricks-aopwiki,target-gene-of,,curated target ID,Xenobiotic nuclear receptor
F0067,molecular-target,(bisphenol class),NR3C1,Ensembl:ENSG00000113580; Entrez:2908; UniProt:P04150,biobricks-aopwiki,target-gene-of,,curated target ID,Steroid receptor cross-talk
F0068,molecular-target,(bisphenol class),PGR,Ensembl:ENSG00000082175; Entrez:5241; UniProt:P06401,biobricks-aopwiki,target-gene-of,,curated target ID,Steroid receptor
F0069,molecular-target,(bisphenol class),PPARG,Ensembl:ENSG00000132170; Entrez:5468; UniProt:P37231,biobricks-aopwiki,target-gene-of,,curated target ID,Metabolic/adipogenic target (obesogen hypothesis)
F0070,molecular-target,(bisphenol class),AHR,Ensembl:ENSG00000106546; Entrez:196; UniProt:P35869,biobricks-aopwiki,target-gene-of,,curated target ID,Xenobiotic sensing
F0071,molecular-target,(bisphenol class),GATA3,Ensembl:ENSG00000107485; Entrez:2625; UniProt:P23771,biobricks-aopwiki,target-gene-of,,curated target ID,KE in AOP314 (GATA3 induction -> Th2/IL-4 -> SLE)
F0072,expression,(via target),PPARG,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,399 sig contrasts (up 184/dn 215); maxLog2FC 9.6,measured differential expression,
F0073,expression,(via target),GATA3,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,374 sig contrasts (up 147/dn 227); maxLog2FC 9.1,measured differential expression,
F0074,expression,(via target),AHR,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,290 sig contrasts (up 164/dn 126); maxLog2FC 4.9,measured differential expression,
F0075,expression,(via target),GPER1,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,284 sig contrasts (up 158/dn 126); maxLog2FC 6.5,measured differential expression,
F0076,expression,(via target),PGR,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,280 sig contrasts (up 149/dn 131); maxLog2FC 9.7,measured differential expression,
F0077,expression,(via target),THRB,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,268 sig contrasts (up 103/dn 165); maxLog2FC 6.2,measured differential expression,
F0078,expression,(via target),NR3C1,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,258 sig contrasts (up 111/dn 147); maxLog2FC 4.5,measured differential expression,
F0079,expression,(via target),AR,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,244 sig contrasts (up 90/dn 154); maxLog2FC 9.2,measured differential expression,
F0080,expression,(via target),ESR1,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,195 sig contrasts (up 89/dn 106); maxLog2FC 10.0,measured differential expression,
F0081,expression,(via target),ESRRG,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,193 sig contrasts (up 77/dn 116); maxLog2FC 8.0,measured differential expression,
F0082,expression,(via target),THRA,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,187 sig contrasts (up 68/dn 119); maxLog2FC 4.8,measured differential expression,
F0083,expression,(via target),TTR,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,109 sig contrasts (up 61/dn 48); maxLog2FC 17.1,measured differential expression,
F0084,expression,(via target),ESR2,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,107 sig contrasts (up 53/dn 54); maxLog2FC 7.3,measured differential expression,
F0085,expression,(via target),NR1I2,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,103 sig contrasts (up 45/dn 58); maxLog2FC 10.1,measured differential expression,
F0086,expression,(via target),ESRRA,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,89 sig contrasts (up 52/dn 37); maxLog2FC 4.3,measured differential expression,
F0087,expression,(via target),NR1I3,GXA disease/tissue contrasts,gene-expression-atlas-okn,differentially-expressed-in,88 sig contrasts (up 30/dn 58); maxLog2FC 6.9,measured differential expression,
F0088,disease-assoc,(via target),AHR,diabetes mellitus (DOID_9351),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0089,disease-assoc,(via target),AHR,glaucoma (DOID_1686),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0090,disease-assoc,(via target),AHR,inflammatory bowel disease (DOID_0050589),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0091,disease-assoc,(via target),AHR,nervous system disease (DOID_863),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0092,disease-assoc,(via target),AHR,obesity (DOID_9970),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0093,disease-assoc,(via target),AHR,Parkinson's disease (DOID_14330),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0094,disease-assoc,(via target),AHR,rheumatoid arthritis (DOID_7148),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0095,disease-assoc,(via target),AHR,skin melanoma (DOID_8923),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0096,disease-assoc,(via target),AHR,squamous cell carcinoma (DOID_1749),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0097,disease-assoc,(via target),AR,breast cancer (DOID_1612),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0098,disease-assoc,(via target),AR,depressive disorder (DOID_1596),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0099,disease-assoc,(via target),AR,dermatitis (DOID_2723),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0100,disease-assoc,(via target),AR,diabetes mellitus (DOID_9351),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0101,disease-assoc,(via target),AR,male infertility (DOID_12336),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0102,disease-assoc,(via target),AR,motor neuron disease (DOID_231),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0103,disease-assoc,(via target),AR,nervous system disease (DOID_863),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0104,disease-assoc,(via target),AR,polycystic ovary syndrome (DOID_11612),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0105,disease-assoc,(via target),AR,prostate cancer (DOID_10283),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0106,disease-assoc,(via target),AR,testicular cancer (DOID_2998),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0107,disease-assoc,(via target),ESR1,arteriosclerosis (DOID_2349),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0108,disease-assoc,(via target),ESR1,breast cancer (DOID_1612),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0109,disease-assoc,(via target),ESR1,breast carcinoma (DOID_3459),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0110,disease-assoc,(via target),ESR1,colorectal cancer (DOID_9256),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0111,disease-assoc,(via target),ESR1,dermatitis (DOID_2723),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0112,disease-assoc,(via target),ESR1,diabetes mellitus (DOID_9351),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0113,disease-assoc,(via target),ESR1,endometriosis (DOID_289),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0114,disease-assoc,(via target),ESR1,liver cancer (DOID_3571),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0115,disease-assoc,(via target),ESR1,liver disease (DOID_409),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0116,disease-assoc,(via target),ESR1,lung cancer (DOID_1324),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0117,disease-assoc,(via target),ESR1,major depressive disorder (DOID_1470),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0118,disease-assoc,(via target),ESR1,migraine (DOID_6364),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0119,disease-assoc,(via target),ESR1,nervous system disease (DOID_863),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0120,disease-assoc,(via target),ESR1,nutrition disease (DOID_374),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0121,disease-assoc,(via target),ESR1,obesity (DOID_9970),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0122,disease-assoc,(via target),ESR1,ovarian cancer (DOID_2394),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0123,disease-assoc,(via target),ESR1,polycystic ovary syndrome (DOID_11612),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0124,disease-assoc,(via target),ESR1,prostate cancer (DOID_10283),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0125,disease-assoc,(via target),ESR1,uterine cancer (DOID_363),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0126,disease-assoc,(via target),ESR2,breast cancer (DOID_1612),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0127,disease-assoc,(via target),ESR2,endometriosis (DOID_289),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0128,disease-assoc,(via target),ESR2,major depressive disorder (DOID_1470),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0129,disease-assoc,(via target),ESR2,psoriasis (DOID_8893),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0130,disease-assoc,(via target),ESRRG,breast carcinoma (DOID_3459),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0131,disease-assoc,(via target),ESRRG,chronic obstructive pulmonary disease (DOID_3083),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0132,disease-assoc,(via target),ESRRG,major depressive disorder (DOID_1470),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0133,disease-assoc,(via target),GATA3,asthma (DOID_2841),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0134,disease-assoc,(via target),GATA3,breast cancer (DOID_1612),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0135,disease-assoc,(via target),GATA3,dermatitis (DOID_2723),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0136,disease-assoc,(via target),GATA3,diabetes mellitus (DOID_9351),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0137,disease-assoc,(via target),GATA3,epilepsy (DOID_1826),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0138,disease-assoc,(via target),GATA3,Hodgkin's lymphoma (DOID_8567),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0139,disease-assoc,(via target),GATA3,lymphoid leukemia (DOID_1037),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0140,disease-assoc,(via target),GATA3,multiple sclerosis (DOID_2377),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0141,disease-assoc,(via target),GATA3,psoriasis (DOID_8893),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0142,disease-assoc,(via target),GATA3,rheumatoid arthritis (DOID_7148),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0143,disease-assoc,(via target),NR3C1,anxiety disorder (DOID_2030),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0144,disease-assoc,(via target),NR3C1,depressive disorder (DOID_1596),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0145,disease-assoc,(via target),NR3C1,dermatitis (DOID_2723),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0146,disease-assoc,(via target),NR3C1,diabetes mellitus (DOID_9351),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0147,disease-assoc,(via target),NR3C1,hypertension (DOID_10763),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0148,disease-assoc,(via target),NR3C1,major depressive disorder (DOID_1470),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0149,disease-assoc,(via target),NR3C1,obesity (DOID_9970),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0150,disease-assoc,(via target),PGR,breast cancer (DOID_1612),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0151,disease-assoc,(via target),PGR,breast carcinoma (DOID_3459),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0152,disease-assoc,(via target),PGR,endometriosis (DOID_289),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0153,disease-assoc,(via target),PGR,ovarian cancer (DOID_2394),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0154,disease-assoc,(via target),PGR,uterine cancer (DOID_363),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0155,disease-assoc,(via target),PGR,uterine fibroid (DOID_13223),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0156,disease-assoc,(via target),PPARG,arteriosclerosis (DOID_2349),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0157,disease-assoc,(via target),PPARG,cardiomyopathy (DOID_0050700),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0158,disease-assoc,(via target),PPARG,cerebrovascular disease (DOID_6713),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0159,disease-assoc,(via target),PPARG,coronary artery disease (DOID_3393),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0160,disease-assoc,(via target),PPARG,diabetes mellitus (DOID_9351),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0161,disease-assoc,(via target),PPARG,hypertension (DOID_10763),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0162,disease-assoc,(via target),PPARG,liver disease (DOID_409),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0163,disease-assoc,(via target),PPARG,nervous system disease (DOID_863),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0164,disease-assoc,(via target),PPARG,nutrition disease (DOID_374),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0165,disease-assoc,(via target),PPARG,obesity (DOID_9970),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0166,disease-assoc,(via target),PPARG,pancreatitis (DOID_4989),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0167,disease-assoc,(via target),PPARG,polycystic ovary syndrome (DOID_11612),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0168,disease-assoc,(via target),THRA,asthma (DOID_2841),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0169,disease-assoc,(via target),THRA,bipolar disorder (DOID_3312),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0170,disease-assoc,(via target),THRA,chronic obstructive pulmonary disease (DOID_3083),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0171,disease-assoc,(via target),THRB,diabetes mellitus (DOID_9351),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0172,disease-assoc,(via target),THRB,major depressive disorder (DOID_1470),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0173,disease-assoc,(via target),THRB,uterine fibroid (DOID_13223),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0174,disease-assoc,(via target),TTR,cardiomyopathy (DOID_0050700),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0175,disease-assoc,(via target),TTR,epilepsy (DOID_1826),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0176,disease-assoc,(via target),TTR,liver disease (DOID_409),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0177,disease-assoc,(via target),TTR,myopia (DOID_11830),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0178,disease-assoc,(via target),TTR,nervous system disease (DOID_863),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0179,disease-assoc,(via target),TTR,rheumatoid arthritis (DOID_7148),spoke-okn,associated-with-disease,,curated/statistical disease association,gene-disease
F0180,rare-disease,(via target),ESR1,124 MONDO rare diseases,rdkg,associated-with-disease,124,curated rare-disease association,
F0181,rare-disease,(via target),PPARG,104 MONDO rare diseases,rdkg,associated-with-disease,104,curated rare-disease association,
F0182,rare-disease,(via target),ESR2,73 MONDO rare diseases,rdkg,associated-with-disease,73,curated rare-disease association,
F0183,rare-disease,(via target),AR,59 MONDO rare diseases,rdkg,associated-with-disease,59,curated rare-disease association,
F0184,rare-disease,(via target),PGR,52 MONDO rare diseases,rdkg,associated-with-disease,52,curated rare-disease association,
F0185,rare-disease,(via target),AHR,48 MONDO rare diseases,rdkg,associated-with-disease,48,curated rare-disease association,
F0186,rare-disease,(via target),GATA3,35 MONDO rare diseases,rdkg,associated-with-disease,35,curated rare-disease association,
F0187,rare-disease,(via target),NR3C1,29 MONDO rare diseases,rdkg,associated-with-disease,29,curated rare-disease association,
F0188,rare-disease,(via target),TTR,21 MONDO rare diseases,rdkg,associated-with-disease,21,curated rare-disease association,
F0189,rare-disease,(via target),NR1I2,20 MONDO rare diseases,rdkg,associated-with-disease,20,curated rare-disease association,
F0190,rare-disease,(via target),THRA,11 MONDO rare diseases,rdkg,associated-with-disease,11,curated rare-disease association,
F0191,rare-disease,(via target),GPER1,10 MONDO rare diseases,rdkg,associated-with-disease,10,curated rare-disease association,
F0192,rare-disease,(via target),ESRRA,9 MONDO rare diseases,rdkg,associated-with-disease,9,curated rare-disease association,
F0193,rare-disease,(via target),THRB,9 MONDO rare diseases,rdkg,associated-with-disease,9,curated rare-disease association,
