assay	gene	mouse_symbol	human	human_symbol	human_taxonomy	osd	mouse_entrez	human_entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100163	Pafah2	http://www.ncbi.nlm.nih.gov/gene/5051	PAFAH2	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100163	5051
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100177	Zmym6	http://www.ncbi.nlm.nih.gov/gene/9204	ZMYM6	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100177	9204
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100198	H6pd	http://www.ncbi.nlm.nih.gov/gene/9563	H6PD	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100198	9563
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100201	Tmem64	http://www.ncbi.nlm.nih.gov/gene/169200	TMEM64	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100201	169200
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100226	Stx12	http://www.ncbi.nlm.nih.gov/gene/23673	STX12	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100226	23673
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100273	Osbpl9	http://www.ncbi.nlm.nih.gov/gene/114883	OSBPL9	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100273	114883
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100294583	Alkal2	http://www.ncbi.nlm.nih.gov/gene/285016	ALKAL2	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100294583	285016
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100328588	Il4i1|Il4i1b	http://www.ncbi.nlm.nih.gov/gene/259307	IL4I1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100328588	259307
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100383	Bsdc1	http://www.ncbi.nlm.nih.gov/gene/55108	BSDC1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100383	55108
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100416706	Zfp729b	http://www.ncbi.nlm.nih.gov/gene/100287226	ZNF729	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100416706	100287226
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100416706	Zfp729b	http://www.ncbi.nlm.nih.gov/gene/91664	ZNF845	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100416706	91664
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100503355	Zfp648	http://www.ncbi.nlm.nih.gov/gene/127665	ZNF648	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100503355	127665
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100504663	Atg14	http://www.ncbi.nlm.nih.gov/gene/22863	ATG14	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100504663	22863
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100561	Slc15a4	http://www.ncbi.nlm.nih.gov/gene/121260	SLC15A4	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100561	121260
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100604	Lrrc8c	http://www.ncbi.nlm.nih.gov/gene/84230	LRRC8C	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100604	84230
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100678	Psph	http://www.ncbi.nlm.nih.gov/gene/5723	PSPH	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100678	5723
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100732	Mapre3	http://www.ncbi.nlm.nih.gov/gene/22924	MAPRE3	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100732	22924
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100763	Ube3c	http://www.ncbi.nlm.nih.gov/gene/9690	UBE3C	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100763	9690
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100855	Tbc1d14	http://www.ncbi.nlm.nih.gov/gene/57533	TBC1D14	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100855	57533
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100986	Akap9	http://www.ncbi.nlm.nih.gov/gene/10142	AKAP9	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100986	10142
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101023	Zfp513	http://www.ncbi.nlm.nih.gov/gene/130557	ZNF513	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101023	130557
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101100	Ttll3	http://www.ncbi.nlm.nih.gov/gene/26140	TTLL3	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101100	26140
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101118	Tmem168	http://www.ncbi.nlm.nih.gov/gene/64418	TMEM168	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101118	64418
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101142	Itfg2	http://www.ncbi.nlm.nih.gov/gene/55846	ITFG2	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101142	55846
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101185	Pot1a	http://www.ncbi.nlm.nih.gov/gene/25913	POT1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101185	25913
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101206	Tada3	http://www.ncbi.nlm.nih.gov/gene/10474	TADA3	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101206	10474
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101214	Tra2a	http://www.ncbi.nlm.nih.gov/gene/29896	TRA2A	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101214	29896
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101240	Wdr91	http://www.ncbi.nlm.nih.gov/gene/29062	WDR91	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101240	29062
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101437	Dhx32	http://www.ncbi.nlm.nih.gov/gene/55760	DHX32	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101437	55760
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101612	Grwd1	http://www.ncbi.nlm.nih.gov/gene/83743	GRWD1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101612	83743
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101613	Nlrp6	http://www.ncbi.nlm.nih.gov/gene/171389	NLRP6	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101613	171389
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101631	Pwwp2b	http://www.ncbi.nlm.nih.gov/gene/170394	PWWP2B	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101631	170394
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101700	Trim68	http://www.ncbi.nlm.nih.gov/gene/55128	TRIM68	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101700	55128
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101739	Psip1	http://www.ncbi.nlm.nih.gov/gene/11168	PSIP1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101739	11168
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101861	Ints4	http://www.ncbi.nlm.nih.gov/gene/92105	INTS4	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101861	92105
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101867	Rrp8	http://www.ncbi.nlm.nih.gov/gene/23378	RRP8	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101867	23378
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101869	Unc45a	http://www.ncbi.nlm.nih.gov/gene/55898	UNC45A	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101869	55898
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101943	Sf3b3	http://www.ncbi.nlm.nih.gov/gene/23450	SF3B3	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101943	23450
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101985	Usb1	http://www.ncbi.nlm.nih.gov/gene/79650	USB1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101985	79650
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/101994	Champ1	http://www.ncbi.nlm.nih.gov/gene/283489	CHAMP1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	101994	283489
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102032	Smim19	http://www.ncbi.nlm.nih.gov/gene/114926	SMIM19	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102032	114926
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102162	Taf5l	http://www.ncbi.nlm.nih.gov/gene/27097	TAF5L	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102162	27097
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102182	Prmt9	http://www.ncbi.nlm.nih.gov/gene/90826	PRMT9	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102182	90826
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102193	Zdhhc7	http://www.ncbi.nlm.nih.gov/gene/55625	ZDHHC7	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102193	55625
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102209	Snapc2	http://www.ncbi.nlm.nih.gov/gene/6618	SNAPC2	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102209	6618
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102216272	Taf9|Ak6	http://www.ncbi.nlm.nih.gov/gene/102157402	AK6	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102216272	102157402
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102216272	Taf9|Ak6	http://www.ncbi.nlm.nih.gov/gene/6880	TAF9	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102216272	6880
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102247	Gpat4	http://www.ncbi.nlm.nih.gov/gene/137964	GPAT4	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102247	137964
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102339	Cog4	http://www.ncbi.nlm.nih.gov/gene/25839	COG4	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102339	25839
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102414	Clk3	http://www.ncbi.nlm.nih.gov/gene/1198	CLK3	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102414	1198
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102442	Dennd4a	http://www.ncbi.nlm.nih.gov/gene/10260	DENND4A	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102442	10260
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102462	Imp3	http://www.ncbi.nlm.nih.gov/gene/55272	IMP3	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102462	55272
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102566	Ano10	http://www.ncbi.nlm.nih.gov/gene/55129	ANO10	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102566	55129
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102580	Alg9	http://www.ncbi.nlm.nih.gov/gene/79796	ALG9	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102580	79796
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102607	Snx19	http://www.ncbi.nlm.nih.gov/gene/399979	SNX19	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102607	399979
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102632	Acad11	http://www.ncbi.nlm.nih.gov/gene/84129	ACAD11	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102632	84129
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102636082	Gm8251	http://www.ncbi.nlm.nih.gov/gene/643677	CCDC168	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102636082	643677
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102639802	Gm36028	http://www.ncbi.nlm.nih.gov/gene/11119	BTN3A1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102639802	11119
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102657	Cd276	http://www.ncbi.nlm.nih.gov/gene/80381	CD276	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102657	80381
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102774	Bbs4	http://www.ncbi.nlm.nih.gov/gene/585	BBS4	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102774	585
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/102857	Slc6a8	http://www.ncbi.nlm.nih.gov/gene/6535	SLC6A8	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	102857	6535
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103136	Pwp1	http://www.ncbi.nlm.nih.gov/gene/11137	PWP1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103136	11137
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103149	Upb1	http://www.ncbi.nlm.nih.gov/gene/51733	UPB1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103149	51733
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103172	Chchd10	http://www.ncbi.nlm.nih.gov/gene/400916	CHCHD10	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103172	400916
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103199	Fig4	http://www.ncbi.nlm.nih.gov/gene/9896	FIG4	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103199	9896
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103220	Ttc41	http://www.ncbi.nlm.nih.gov/gene/253724	TTC41P	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103220	253724
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103236	Csnk1g2	http://www.ncbi.nlm.nih.gov/gene/1455	CSNK1G2	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103236	1455
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103425	Ncln	http://www.ncbi.nlm.nih.gov/gene/56926	NCLN	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103425	56926
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103537	Mbtd1	http://www.ncbi.nlm.nih.gov/gene/54799	MBTD1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103537	54799
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103554	Psme4	http://www.ncbi.nlm.nih.gov/gene/23198	PSME4	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103554	23198
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103583	Fbxw11	http://www.ncbi.nlm.nih.gov/gene/23291	FBXW11	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103583	23291
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103655	Sec14l4	http://www.ncbi.nlm.nih.gov/gene/284904	SEC14L4	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103655	284904
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103694	Tmed4	http://www.ncbi.nlm.nih.gov/gene/222068	TMED4	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103694	222068
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103737	Pex12	http://www.ncbi.nlm.nih.gov/gene/5193	PEX12	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103737	5193
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103743	Tmem98	http://www.ncbi.nlm.nih.gov/gene/26022	TMEM98	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103743	26022
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103784	Dnaaf10	http://www.ncbi.nlm.nih.gov/gene/116143	DNAAF10	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103784	116143
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103836	Zfp692	http://www.ncbi.nlm.nih.gov/gene/55657	ZNF692	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103836	55657
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/103844	Inca1	http://www.ncbi.nlm.nih.gov/gene/388324	INCA1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	103844	388324
