hEntrez	humanSymbol_wt	symbol_wt	mEntrez_wt	log2fc_wt	log2fc_mean_wt	adj_p_value_wt	n_mouse_map_wt	humanSymbol_ko	symbol_ko	mEntrez_ko	log2fc_ko	log2fc_mean_ko	adj_p_value_ko	n_mouse_map_ko	sig_wt	sig_ko
100130283	PMM2|LOC100130283	Pmm2	54128	-0.238753	-0.238753	0.00515167	1.0								True	False
100130932		Snrpg	68011	0.408873	0.408873	0.0205227	1.0		Snrpg	68011	0.474204	0.474204	0.00537267	1.0	True	True
100131017								ZNF316	Zfp316	54201	-0.885693	-0.885693	0.000875497	1.0	False	True
100131439	CD300LD	Cd300a	217303	0.496827	0.48965250000000005	0.00197038	2.0	CD300LD	Cd300ld5	100043125	-3.21385	-0.6650489999999999	0.0146225	3.0	True	True
100131801	PET100	Pet100	100503890	0.468401	0.468401	0.00298381	1.0	PET100	Pet100	100503890	0.41914	0.41914	0.00796343	1.0	True	True
100132565									Golga2	99412	-0.516335	-0.516335	0.00812759	1.0	False	True
100132911		Dph3	105638	0.514116	0.514116	9.80072e-05	1.0		Dph3	105638	0.383007	0.383007	0.00452617	1.0	True	True
100134934	TEN1	Ten1	69535	0.444485	0.444485	0.00797798	1.0	TEN1	Ten1	69535	0.395102	0.395102	0.0200292	1.0	True	True
10014								HDAC5	Hdac5	15184	-0.73163	-0.73163	5.94601e-05	1.0	False	True
100141515	C17orf99	6030468B19Rik	77727	-0.709324	-0.709324	0.00451687	1.0	C17orf99	6030468B19Rik	77727	-0.999452	-0.999452	2.25952e-05	1.0	True	True
10016	PDCD6	Pdcd6	18570	0.348225	0.348225	0.0226449	1.0	PDCD6	Pdcd6	18570	0.462343	0.462343	0.00140721	1.0	True	True
10018								BCL2L11	Bcl2l11	12125	-0.418835	-0.418835	0.00814654	1.0	False	True
100188893	TOMM6	Tomm6	66119	0.468178	0.468178	0.00145402	1.0	TOMM6	Tomm6	66119	0.467663	0.467663	0.00150484	1.0	True	True
10019								SH2B3	Sh2b3	16923	-0.64996	-0.64996	0.00523794	1.0	False	True
10023	FRAT1	Frat1	14296	0.320667	0.320667	0.0202012	1.0								True	False
10024	TROAP	Troap	78733	-0.484714	-0.484714	0.0032668	1.0	TROAP	Troap	78733	-0.46678	-0.46678	0.00621957	1.0	True	True
10025								MED16	Med16	216154	-0.861744	-0.861744	2.7108e-05	1.0	False	True
10026								PIGK	Pigk	329777	0.394643	0.394643	0.035979	1.0	False	True
100271927								RASA4B	Rasa4	54153	-0.454581	-0.454581	0.0112021	1.0	False	True
100272147	CMC4	Cmc4	105886298	-0.61866	-0.61866	0.0412425	1.0								True	False
100287226	ZNF729	Zfp729b	100416706	0.321359	0.321359	0.0459244	1.0								True	False
100287932	TIMM23	Timm23	53600	0.44002	0.44002	0.000400783	1.0	TIMM23	Timm23	53600	0.397662	0.397662	0.00149367	1.0	True	True
100288540									Pom121	107939	-1.18041	-1.18041	7.83156e-08	1.0	False	True
100288687	DUX4	Duxbl1	278672	-1.48653	-1.48653	0.0318445	1.0								True	False
100288814	CLDN34	Cldn34c1	73061	-0.74513	-0.74513	0.00978633	1.0								True	False
100293534		C4b	12268	-1.08041	-1.08041	0.00488306	1.0		C4b	12268	-0.794869	-0.794869	0.0473933	1.0	True	True
100302652	ASB3|GPR75-ASB3	Asb3	65257	0.367468	0.367468	0.012757	1.0								True	False
100302736	TMED7-TICAM2	Tmed7	66676	0.457474	0.457474	3.53547e-07	1.0	TMED7-TICAM2	Tmed7	66676	0.211994	0.211994	0.033112	1.0	True	True
100316904								SAP25	Sap25	751865	-0.654926	-0.654926	0.00701018	1.0	False	True
10036								CHAF1A	Chaf1a	27221	-0.579578	-0.579578	2.25203e-05	1.0	False	True
10038								PARP2	Parp2	11546	-0.468493	-0.468493	0.00421425	1.0	False	True
100381270	ZBED6	Zbed6	667118	-0.405902	-0.405902	0.0123159	1.0								True	False
10040	TOM1L1	Tom1l1	71943	-0.867016	-0.867016	4.61322e-05	1.0	TOM1L1	Tom1l1	71943	-0.626168	-0.626168	0.00452617	1.0	True	True
100419780		Zfp930	234358	0.404729	0.404729	0.0118314	1.0								True	False
100423062								IGLL5	Igll1	16136	-0.588019	-0.588019	0.0237046	1.0	False	True
100499467	LINC00511|LINC00673	2610035D17Rik|Gm57578	72386	-0.769249	-0.769249	0.049509	1.0								True	False
100505573								INAFM2	Inafm2	100043272	-0.469856	-0.469856	1.83694e-06	1.0	False	True
100505741								SPATA1	Spata1	70951	0.507972	0.507972	0.0447334	1.0	False	True
100506243								KRBOX1	Zfp65	235907	0.369551	0.369551	0.0417068	1.0	False	True
100506736	SLFN12L	Slfn2	20556	0.53108	0.47470199999999996	0.00190414	2.0								True	False
100507098								ADAMTS9-AS2	9530026P05Rik	330385	-2.72275	-2.72275	0.00197545	1.0	False	True
100507444		Ppp1r2	66849	0.325108	0.325108	0.0115598	1.0		Ppp1r2	66849	0.277203	0.277203	0.0351226	1.0	True	True
10051	SMC4	Smc4	70099	-0.293816	-0.293816	0.0214005	1.0								True	False
100526737								RBM14-RBM4	Rbm14	56275	-0.75811	-0.75811	1.03333e-05	1.0	False	True
100526739								CENPS-CORT	Cenps	69928	0.428477	0.428477	0.0494028	1.0	False	True
100526767	RNF103-CHMP3	Chmp3	66700	0.24312	0.24312	0.0122593	1.0	RNF103-CHMP3	Chmp3	66700	0.27045	0.27045	0.00403479	1.0	True	True
100532726	NDUFC2-KCTD14	Ndufc2	68197	0.531662	0.531662	0.00232283	1.0								True	False
100532731								COMMD3-BMI1	Bmi1	12151	0.423895	0.423895	0.0467546	1.0	False	True
100533106	ZHX1-C8orf76	9130401M01Rik	75758	0.661656	0.661656	1.06404e-05	1.0								True	False
100533496								TVP23C-CDRT4	Tvp23b	67510	0.399301	0.399301	0.0160275	1.0	False	True
10054								UBA2	Uba2	50995	0.176961	0.176961	0.031008	1.0	False	True
10058	ABCB6	Abcb6	74104	-0.639568	-0.639568	0.0060746	1.0	ABCB6	Abcb6	74104	-0.825516	-0.825516	0.000227734	1.0	True	True
100652748	TIMM23B	Timm23	53600	0.44002	0.44002	0.000400783	1.0	TIMM23B	Timm23	53600	0.397662	0.397662	0.00149367	1.0	True	True
10066								SCAMP2	Scamp2	24044	-0.537749	-0.537749	0.00635478	1.0	False	True
10067								SCAMP3	Scamp3	24045	-0.299522	-0.299522	0.0293365	1.0	False	True
10077								TSPAN32	Tspan32	27027	0.18424	0.18424	0.0190789	1.0	False	True
10078	TSSC4	Tssc4	56844	0.442738	0.442738	0.00139451	1.0								True	False
10083	USH1C	Ush1c	72088	2.06124	2.06124	0.00298381	1.0								True	False
10092	ARPC5	Arpc5	67771	0.421059	0.421059	2.81664e-05	1.0	ARPC5	Arpc5	67771	0.406817	0.406817	5.76826e-05	1.0	True	True
10093	ARPC4	Arpc4	68089	0.337858	0.337858	0.00196208	1.0								True	False
10094	ARPC3	Arpc3	56378	0.425724	0.425724	1.11042e-06	1.0	ARPC3	Arpc3	56378	0.343226	0.343226	0.000135684	1.0	True	True
10095	ARPC1B	Arpc1b	11867	0.37844	0.37844	0.00165398	1.0	ARPC1B	Arpc1b	11867	0.273425	0.273425	0.0303309	1.0	True	True
10096	ACTR3	Actr3	74117	0.412399	0.412399	9.24969e-08	1.0	ACTR3	Actr3	74117	0.289666	0.289666	0.000308565	1.0	True	True
10097	ACTR2	Actr2	66713	0.351503	0.351503	1.9174e-05	1.0	ACTR2	Actr2	66713	0.327379	0.327379	8.2736e-05	1.0	True	True
10098	TSPAN5	Tspan5	56224	0.372239	0.372239	0.00385214	1.0								True	False
100996928	FMC1-LUC7L2	Fmc1	66117	0.62651	0.62651	0.00552951	1.0								True	False
101059918								GOLGA8R	Golga2	99412	-0.516335	-0.516335	0.00812759	1.0	False	True
10106								CTDSP2	Ctdsp2	52468	-0.645848	-0.645848	0.000927784	1.0	False	True
101060301		Hnrnpc	15381	0.194915	0.194915	0.0302288	1.0								True	False
10109	ARPC2	Arpc2	76709	0.386534	0.386534	0.000219751	1.0	ARPC2	Arpc2	76709	0.383014	0.383014	0.000266364	1.0	True	True
10112								KIF20A	Kif20a	19348	-0.46274	-0.46274	0.00763722	1.0	False	True
10121								ACTR1A	Actr1a	54130	-0.251003	-0.251003	0.0185968	1.0	False	True
10124	ARL4A	Arl4a	11861	-0.400411	-0.400411	0.0457672	1.0	ARL4A	Arl4a	11861	-0.414572	-0.414572	0.0350968	1.0	True	True
10130	PDIA6	Pdia6	71853	0.536888	0.536888	4.19915e-06	1.0								True	False
10131	TRAP1	Trap1	68015	0.233137	0.233137	0.0125431	1.0								True	False
10133	OPTN	Optn	71648	-0.43657	-0.43657	8.46057e-05	1.0	OPTN	Optn	71648	-0.285545	-0.285545	0.0144119	1.0	True	True
10134	BCAP31	Bcap31	27061	0.232748	0.232748	0.0354392	1.0	BCAP31	Bcap31	27061	0.288003	0.288003	0.0070347	1.0	True	True
10135	NAMPT	Nampt	59027	0.351212	0.351212	0.000424627	1.0	NAMPT	Nampt	59027	0.296041	0.296041	0.00355631	1.0	True	True
10138	YAF2	Yaf2	67057	0.373908	0.373908	0.00122421	1.0								True	False
10140	TOB1	Tob1	22057	0.359262	0.359262	0.00648911	1.0								True	False
10147	SUGP2	Sugp2	234373	-0.392351	-0.392351	0.000111366	1.0								True	False
10150								MBNL2	Mbnl2	105559	0.235166	0.235166	0.0372757	1.0	False	True
10153								CEBPZ	Cebpz	12607	0.336	0.336	8.88775e-05	1.0	False	True
10155								TRIM28	Trim28	21849	-0.637053	-0.637053	5.74426e-05	1.0	False	True
10156								RASA4	Rasa4	54153	-0.454581	-0.454581	0.0112021	1.0	False	True
10158	PDZK1IP1	Pdzk1ip1	67182	-0.491235	-0.491235	0.0272959	1.0								True	False
10159	ATP6AP2	Atp6ap2	70495	0.225726	0.225726	0.0447528	1.0								True	False
10162	LPCAT3	Lpcat3	14792	-0.421528	-0.421528	0.00207177	1.0	LPCAT3	Lpcat3	14792	-0.569173	-0.569173	1.76951e-05	1.0	True	True
10163								WASF2	Wasf2	242687	-0.787623	-0.787623	0.000419771	1.0	False	True
10169	SERF2	Serf2	378702	0.648706	0.648706	1.89971e-05	1.0	SERF2	Serf2	378702	0.379876	0.379876	0.0201272	1.0	True	True
1017								CDK2	Cdk2	12566	-0.409037	-0.409037	1.98777e-06	1.0	False	True
10170								DHRS9	Dhrs9	241452	0.762033	0.762033	0.0052317	1.0	False	True
10175								CNIH1	Cnih1	12793	0.281757	0.281757	0.0160131	1.0	False	True
10179	RBM7	Rbm7	67010	0.391019	0.391019	0.00085546	1.0								True	False
10180	RBM6	Rbm6	19654	-0.356974	-0.356974	0.00710228	1.0								True	False
10184								LHFPL2	Lhfpl2	218454	0.400392	0.400392	0.00375314	1.0	False	True
10188	TNK2	Tnk2	51789	-0.454734	-0.454734	0.0396006	1.0	TNK2	Tnk2	51789	-1.0595	-1.0595	1.349e-07	1.0	True	True
1019	CDK4	Cdk4	12567	0.291303	0.291303	0.0463571	1.0	CDK4	Cdk4	12567	0.292673	0.292673	0.0442043	1.0	True	True
101928527	PIGBOS1	Pigbos1	66364	0.428391	0.428391	0.00456899	1.0								True	False
101928991	CCDC92B	Ccdc92b	432582	-0.748661	-0.748661	0.00382382	1.0	CCDC92B	Ccdc92b	432582	-1.21666	-1.21666	7.92641e-07	1.0	True	True
10195								ALG3	Alg3	208624	-0.815774	-0.815774	0.00322214	1.0	False	True
10198	MPHOSPH9	Mphosph9	269702	-0.392478	-0.392478	0.000680193	1.0	MPHOSPH9	Mphosph9	269702	-0.276271	-0.276271	0.0213269	1.0	True	True
10199	MPHOSPH10	Mphosph10	67973	0.492774	0.492774	0.000166979	1.0	MPHOSPH10	Mphosph10	67973	0.408473	0.408473	0.00196132	1.0	True	True
102	ADAM10	Adam10	11487	-0.357939	-0.357939	0.0011206	1.0	ADAM10	Adam10	11487	-0.375088	-0.375088	0.000576414	1.0	True	True
10201	NME6	Nme6	54369	0.342286	0.342286	0.0246819	1.0	NME6	Nme6	54369	0.368713	0.368713	0.0106412	1.0	True	True
10203								CALCRL	Calcrl	54598	0.276373	0.276373	0.0445443	1.0	False	True
10204								NUTF2	Nutf2-ps1	100043462	0.970601	0.6189475	0.00829394	2.0	False	True
10206	TRIM13	Trim13	66597	0.613035	0.613035	0.00913957	1.0								True	False
10211	FLOT1	Flot1	14251	0.422173	0.422173	0.00115698	1.0								True	False
10213	PSMD14	Psmd14	59029	0.274834	0.274834	0.0262202	1.0	PSMD14	Psmd14	59029	0.31453	0.31453	0.00840572	1.0	True	True
10221								TRIB1	Trib1	211770	0.614063	0.614063	0.0264862	1.0	False	True
10226	PLIN3	Plin3	66905	0.402021	0.402021	0.020565	1.0								True	False
102288414								C11orf98	1810009A15Rik	66276	0.419197	0.419197	0.0246509	1.0	False	True
10236								HNRNPR	Hnrnpr	74326	-0.303357	-0.303357	0.0371423	1.0	False	True
10238								DCAF7	Dcaf7	71833	-0.426498	-0.426498	0.0181112	1.0	False	True
1024	CDK8	Cdk8	264064	-0.354132	-0.354132	0.0104215	1.0	CDK8	Cdk8	264064	-0.343931	-0.343931	0.0119687	1.0	True	True
10240	MRPS31	Mrps31	57312	0.493845	0.493845	0.000751614	1.0								True	False
10247	RIDA	Rida	15473	0.432315	0.432315	0.0255728	1.0								True	False
10250	SRRM1	Srrm1	51796	-0.388664	-0.388664	0.00815437	1.0	SRRM1	Srrm1	51796	-0.549315	-0.549315	8.88775e-05	1.0	True	True
10260	DENND4A	Dennd4a	102442	-0.477501	-0.477501	0.00437138	1.0								True	False
10261	IGSF6	Igsf6	80719	0.25714	0.25714	0.0237366	1.0	IGSF6	Igsf6	80719	0.530897	0.530897	2.59202e-07	1.0	True	True
10262								SF3B4	Sf3b4	107701	-0.900625	-0.900625	0.00378789	1.0	False	True
10263	CDK2AP2	Cdk2ap2	52004	0.470299	0.470299	0.00047421	1.0	CDK2AP2	Cdk2ap2	52004	0.304116	0.304116	0.0344792	1.0	True	True
10267	RAMP1	Ramp1	51801	0.39002	0.39002	0.00376712	1.0	RAMP1	Ramp1	51801	0.33972	0.33972	0.0123541	1.0	True	True
10269	ZMPSTE24	Zmpste24	230709	0.350899	0.350899	0.012535	1.0								True	False
10270	AKAP8	Akap8	56399	-0.226802	-0.226802	0.0298365	1.0								True	False
102723169									Ighv1-55	780932	-1.39799	-1.312135	0.00187294	2.0	False	True
102725541		Eldr	72735	-0.558014	-0.558014	0.00342125	1.0		Eldr	72735	-0.41403	-0.41403	0.0280564	1.0	True	True
10276	NET1	Net1	56349	-0.492194	-0.492194	0.000127074	1.0								True	False
10282	BET1	Bet1	12068	0.575346	0.575346	0.000319796	1.0								True	False
10284								SAP18	Sap18b	100041953	0.546006	0.546006	0.0182743	1.0	False	True
10287	RGS19	Rgs19	56470	0.410092	0.410092	0.000296322	1.0	RGS19	Rgs19	56470	0.309651	0.309651	0.00903777	1.0	True	True
10289								EIF1B	Eif1b	68969	0.303684	0.303684	0.0102133	1.0	False	True
10290	SPEG	Speg	11790	-1.0772	-1.0772	0.0119935	1.0								True	False
10291	SF3A1	Sf3a1	67465	-0.310239	-0.310239	0.0285242	1.0	SF3A1	Sf3a1	67465	-0.527625	-0.527625	9.55443e-05	1.0	True	True
10294								DNAJA2	Dnaja2	56445	0.223051	0.223051	0.0218643	1.0	False	True
10296	MAEA	Maea	59003	0.276617	0.276617	0.048825	1.0								True	False
10298								PAK4	Pak4	70584	-0.44513	-0.44513	0.00311757	1.0	False	True
10299								MARCHF6	Marchf6	223455	-0.300877	-0.300877	0.00979241	1.0	False	True
103								ADAR	Adar	56417	-0.356915	-0.356915	0.0152809	1.0	False	True
10302	SNAPC5	Snapc5	330959	0.399175	0.399175	0.00109925	1.0	SNAPC5	Snapc5	330959	0.618755	0.618755	3.21946e-08	1.0	True	True
1031								CDKN2C	Cdkn2c	12580	-0.454173	-0.454173	5.41287e-05	1.0	False	True
10311	VPS26C	Vps26c	13185	0.375478	0.375478	0.00211053	1.0	VPS26C	Vps26c	13185	0.315417	0.315417	0.0115429	1.0	True	True
10318								TNIP1	Tnip1	57783	-0.421219	-0.421219	0.0349118	1.0	False	True
10326	SIRPB1	Gm5150	381484	0.69179	0.63532	6.0848e-06	4.0	SIRPB1	Gm5150	381484	0.452815	0.4210575	0.00434209	2.0	True	True
10327	AKR1A1	Akr1a1	58810	0.39467	0.39467	4.97009e-05	1.0	AKR1A1	Akr1a1	58810	0.38835	0.38835	6.85856e-05	1.0	True	True
10329								RXYLT1	Rxylt1	216395	0.477876	0.477876	0.0499909	1.0	False	True
10330	CNPY2	Cnpy2	56530	0.36793	0.36793	0.0205582	1.0	CNPY2	Cnpy2	56530	0.460836	0.460836	0.00235239	1.0	True	True
10331	B3GNT3	B3gnt3	72297	-1.26093	-1.26093	7.2967e-08	1.0	B3GNT3	B3gnt3	72297	-1.1886	-1.1886	5.69512e-07	1.0	True	True
10332								CLEC4M	Cd209f	69142	-1.15946	-1.15946	0.0292939	1.0	False	True
10333								TLR6	Tlr6	21899	0.643738	0.643738	0.00276414	1.0	False	True
10335	IRAG1	Irag1	17540	-0.667386	-0.667386	0.0459288	1.0								True	False
10347								ABCA7	Abca7	27403	-0.754756	-0.754756	1.48931e-05	1.0	False	True
10351	ABCA8	Abca8a	217258	-1.70258	-1.70258	0.0166793	1.0								True	False
10360	NPM3	Npm3	18150	0.514111	0.514111	0.0124185	1.0	NPM3	Npm3	18150	0.445294	0.445294	0.0336854	1.0	True	True
10362								HMG20B	Hmg20b	15353	-0.323977	-0.323977	0.0270041	1.0	False	True
10383								TUBB4B	Tubb4b	227613	-0.33065	-0.33065	0.0308035	1.0	False	True
10390	CEPT1	Cept1	99712	0.551699	0.551699	6.82921e-09	1.0	CEPT1	Cept1	99712	0.4161	0.4161	1.99158e-05	1.0	True	True
103910	MYL12B	Myl12b	67938	0.353128	0.353128	0.0130294	1.0	MYL12B	Myl12b	67938	0.356878	0.356878	0.0119008	1.0	True	True
10394	PRG3	Prg3	53856	0.776353	0.776353	0.0112412	1.0								True	False
10396	ATP8A1	Atp8a1	11980	-0.444926	-0.444926	0.00119969	1.0								True	False
10397								NDRG1	Ndrg1	17988	-0.46937	-0.46937	0.041308	1.0	False	True
10399	RACK1	Rack1	14694	0.419433	0.419433	0.0149891	1.0								True	False
104	ADARB1	Adarb1	110532	-1.03575	-1.03575	0.0416765	1.0								True	False
10403	NDC80	Ndc80	67052	-0.316953	-0.316953	0.0169391	1.0								True	False
10410	IFITM3	Ifitm2	80876	0.618172	0.5506863333333333	9.74368e-06	3.0	IFITM3	Ifitm6	213002	0.360829	0.360829	0.000395653	1.0	True	True
10412								NSA2	Nsa2	59050	0.304567	0.304567	0.0198744	1.0	False	True
10418								SPON1	Spon1	233744	-0.907793	-0.907793	0.0155008	1.0	False	True
10420	TESK2	Tesk2	230661	0.280223	0.280223	0.0224013	1.0	TESK2	Tesk2	230661	0.373455	0.373455	0.00161367	1.0	True	True
10422	UBAC1	Ubac1	98766	-0.589466	-0.589466	0.000260508	1.0	UBAC1	Ubac1	98766	-0.598978	-0.598978	0.000190652	1.0	True	True
10424								PGRMC2	Pgrmc2	70804	-0.507897	-0.507897	8.88775e-05	1.0	False	True
10426								TUBGCP3	Tubgcp3	259279	-0.256814	-0.256814	0.0344835	1.0	False	True
10428	CFDP1	Cfdp1	23837	0.364497	0.364497	0.0101765	1.0	CFDP1	Cfdp1	23837	0.579277	0.579277	9.2253e-06	1.0	True	True
1043	CD52	Cd52	23833	0.799658	0.799658	5.08769e-17	1.0	CD52	Cd52	23833	0.478366	0.478366	2.05699e-06	1.0	True	True
10432								RBM14	Rbm14	56275	-0.75811	-0.75811	1.03333e-05	1.0	False	True
10434	LYPLA1	Lypla1	18777	0.296739	0.296739	0.0199046	1.0	LYPLA1	Lypla1	18777	0.401965	0.401965	0.000835873	1.0	True	True
10444								ZER1	Zer1	227693	-0.421299	-0.421299	0.0259946	1.0	False	True
10449	ACAA2	Acaa2	52538	0.55345	0.55345	0.00140232	1.0								True	False
10450	PPIE	Ppie	56031	0.501723	0.501723	0.000549734	1.0								True	False
10451	VAV3	Vav3	57257	0.263067	0.263067	0.0328925	1.0	VAV3	Vav3	57257	0.314389	0.314389	0.00889483	1.0	True	True
10454								TAB1	Tab1	66513	-0.378224	-0.378224	0.00494214	1.0	False	True
10456	HAX1	Hax1	23897	0.309173	0.309173	0.0299116	1.0	HAX1	Hax1	23897	0.290487	0.290487	0.0410477	1.0	True	True
10460								TACC3	Tacc3	21335	-0.265342	-0.265342	0.0498157	1.0	False	True
10462	CLEC10A	Mgl2	216864	0.593205	0.593205	0.00215457	1.0								True	False
10463	SLC30A9	Slc30a9	109108	-0.468599	-0.468599	0.00306154	1.0	SLC30A9	Slc30a9	109108	-0.413224	-0.413224	0.009748	1.0	True	True
10466								COG5	Cog5	238123	0.228384	0.228384	0.0378355	1.0	False	True
10467	ZNHIT1	Znhit1	70103	0.430609	0.430609	1.12797e-05	1.0	ZNHIT1	Znhit1	70103	0.437359	0.437359	6.57197e-06	1.0	True	True
10469								TIMM44	Timm44	21856	0.306164	0.306164	0.0160186	1.0	False	True
10476	ATP5PD	Atp5pd	71679	0.569921	0.569921	0.000168928	1.0	ATP5PD	Atp5pd	71679	0.331339	0.331339	0.0432896	1.0	True	True
10477								UBE2E3	Ube2e3	22193	-0.26514	-0.26514	0.0200494	1.0	False	True
10480	EIF3M	Eif3m	98221	0.456939	0.456939	0.00751675	1.0								True	False
10482								NXF1	Nxf1	53319	-0.38009	-0.38009	0.000377027	1.0	False	True
10487	CAP1	Cap1	12331	0.319459	0.319459	0.0377549	1.0								True	False
10488	CREB3	Creb3	12913	0.416485	0.416485	0.00809665	1.0								True	False
10490	VTI1B	Vti1b	53612	0.57483	0.57483	0.000182852	1.0	VTI1B	Vti1b	53612	0.470375	0.470375	0.00251304	1.0	True	True
10498	CARM1	Carm1	59035	-0.566917	-0.566917	0.000219514	1.0	CARM1	Carm1	59035	-0.835793	-0.835793	2.45645e-08	1.0	True	True
1050	CEBPA	Cebpa	12606	0.34656	0.34656	0.0448567	1.0								True	False
10509	SEMA4B	Sema4b	20352	-0.632215	-0.632215	2.02645e-08	1.0	SEMA4B	Sema4b	20352	-0.779801	-0.779801	6.42128e-12	1.0	True	True
10516								FBLN5	Fbln5	23876	-0.88758	-0.88758	0.0214367	1.0	False	True
10518	CIB2	Cib2	56506	0.663291	0.663291	3.02108e-05	1.0								True	False
1052	CEBPD	Cebpd	12609	0.733251	0.733251	4.03266e-08	1.0	CEBPD	Cebpd	12609	0.323598	0.323598	0.0294549	1.0	True	True
10521	DDX17	Ddx17	67040	-0.256923	-0.256923	0.0438511	1.0	DDX17	Ddx17	67040	-0.329867	-0.329867	0.00699215	1.0	True	True
10522								DEAF1	Deaf1	54006	-0.393609	-0.393609	0.00181263	1.0	False	True
10523								CHERP	Cherp	27967	-0.669155	-0.669155	0.00281948	1.0	False	True
1053	CEBPE	Cebpe	110794	0.593251	0.593251	6.28046e-06	1.0								True	False
10531	PITRM1	Pitrm1	69617	-0.387941	-0.387941	0.00525642	1.0	PITRM1	Pitrm1	69617	-0.329891	-0.329891	0.0210012	1.0	True	True
10534	ZNRD2	Znrd2	56390	0.416394	0.416394	0.0269017	1.0								True	False
105371242		Ppia	268373	0.520572	0.520572	3.99579e-06	1.0		Ppia	268373	0.479494	0.479494	2.59789e-05	1.0	True	True
105375795		Ly6g	546644	0.725589	0.6374575	5.84091e-11	2.0		Ly6g	546644	0.500605	0.3870675	1.04998e-05	2.0	True	True
10538	BATF	Batf	53314	0.62798	0.62798	0.000665441	1.0	BATF	Batf	53314	0.530164	0.530164	0.00384596	1.0	True	True
10539	GLRX3	Glrx3	30926	0.510581	0.510581	0.000772848	1.0	GLRX3	Glrx3	30926	0.372791	0.372791	0.0182918	1.0	True	True
10542	LAMTOR5	Lamtor5	68576	0.365639	0.365639	0.03321	1.0								True	False
10548								TM9SF1	Tm9sf1	74140	-0.451196	-0.451196	0.000125676	1.0	False	True
10549	PRDX4	Prdx4	53381	0.49632	0.49632	0.000724266	1.0								True	False
10550	ARL6IP5	Arl6ip5	65106	0.277058	0.277058	0.0170395	1.0	ARL6IP5	Arl6ip5	65106	0.310712	0.310712	0.00621386	1.0	True	True
10554								AGPAT1	Agpat1	55979	-0.530466	-0.530466	0.0060971	1.0	False	True
10555	AGPAT2	Agpat2	67512	0.548176	0.548176	1.09251e-05	1.0	AGPAT2	Agpat2	67512	0.446058	0.446058	0.000499247	1.0	True	True
10557								RPP38	Rpp38	227522	0.444608	0.444608	0.033168	1.0	False	True
10561	IFI44	Ifi44	99899	-1.04106	-1.04106	0.0273704	1.0								True	False
10562	OLFM4	Olfm4	380924	0.593619	0.593619	0.00129677	1.0	OLFM4	Olfm4	380924	0.539188	0.539188	0.00393254	1.0	True	True
10565								ARFGEF1	Arfgef1	211673	0.26109	0.26109	0.0285966	1.0	False	True
10567	RABAC1	Rabac1	14470	0.833492	0.833492	6.42836e-05	1.0								True	False
10574	CCT7	Cct7	12468	0.254516	0.254516	0.0198433	1.0								True	False
10575								CCT4	Cct4	12464	0.255084	0.255084	0.0341819	1.0	False	True
10580	SORBS1	Sorbs1	20411	-0.779257	-0.779257	2.89722e-05	1.0	SORBS1	Sorbs1	20411	-0.74454	-0.74454	5.86726e-05	1.0	True	True
10581	IFITM2	Ifitm2	80876	0.618172	0.5291255	9.74368e-06	2.0								True	False
10587	TXNRD2	Txnrd2	26462	-0.450616	-0.450616	0.0152179	1.0	TXNRD2	Txnrd2	26462	-0.462535	-0.462535	0.011787	1.0	True	True
10588	MTHFS	Mthfsl	100039707	0.620885	0.5261155	1.55396e-06	2.0	MTHFS	Mthfs	107885	0.323239	0.323239	0.00788725	1.0	True	True
