category,K,k,n,N,expected,fold,p,fdr,family,signature,label
http://purl.obolibrary.org/obo/GO_0030336,86,24,1010,7663,11.33,2.12,0.0002112045220236,0.0144649500778971,GO_BP,all,negative regulation of cell migration
http://purl.obolibrary.org/obo/GO_0006805,76,22,1010,7663,10.02,2.2,0.0002161098119207,0.0144649500778971,GO_BP,all,xenobiotic metabolic process
http://purl.obolibrary.org/obo/GO_0060078,35,13,1010,7663,4.61,2.82,0.0002990471836175,0.0167459019961929,GO_BP,all,regulation of postsynaptic membrane potential
http://purl.obolibrary.org/obo/GO_0071395,4,4,1010,7663,0.53,7.59,0.0003002253345931,0.0167459019961929,GO_BP,all,cellular response to jasmonic acid stimulus
http://purl.obolibrary.org/obo/GO_0051917,4,4,1010,7663,0.53,7.59,0.0003002253345931,0.0167459019961929,GO_BP,all,regulation of fibrinolysis
http://purl.obolibrary.org/obo/GO_0001503,49,16,1010,7663,6.46,2.48,0.0003487130634023,0.018426732402947,GO_BP,all,ossification
http://purl.obolibrary.org/obo/GO_0031667,46,15,1010,7663,6.06,2.47,0.0005391114917114,0.0269191687155133,GO_BP,all,response to nutrient levels
http://purl.obolibrary.org/obo/GO_0095500,13,7,1010,7663,1.71,4.09,0.0005630503416591,0.0269191687155133,GO_BP,all,acetylcholine receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0051384,33,12,1010,7663,4.35,2.76,0.000636998153456,0.0271438961814593,GO_BP,all,response to glucocorticoid
http://purl.obolibrary.org/obo/GO_0099509,7,5,1010,7663,0.92,5.42,0.0006571665904742,0.0271438961814593,GO_BP,all,regulation of presynaptic cytosolic calcium ion concentration
http://purl.obolibrary.org/obo/GO_0006631,114,28,1010,7663,15.03,1.86,0.0006651945806217,0.0271438961814593,GO_BP,all,fatty acid metabolic process
http://purl.obolibrary.org/obo/GO_0001916,10,6,1010,7663,1.32,4.55,0.0006758938292196,0.0271438961814593,GO_BP,all,positive regulation of T cell mediated cytotoxicity
http://purl.obolibrary.org/obo/GO_0006094,29,11,1010,7663,3.82,2.88,0.0007072264996856,0.027309823295552,GO_BP,all,gluconeogenesis
http://purl.obolibrary.org/obo/GO_0051591,21,9,1010,7663,2.77,3.25,0.000770026787176,0.0286335886786959,GO_BP,all,response to cAMP
http://purl.obolibrary.org/obo/GO_0042157,14,7,1010,7663,1.85,3.79,0.000998608133929,0.0345725022918893,GO_BP,all,lipoprotein metabolic process
http://purl.obolibrary.org/obo/GO_0014850,14,7,1010,7663,1.85,3.79,0.000998608133929,0.0345725022918893,GO_BP,all,response to muscle activity
http://purl.obolibrary.org/obo/GO_0009636,49,15,1010,7663,6.46,2.32,0.001132241761533,0.0373196780921871,GO_BP,all,response to toxic substance
http://purl.obolibrary.org/obo/GO_0046627,22,9,1010,7663,2.9,3.1,0.0011523008175874,0.0373196780921871,GO_BP,all,negative regulation of insulin receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0008285,188,40,1010,7663,24.78,1.61,0.0012392067101521,0.0388801105310241,GO_BP,all,negative regulation of cell population proliferation
http://purl.obolibrary.org/obo/GO_0032026,11,6,1010,7663,1.45,4.14,0.0013215974789612,0.0398092342271204,GO_BP,all,response to magnesium ion
http://purl.obolibrary.org/obo/GO_0019882,31,11,1010,7663,4.09,2.69,0.0013481214778108,0.0398092342271204,GO_BP,all,antigen processing and presentation
http://purl.obolibrary.org/obo/GO_0032355,60,17,1010,7663,7.91,2.15,0.0014262606587476,0.0409133057537893,GO_BP,all,response to estradiol
http://purl.obolibrary.org/obo/GO_0007422,8,5,1010,7663,1.05,4.74,0.0015621113533276,0.0435655499650268,GO_BP,all,peripheral nervous system development
http://purl.obolibrary.org/obo/GO_0006814,87,22,1010,7663,11.47,1.92,0.0016212926650779,0.043993995560494,GO_BP,all,sodium ion transport
http://purl.obolibrary.org/obo/GO_0042542,23,9,1010,7663,3.03,2.97,0.0016743210314944,0.0442373240952756,GO_BP,all,response to hydrogen peroxide
http://purl.obolibrary.org/obo/GO_0043434,32,11,1010,7663,4.22,2.61,0.0018134395867548,0.0466844447462023,GO_BP,all,response to peptide hormone
http://purl.obolibrary.org/obo/GO_0030198,37,12,1010,7663,4.88,2.46,0.0020121643339995,0.0467933641496278,GO_BP,all,extracellular matrix organization
http://purl.obolibrary.org/obo/GO_0043627,28,10,1010,7663,3.69,2.71,0.0020986912680629,0.0467933641496278,GO_BP,all,response to estrogen
http://purl.obolibrary.org/obo/GO_0006953,28,10,1010,7663,3.69,2.71,0.0020986912680629,0.0467933641496278,GO_BP,all,acute-phase response
http://purl.obolibrary.org/obo/GO_0120162,62,17,1010,7663,8.17,2.08,0.0021090969881064,0.0467933641496278,GO_BP,all,positive regulation of cold-induced thermogenesis
http://purl.obolibrary.org/obo/GO_0032869,57,16,1010,7663,7.51,2.13,0.0021681603074165,0.0467933641496278,GO_BP,all,cellular response to insulin stimulus
http://purl.obolibrary.org/obo/GO_0036005,3,3,1010,7663,0.4,7.59,0.0022837398837965,0.0467933641496278,GO_BP,all,response to macrophage colony-stimulating factor
http://purl.obolibrary.org/obo/GO_0015671,3,3,1010,7663,0.4,7.59,0.0022837398837965,0.0467933641496278,GO_BP,all,oxygen transport
http://purl.obolibrary.org/obo/GO_0060068,3,3,1010,7663,0.4,7.59,0.0022837398837965,0.0467933641496278,GO_BP,all,vagina development
http://purl.obolibrary.org/obo/GO_0072221,3,3,1010,7663,0.4,7.59,0.0022837398837965,0.0467933641496278,GO_BP,all,metanephric distal convoluted tubule development
http://purl.obolibrary.org/obo/GO_0002486,3,3,1010,7663,0.4,7.59,0.0022837398837965,0.0467933641496278,GO_BP,all,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent"
http://purl.obolibrary.org/obo/GO_0071383,12,6,1010,7663,1.58,3.79,0.0023500653413568,0.0471893120544461,GO_BP,all,cellular response to steroid hormone stimulus
http://purl.obolibrary.org/obo/GO_0006693,20,8,1010,7663,2.64,3.03,0.0025748645319364,0.0506894900012585,GO_BP,all,prostaglandin metabolic process
http://purl.obolibrary.org/obo/GO_0009612,43,13,1010,7663,5.67,2.29,0.0026964295486356,0.0520618320544274,GO_BP,all,response to mechanical stimulus
http://purl.obolibrary.org/obo/GO_0055085,278,53,1010,7663,36.64,1.45,0.003064714512955,0.0561950701378562,GO_BP,all,transmembrane transport
http://purl.obolibrary.org/obo/GO_0050873,9,5,1010,7663,1.19,4.22,0.0031343863821911,0.0561950701378562,GO_BP,all,brown fat cell differentiation
http://purl.obolibrary.org/obo/GO_0006000,9,5,1010,7663,1.19,4.22,0.0031343863821911,0.0561950701378562,GO_BP,all,fructose metabolic process
http://purl.obolibrary.org/obo/GO_0086004,9,5,1010,7663,1.19,4.22,0.0031343863821911,0.0561950701378562,GO_BP,all,regulation of cardiac muscle cell contraction
http://purl.obolibrary.org/obo/GO_0042448,6,4,1010,7663,0.79,5.06,0.0036087103725272,0.0635639511231111,GO_BP,all,progesterone metabolic process
http://purl.obolibrary.org/obo/GO_0002474,13,6,1010,7663,1.71,3.5,0.0038817924839549,0.0660562653201823,GO_BP,all,antigen processing and presentation of peptide antigen via MHC class I
http://purl.obolibrary.org/obo/GO_0050995,13,6,1010,7663,1.71,3.5,0.0038817924839549,0.0660562653201823,GO_BP,all,negative regulation of lipid catabolic process
http://purl.obolibrary.org/obo/GO_0032868,36,11,1010,7663,4.74,2.32,0.005136793180774,0.0847168248915052,GO_BP,all,response to insulin
http://purl.obolibrary.org/obo/GO_0002523,10,5,1010,7663,1.32,3.79,0.0055928789351627,0.0847168248915052,GO_BP,all,leukocyte migration involved in inflammatory response
http://purl.obolibrary.org/obo/GO_0015813,10,5,1010,7663,1.32,3.79,0.0055928789351627,0.0847168248915052,GO_BP,all,L-glutamate transmembrane transport
http://purl.obolibrary.org/obo/GO_0009410,149,31,1010,7663,19.64,1.58,0.0059126605953711,0.0847168248915052,GO_BP,all,response to xenobiotic stimulus
http://purl.obolibrary.org/obo/GO_0002504,14,6,1010,7663,1.85,3.25,0.0060441807464743,0.0847168248915052,GO_BP,all,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
http://purl.obolibrary.org/obo/GO_0006629,453,78,1010,7663,59.71,1.31,0.006692488017806,0.0847168248915052,GO_BP,all,lipid metabolic process
http://purl.obolibrary.org/obo/GO_0042220,23,8,1010,7663,3.03,2.64,0.0069777754960962,0.0847168248915052,GO_BP,all,response to cocaine
http://purl.obolibrary.org/obo/GO_0032496,75,18,1010,7663,9.89,1.82,0.0074508264101341,0.0847168248915052,GO_BP,all,response to lipopolysaccharide
http://purl.obolibrary.org/obo/GO_0044598,7,4,1010,7663,0.92,4.34,0.0075441020819311,0.0847168248915052,GO_BP,all,doxorubicin metabolic process
http://purl.obolibrary.org/obo/GO_0071467,7,4,1010,7663,0.92,4.34,0.0075441020819311,0.0847168248915052,GO_BP,all,cellular response to pH
http://purl.obolibrary.org/obo/GO_0030003,7,4,1010,7663,0.92,4.34,0.0075441020819311,0.0847168248915052,GO_BP,all,intracellular monoatomic cation homeostasis
http://purl.obolibrary.org/obo/GO_0071492,7,4,1010,7663,0.92,4.34,0.0075441020819311,0.0847168248915052,GO_BP,all,cellular response to UV-A
http://purl.obolibrary.org/obo/GO_0002159,7,4,1010,7663,0.92,4.34,0.0075441020819311,0.0847168248915052,GO_BP,all,desmosome assembly
http://purl.obolibrary.org/obo/GO_0030212,7,4,1010,7663,0.92,4.34,0.0075441020819311,0.0847168248915052,GO_BP,all,hyaluronan metabolic process
http://purl.obolibrary.org/obo/GO_0071880,7,4,1010,7663,0.92,4.34,0.0075441020819311,0.0847168248915052,GO_BP,all,adenylate cyclase-activating adrenergic receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0044597,7,4,1010,7663,0.92,4.34,0.0075441020819311,0.0847168248915052,GO_BP,all,daunorubicin metabolic process
http://purl.obolibrary.org/obo/GO_0051549,7,4,1010,7663,0.92,4.34,0.0075441020819311,0.0847168248915052,GO_BP,all,positive regulation of keratinocyte migration
http://purl.obolibrary.org/obo/GO_0042574,7,4,1010,7663,0.92,4.34,0.0075441020819311,0.0847168248915052,GO_BP,all,retinal metabolic process
http://purl.obolibrary.org/obo/GO_0032526,28,9,1010,7663,3.69,2.44,0.0076845966818918,0.0847168248915052,GO_BP,all,response to retinoic acid
http://purl.obolibrary.org/obo/GO_0071805,81,19,1010,7663,10.68,1.78,0.0078570410103087,0.0847168248915052,GO_BP,all,potassium ion transmembrane transport
http://purl.obolibrary.org/obo/GO_0007186,396,69,1010,7663,52.19,1.32,0.0079387675993362,0.0847168248915052,GO_BP,all,G protein-coupled receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0071466,33,10,1010,7663,4.35,2.3,0.0079980177764205,0.0847168248915052,GO_BP,all,cellular response to xenobiotic stimulus
http://purl.obolibrary.org/obo/GO_0022617,33,10,1010,7663,4.35,2.3,0.0079980177764205,0.0847168248915052,GO_BP,all,extracellular matrix disassembly
http://purl.obolibrary.org/obo/GO_1902895,38,11,1010,7663,5.01,2.2,0.0080330095233314,0.0847168248915052,GO_BP,all,positive regulation of miRNA transcription
http://purl.obolibrary.org/obo/GO_0044344,19,7,1010,7663,2.5,2.8,0.0080761107465738,0.0847168248915052,GO_BP,all,cellular response to fibroblast growth factor stimulus
http://purl.obolibrary.org/obo/GO_0035235,19,7,1010,7663,2.5,2.8,0.0080761107465738,0.0847168248915052,GO_BP,all,ionotropic glutamate receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0036120,19,7,1010,7663,2.5,2.8,0.0080761107465738,0.0847168248915052,GO_BP,all,cellular response to platelet-derived growth factor stimulus
http://purl.obolibrary.org/obo/GO_0097241,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,hematopoietic stem cell migration to bone marrow
http://purl.obolibrary.org/obo/GO_0010827,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,regulation of D-glucose transmembrane transport
http://purl.obolibrary.org/obo/GO_0071286,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,cellular response to magnesium ion
http://purl.obolibrary.org/obo/GO_0042360,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,vitamin E metabolic process
http://purl.obolibrary.org/obo/GO_0046322,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,negative regulation of fatty acid oxidation
http://purl.obolibrary.org/obo/GO_0045926,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,negative regulation of growth
http://purl.obolibrary.org/obo/GO_0007602,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,phototransduction
http://purl.obolibrary.org/obo/GO_0030388,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,"fructose 1,6-bisphosphate metabolic process"
http://purl.obolibrary.org/obo/GO_0086073,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,bundle of His cell-Purkinje myocyte adhesion involved in cell communication
http://purl.obolibrary.org/obo/GO_0045110,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,intermediate filament bundle assembly
http://purl.obolibrary.org/obo/GO_0042423,4,3,1010,7663,0.53,5.69,0.008234283531407,0.0847168248915052,GO_BP,all,catecholamine biosynthetic process
http://purl.obolibrary.org/obo/GO_0001501,54,14,1010,7663,7.12,1.97,0.0086144698454349,0.0847168248915052,GO_BP,all,skeletal system development
http://purl.obolibrary.org/obo/GO_2000353,15,6,1010,7663,1.98,3.03,0.0089663779844891,0.0847168248915052,GO_BP,all,positive regulation of endothelial cell apoptotic process
http://purl.obolibrary.org/obo/GO_0006826,15,6,1010,7663,1.98,3.03,0.0089663779844891,0.0847168248915052,GO_BP,all,iron ion transport
http://purl.obolibrary.org/obo/GO_0033280,15,6,1010,7663,1.98,3.03,0.0089663779844891,0.0847168248915052,GO_BP,all,response to vitamin D
http://purl.obolibrary.org/obo/GO_0019228,15,6,1010,7663,1.98,3.03,0.0089663779844891,0.0847168248915052,GO_BP,all,neuronal action potential
http://purl.obolibrary.org/obo/GO_0010812,11,5,1010,7663,1.45,3.45,0.009152280148664,0.0847168248915052,GO_BP,all,negative regulation of cell-substrate adhesion
http://purl.obolibrary.org/obo/GO_0030007,11,5,1010,7663,1.45,3.45,0.009152280148664,0.0847168248915052,GO_BP,all,intracellular potassium ion homeostasis
http://purl.obolibrary.org/obo/GO_0045214,11,5,1010,7663,1.45,3.45,0.009152280148664,0.0847168248915052,GO_BP,all,sarcomere organization
http://purl.obolibrary.org/obo/GO_0050927,11,5,1010,7663,1.45,3.45,0.009152280148664,0.0847168248915052,GO_BP,all,positive regulation of positive chemotaxis
http://purl.obolibrary.org/obo/GO_0007157,24,8,1010,7663,3.16,2.53,0.0092817238426947,0.0847168248915052,GO_BP,all,heterophilic cell-cell adhesion
http://purl.obolibrary.org/obo/GO_0034097,24,8,1010,7663,3.16,2.53,0.0092817238426947,0.0847168248915052,GO_BP,all,response to cytokine
http://purl.obolibrary.org/obo/GO_0042130,24,8,1010,7663,3.16,2.53,0.0092817238426947,0.0847168248915052,GO_BP,all,negative regulation of T cell proliferation
http://purl.obolibrary.org/obo/GO_0001523,24,8,1010,7663,3.16,2.53,0.0092817238426947,0.0847168248915052,GO_BP,all,retinoid metabolic process
http://purl.obolibrary.org/obo/GO_0060079,39,11,1010,7663,5.14,2.14,0.0098895868973484,0.0880308388627647,GO_BP,all,excitatory postsynaptic potential
http://purl.obolibrary.org/obo/GO_0071363,39,11,1010,7663,5.14,2.14,0.0098895868973484,0.0880308388627647,GO_BP,all,cellular response to growth factor stimulus
http://purl.obolibrary.org/obo/GO_0007268,106,23,1010,7663,13.97,1.65,0.0099078533779804,0.0880308388627647,GO_BP,all,chemical synaptic transmission
http://purl.obolibrary.org/obo/GO_0019233,20,7,1010,7663,2.64,2.66,0.0110383202467632,0.0972146800679854,GO_BP,all,sensory perception of pain
http://purl.obolibrary.org/obo/GO_0007166,181,35,1010,7663,23.86,1.47,0.0116557111050669,0.1011536730124171,GO_BP,all,cell surface receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0006935,84,19,1010,7663,11.07,1.72,0.0116870777584067,0.1011536730124171,GO_BP,all,chemotaxis
http://purl.obolibrary.org/obo/GO_0030308,67,16,1010,7663,8.83,1.81,0.0118295896966617,0.1015120346619523,GO_BP,all,negative regulation of cell growth
http://purl.obolibrary.org/obo/GO_0007193,56,14,1010,7663,7.38,1.9,0.0119899542801212,0.1020162211630659,GO_BP,all,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0098609,102,22,1010,7663,13.44,1.64,0.0123219497442115,0.1030440374263464,GO_BP,all,cell-cell adhesion
http://purl.obolibrary.org/obo/GO_0048661,35,10,1010,7663,4.61,2.17,0.0124186539129361,0.1030440374263464,GO_BP,all,positive regulation of smooth muscle cell proliferation
http://purl.obolibrary.org/obo/GO_0000082,35,10,1010,7663,4.61,2.17,0.0124186539129361,0.1030440374263464,GO_BP,all,G1/S transition of mitotic cell cycle
http://purl.obolibrary.org/obo/GO_0045740,16,6,1010,7663,2.11,2.85,0.0127742516343395,0.1034302309748139,GO_BP,all,positive regulation of DNA replication
http://purl.obolibrary.org/obo/GO_0010460,16,6,1010,7663,2.11,2.85,0.0127742516343395,0.1034302309748139,GO_BP,all,positive regulation of heart rate
http://purl.obolibrary.org/obo/GO_0050901,16,6,1010,7663,2.11,2.85,0.0127742516343395,0.1034302309748139,GO_BP,all,leukocyte tethering or rolling
http://purl.obolibrary.org/obo/GO_0048738,8,4,1010,7663,1.05,3.79,0.0135260928105347,0.1034341840519881,GO_BP,all,cardiac muscle tissue development
http://purl.obolibrary.org/obo/GO_0060075,8,4,1010,7663,1.05,3.79,0.0135260928105347,0.1034341840519881,GO_BP,all,regulation of resting membrane potential
http://purl.obolibrary.org/obo/GO_0015871,8,4,1010,7663,1.05,3.79,0.0135260928105347,0.1034341840519881,GO_BP,all,choline transport
http://purl.obolibrary.org/obo/GO_0035860,8,4,1010,7663,1.05,3.79,0.0135260928105347,0.1034341840519881,GO_BP,all,glial cell-derived neurotrophic factor receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0035425,8,4,1010,7663,1.05,3.79,0.0135260928105347,0.1034341840519881,GO_BP,all,autocrine signaling
http://purl.obolibrary.org/obo/GO_0048844,8,4,1010,7663,1.05,3.79,0.0135260928105347,0.1034341840519881,GO_BP,all,artery morphogenesis
http://purl.obolibrary.org/obo/GO_0007601,68,16,1010,7663,8.96,1.79,0.0136349773988179,0.1034341840519881,GO_BP,all,visual perception
http://purl.obolibrary.org/obo/GO_0032787,12,5,1010,7663,1.58,3.16,0.0140110050110262,0.1034341840519881,GO_BP,all,monocarboxylic acid metabolic process
http://purl.obolibrary.org/obo/GO_0010996,12,5,1010,7663,1.58,3.16,0.0140110050110262,0.1034341840519881,GO_BP,all,response to auditory stimulus
http://purl.obolibrary.org/obo/GO_0042445,12,5,1010,7663,1.58,3.16,0.0140110050110262,0.1034341840519881,GO_BP,all,hormone metabolic process
http://purl.obolibrary.org/obo/GO_0046697,12,5,1010,7663,1.58,3.16,0.0140110050110262,0.1034341840519881,GO_BP,all,decidualization
http://purl.obolibrary.org/obo/GO_0071468,12,5,1010,7663,1.58,3.16,0.0140110050110262,0.1034341840519881,GO_BP,all,cellular response to acidic pH
http://purl.obolibrary.org/obo/GO_1903829,21,7,1010,7663,2.77,2.53,0.0147147134134812,0.1078362939206945,GO_BP,all,positive regulation of protein localization
http://purl.obolibrary.org/obo/GO_0007200,86,19,1010,7663,11.33,1.68,0.0149750523504066,0.1089489315928133,GO_BP,all,phospholipase C-activating G protein-coupled receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0070098,36,10,1010,7663,4.74,2.11,0.0152193695791523,0.1090345417086613,GO_BP,all,chemokine-mediated signaling pathway
http://purl.obolibrary.org/obo/GO_0007162,31,9,1010,7663,4.09,2.2,0.0155943132100195,0.1090345417086613,GO_BP,all,negative regulation of cell adhesion
http://purl.obolibrary.org/obo/GO_0001934,31,9,1010,7663,4.09,2.2,0.0155943132100195,0.1090345417086613,GO_BP,all,positive regulation of protein phosphorylation
http://purl.obolibrary.org/obo/GO_0030574,31,9,1010,7663,4.09,2.2,0.0155943132100195,0.1090345417086613,GO_BP,all,collagen catabolic process
http://purl.obolibrary.org/obo/GO_0150052,31,9,1010,7663,4.09,2.2,0.0155943132100195,0.1090345417086613,GO_BP,all,regulation of postsynapse assembly
http://purl.obolibrary.org/obo/GO_0150104,64,15,1010,7663,8.44,1.78,0.0172032863482442,0.1090345417086613,GO_BP,all,transport across blood-brain barrier
http://purl.obolibrary.org/obo/GO_0006836,42,11,1010,7663,5.54,1.99,0.0174617573115697,0.1090345417086613,GO_BP,all,neurotransmitter transport
http://purl.obolibrary.org/obo/GO_0030855,42,11,1010,7663,5.54,1.99,0.0174617573115697,0.1090345417086613,GO_BP,all,epithelial cell differentiation
http://purl.obolibrary.org/obo/GO_0045921,17,6,1010,7663,2.24,2.68,0.0175857793219092,0.1090345417086613,GO_BP,all,positive regulation of exocytosis
http://purl.obolibrary.org/obo/GO_0051602,17,6,1010,7663,2.24,2.68,0.0175857793219092,0.1090345417086613,GO_BP,all,response to electrical stimulus
http://purl.obolibrary.org/obo/GO_0019886,17,6,1010,7663,2.24,2.68,0.0175857793219092,0.1090345417086613,GO_BP,all,antigen processing and presentation of exogenous peptide antigen via MHC class II
http://purl.obolibrary.org/obo/GO_0048261,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,negative regulation of receptor-mediated endocytosis
http://purl.obolibrary.org/obo/GO_0032000,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,positive regulation of fatty acid beta-oxidation
http://purl.obolibrary.org/obo/GO_0042270,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,protection from natural killer cell mediated cytotoxicity
http://purl.obolibrary.org/obo/GO_0072126,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,positive regulation of glomerular mesangial cell proliferation
http://purl.obolibrary.org/obo/GO_0015670,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,carbon dioxide transport
http://purl.obolibrary.org/obo/GO_0044206,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,UMP salvage
http://purl.obolibrary.org/obo/GO_0010907,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,positive regulation of glucose metabolic process
http://purl.obolibrary.org/obo/GO_0010903,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,negative regulation of very-low-density lipoprotein particle remodeling
http://purl.obolibrary.org/obo/GO_0046321,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,positive regulation of fatty acid oxidation
http://purl.obolibrary.org/obo/GO_0009750,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,response to fructose
http://purl.obolibrary.org/obo/GO_0046320,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,regulation of fatty acid oxidation
http://purl.obolibrary.org/obo/GO_0046222,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,aflatoxin metabolic process
http://purl.obolibrary.org/obo/GO_0009266,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,response to temperature stimulus
http://purl.obolibrary.org/obo/GO_0015697,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,quaternary ammonium group transport
http://purl.obolibrary.org/obo/GO_0014012,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,peripheral nervous system axon regeneration
http://purl.obolibrary.org/obo/GO_0010897,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,negative regulation of triglyceride catabolic process
http://purl.obolibrary.org/obo/GO_0001823,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,mesonephros development
http://purl.obolibrary.org/obo/GO_0099641,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,anterograde axonal protein transport
http://purl.obolibrary.org/obo/GO_0006084,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,acetyl-CoA metabolic process
http://purl.obolibrary.org/obo/GO_1903979,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,negative regulation of microglial cell activation
http://purl.obolibrary.org/obo/GO_0002903,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,negative regulation of B cell apoptotic process
http://purl.obolibrary.org/obo/GO_0002933,5,3,1010,7663,0.66,4.55,0.0185706241356385,0.1090345417086613,GO_BP,all,lipid hydroxylation
http://purl.obolibrary.org/obo/GO_0006986,48,12,1010,7663,6.33,1.9,0.0192576124982855,0.1124107148155736,GO_BP,all,response to unfolded protein
http://purl.obolibrary.org/obo/GO_0009968,27,8,1010,7663,3.56,2.25,0.0195719672492593,0.1129325006796346,GO_BP,all,negative regulation of signal transduction
http://purl.obolibrary.org/obo/GO_0043491,27,8,1010,7663,3.56,2.25,0.0195719672492593,0.1129325006796346,GO_BP,all,phosphatidylinositol 3-kinase/protein kinase B signal transduction
