go	K	k	exp	fold	p	fdr	label	theme
GO:0002477	6	5	1.2	4.27	0.001413167353351	0.0215529389030389	antigen presentation via MHC class Ib	Immune / inflammatory
GO:0098901	4	4	0.8	5.13	0.0014439934252656	0.0215529389030389	reg. cardiac muscle action potential	Muscle (minor)
GO:0071395	4	4	0.8	5.13	0.0014439934252656	0.0215529389030389	cellular response to jasmonic acid	Other
GO:0010591	4	4	0.8	5.13	0.0014439934252656	0.0215529389030389	reg. of lamellipodium assembly	Metabolic / signaling
GO:0044839	4	4	0.8	5.13	0.0014439934252656	0.0215529389030389	cell cycle G2/M transition	Cell cycle & division
GO:0007051	11	7	2.1	3.26	0.0016718150952806	0.0244996903053858	spindle organization	Cell cycle & division
GO:0051301	217	60	42.3	1.42	0.0020305218548664	0.0292250109825415	cell division	Cell cycle & division
GO:0045333	20	10	3.9	2.56	0.0021048747665623	0.029757036236134	cellular respiration	Mitochondrial OXPHOS & respiration
GO:0051604	58	21	11.3	1.86	0.0021413251882081	0.029757036236134	protein maturation	Proteostasis (ubiquitin-proteasome)
GO:0030317	37	15	7.2	2.08	0.0025578821283388	0.034943271109171	flagellated sperm motility	Other
GO:0006099	21	10	4.1	2.44	0.0033232125049618	0.0443911817116454	tricarboxylic acid (TCA) cycle	Mitochondrial OXPHOS & respiration
GO:1901796	31	13	6.0	2.15	0.0034364436336371	0.0443911817116454	reg. p53-mediated signal transduction	Proteostasis (ubiquitin-proteasome)
GO:0098869	38	15	7.4	2.02	0.0034763988892886	0.0443911817116454	cellular oxidant detoxification	Oxidative-stress response (Nrf2)
GO:0031146	18	9	3.5	2.56	0.0035248581011728	0.0443911817116454	SCF ubiquitin-dependent catabolism	Proteostasis (ubiquitin-proteasome)
GO:0000070	18	9	3.5	2.56	0.0035248581011728	0.0443911817116454	mitotic sister chromatid segregation	Cell cycle & division
GO:0007059	57	20	11.1	1.8	0.004113484349053	0.0484590105987343	chromosome segregation	Cell cycle & division
GO:1901750	7	5	1.4	3.66	0.00414847609344	0.0484590105987343	leukotriene D4 biosynthesis	Immune / inflammatory
GO:0006123	7	5	1.4	3.66	0.00414847609344	0.0484590105987343	mito electron transport cyt c->O2	Mitochondrial OXPHOS & respiration
GO:0051988	7	5	1.4	3.66	0.00414847609344	0.0484590105987343	reg. spindle attachment to kinetochore	Cell cycle & division
GO:0031204	7	5	1.4	3.66	0.00414847609344	0.0484590105987343	post-translational protein targeting	Translation & ribosome
