trait,tlabel,n_genes
http://www.orpha.net/ORDO/Orphanet_528,Congenital generalized lipodystrophy,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/537dc4b2033bc565c73b,Smoking-fasting glucose interaction; main effect model,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/539d90e3ebf2f1792433,Forward left ventricular stroke volume,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5760e8dc4867dae0e0a3,Complement factor H-related protein 2 levels,5
http://www.orpha.net/ORDO/Orphanet_98644,Metabolic disease with cataract,5
http://www.orpha.net/ORDO/Orphanet_522506,Rare genetic brainstem or cerebellar disorder with ophthalmic involvement as a major feature,5
http://www.orpha.net/ORDO/Orphanet_93440,Slender bone dysplasia,5
http://www.orpha.net/ORDO/Orphanet_84,Fanconi anemia,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/59da78929fb3329e153e,Average oxyhemoglobin desaturation per hypopnea event,5
http://www.orpha.net/ORDO/Orphanet_86834,Juvenile myelomonocytic leukemia,5
http://www.orpha.net/ORDO/Orphanet_98634,Anterior segment developmental anomaly without extraocular manifestations,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0157739e42f51a971b27,End-stage renal disease (ESRD) vs. no ESRD adj HbA1c-BMI in type 1 diabetes,5
http://www.orpha.net/ORDO/Orphanet_98364,Rare constitutional hemolytic anemia due to a red cell membrane anomaly,5
http://www.orpha.net/ORDO/Orphanet_91492,Early onset non-syndromic cataract,5
http://www.orpha.net/ORDO/Orphanet_522584,Rare genetic choroidal disorder,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/58dde071820a292dbcb2,Total weight loss (kg),5
http://www.orpha.net/ORDO/Orphanet_522560,Genetic corneal dystrophy,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/28fa5dcdf5c96b2dbd13,Parental longevity (combined parental attained age; Martingale residuals),5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5454b1d0483bd83abd23,eGFRcreat median annual decline adj diabetes status,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/44b6bb9cbe3234b6cf1a,Allergic rhinitis (recessive model),5
http://www.orpha.net/ORDO/Orphanet_98561,Congenital malformation of the eyelid,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5e9f4612e2aaa604d631,eGFRcreat (serum creatinine) in diabetes,5
http://www.orpha.net/ORDO/Orphanet_98661,Syndromic rod-cone dystrophy,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/25b424c8d4d545160197,Alzheimer's disease or family history of Alzheimer's disease,5
http://www.orpha.net/ORDO/Orphanet_98668,Vitreoretinopathy,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/01089ddb25a124e33d71,End-stage renal disease (ESRD) vs. no ESRD in type 1 diabetes,5
http://www.orpha.net/ORDO/Orphanet_96333,Rare otorhinolaryngological malformation,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/1b5a8ad8b7bc3fe7b790,Severe insulin-resistant type 2 diabetes,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/49d8463d362914f18f27,Intracerebral hemorrhage or small vessel ischemic stroke,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/1bffd1d3089c89ba631f,Sleep midpoint timing; rank-normalized,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/1cb832a245c5e373fb3b,Right ventricular stroke volume,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/1ea355ec121a360063d4,Late diabetic kidney disease (DKD) in type 2 diabetes,5
http://www.orpha.net/ORDO/Orphanet_94145,Autosomal dominant cerebellar ataxia type I,5
http://www.orpha.net/ORDO/Orphanet_98058,Rare urinary tract tumor,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/31fe0616aa37ed29664c,Insp MeanAtten LUL,5
http://www.orpha.net/ORDO/Orphanet_94,Astrocytoma,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/51e5444ee236dab6a538,Parametric Response Mapping: Percent air trapping,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/468005a7f11528c0fe37,Glucose at 60 min at V2,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/460c12f6fde6dbab4823,Square root of wall area for a hypothetical 10-mm internal perimeter airway; Thirona,5
http://www.orpha.net/ORDO/Orphanet_93618,Rare cause of hypertension,5
http://www.orpha.net/ORDO/Orphanet_98097,Autosomal recessive cerebellar ataxia due to a DNA repair defect,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/24a11a610b8fbc1d0caa,Acute insulin response adj SI,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5fe194f971c6f0e74668,Cardiovascular disease in type 2 diabetes (T2D),5
http://www.orpha.net/ORDO/Orphanet_557866,Rare disorder with Hirschsprung disease as a major feature,5
http://www.orpha.net/ORDO/Orphanet_768,Familial long QT syndrome,5
http://purl.obolibrary.org/obo/CHEBI_13705,Acetoacetate,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/3ee92fc9da1f6c76498b,Short sleep duration,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7a3429606935a30d2fab,Coronary artery disease in type 2 diabetes (CAD in T2D),5
http://www.ebi.ac.uk/efo/EFO_0020865,aortic measurement,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/edd3b231d65625258a5a,Any cardiovascular disease (recessive model),5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/aa958b9b7a9713dc170c,Percent emphysema; upper lobes; Thirona,5
http://www.ebi.ac.uk/efo/EFO_0021119,dehydroisoandrosterone sulfate DHEA-S measurement,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/a7055aa583a032f546a1,Right ventricular stroke volume; BSA indexed,5
http://www.orpha.net/ORDO/Orphanet_215,Congenital stationary night blindness,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/eb95531fe2aed877600a,HOMA-IR adjusted for BMI,5
http://www.orpha.net/ORDO/Orphanet_211252,Rare venous malformation,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/eb7a972ae08ceaff8a65,Acute reaction to stress (additive model),5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d9c70460983358952388,Modified Rankin scale score adj stroke severity,5
http://www.orpha.net/ORDO/Orphanet_210159,Adult hepatocellular carcinoma,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7c613bd041ae923f0464,Any cancer,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/a523ac3075c56990c336,Pancreatic cancer,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ea560337d62e4fd0c78e,Aggregate vessel volume; vessels 65-70 mm2,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/dc19a33b31a60e80dc7e,Frequent insomnia symptoms (dominant model),5
http://www.orpha.net/ORDO/Orphanet_206982,Muscular tumor,5
http://www.orpha.net/ORDO/Orphanet_202948,Syndromic microphthalmia-anophthalmia-coloboma,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e9cebf72db28f91a9b7b,Psychiatric disorders,5
http://www.ebi.ac.uk/efo/EFO_0004697,estradiol measurement,5
http://www.orpha.net/ORDO/Orphanet_231169,Usher syndrome type 1,5
http://www.orpha.net/ORDO/Orphanet_242,46;XY complete gonadal dysgenesis,5
http://www.ebi.ac.uk/efo/EFO_0022240,cholesterol to total lipids in small HDL percentage,5
http://purl.obolibrary.org/obo/MONDO_0005277,migraine disorder,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d563ddcff8c6d0eb4dab,lung adenocarcinoma,5
http://www.ebi.ac.uk/efo/EFO_0006782,cups of coffee per day measurement,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b0efa3e7ab68e803afe5,cholelithiasis,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7635a5bacf4c85851eae,Lymphocytic leukemia,5
http://www.ebi.ac.uk/efo/EFO_0006312,mitochondrial DNA measurement,5
http://purl.obolibrary.org/obo/MONDO_0004872,hemorrhoid,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d7494f7066c936c5534c,Extensive basal ganglia perivascular space burden,5
http://purl.obolibrary.org/obo/MONDO_0004952,Hodgkins lymphoma,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f003190f20fb2a654624,Peptic ulcers (dominant model),5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7850d461fb5085665aeb,Area under the curve of insulin at V2 adj fasting insulin at V2,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/efd80cbece0c768df609,Aggregate vessel volume; vessels 40-45 mm2,5
http://www.ebi.ac.uk/efo/EFO_0010820,Spontaneous coronary artery dissection,5
http://www.orpha.net/ORDO/Orphanet_248404,Rare thrombotic disorder due to an acquired platelet anomaly,5
http://www.orpha.net/ORDO/Orphanet_248368,Rare thrombotic disorder due to a platelet anomaly,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8776f0ceb254739d0425,Short-axis pulmonary artery (cm); BSA indexed,5
http://www.orpha.net/ORDO/Orphanet_248296,Constitutional deficiency anemia,5
http://www.orpha.net/ORDO/Orphanet_248293,Rare deficiency anemia,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/aca32095a11c3ed60f56,Oral cavity and pharyngeal cancer,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ac82b606960a0587210d,AF-SNP sex interaction,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e861dcc69d9df0030565,Acute reaction to stress,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7f70ff8fda0c13eb054c,Any osteoarthritis (heterodominant model),5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b398d888699b49237b1e,Lobar intracranial hemorrhage,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e566671b08b60a3ca4ae,Log of fasting insulin at V2,5
http://www.orpha.net/ORDO/Orphanet_1505,Short rib-polydactyly syndrome,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/912ff86a8802a8309369,Focal epilepsy (lesion negative),5
http://www.orpha.net/ORDO/Orphanet_1465,Coffin-Siris syndrome,5
http://www.orpha.net/ORDO/Orphanet_144,Lynch syndrome,5
http://www.orpha.net/ORDO/Orphanet_140957,Autosomal dominant macrothrombocytopenia,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8f3edd08728ee30225b7,Insomnia (ICD defined),5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8dca485874b5b2d4a96c,Early bleeding in pregnancy; ending in live birth,5
http://purl.obolibrary.org/obo/OBA_2050328,trait in response to apixaban,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/85802899253fcd0c801b,Type 2 diabetes with peripheral circulatory manifestations,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/85c9fa74f052b13897e5,Parental longevity (mother's attained age),5
http://www.ebi.ac.uk/efo/EFO_0803544,immature platelet count,5
http://www.orpha.net/ORDO/Orphanet_108979,Syndromic diaphragmatic or abdominal wall malformation,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/85d20b274ab7e08b23a8,NAFLD Activity Score (NAS),5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e3a7962ab7ef43ffff7a,Total monounsaturated fatty acids,5
http://www.orpha.net/ORDO/Orphanet_108971,Non-syndromic visceral malformation,5
http://www.orpha.net/ORDO/Orphanet_104,Leber hereditary optic neuropathy,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8c1ee123794ec50e1c82,Gestational diabetes or abnormal glucose tolerance in pregnancy,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8bfad820bb4053d69216,P-wave duration,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e2cf1eed7087a23294d5,Hip shape mode 7,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9313d36a301a05412a0c,eGFRcreat decline; CKDi25 definition,5
http://www.orpha.net/ORDO/Orphanet_156629,Rare genetic cause of hypertension,5
http://purl.obolibrary.org/obo/MONDO_0019100,Neuromyelitis optica,5
http://www.ebi.ac.uk/efo/EFO_0800400,palmitoyl dihydrosphingomyelin (d18:0/16:0) measurement,5
http://www.ebi.ac.uk/efo/EFO_0022242,cholesterol to total lipids in small VLDL percentage,5
http://www.ebi.ac.uk/efo/EFO_0022257,cholesteryl esters to total lipids in very large HDL percentage,5
http://www.ebi.ac.uk/efo/EFO_0022262,docosahexaenoic acid to total fatty acids percentage,5
http://www.ebi.ac.uk/efo/EFO_0022266,free cholesterol in LDL measurement,5
http://www.ebi.ac.uk/efo/EFO_0022283,free cholesterol to total lipids in medium LDL percentage,5
http://www.orpha.net/ORDO/Orphanet_182114,Rare urogenital tumor,5
http://www.ebi.ac.uk/efo/EFO_0022287,free cholesterol to total lipids in small VLDL percentage,5
http://www.ebi.ac.uk/efo/EFO_0022317,triglycerides in HDL measurement,5
http://www.orpha.net/ORDO/Orphanet_182058,Primary orthostatic hypotension,5
http://www.ebi.ac.uk/efo/EFO_0022338,triglycerides to total lipids in small VLDL percentage,5
http://www.ebi.ac.uk/efo/EFO_0600056,complement factor H-related protein 3 measurement,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e7957313a93feb336ecc,Body mass index (BMI) at birth,5
http://purl.obolibrary.org/obo/OBA_1000031,Neck circumference,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e66114133a6862d361f7,Diurnal inactivity duration; rank-normalized,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/dea3b52249c2b5869fad,CCS phenotypic cardio-aortic embolism major,5
http://www.orpha.net/ORDO/Orphanet_165707,Syndromic urogenital tract malformation,5
http://www.orpha.net/ORDO/Orphanet_158038,Primary hemophagocytic lymphohistiocytosis,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/deb268230106480478cf,Trunk fat ratio,5
http://www.orpha.net/ORDO/Orphanet_158032,Hemophagocytic syndrome,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7511c4e94748c11c01c0,Central serous chorioretinopathy,5
http://www.orpha.net/ORDO/Orphanet_248361,Rare thrombotic disorder due to a constitutional coagulation factors defect,5
http://www.ebi.ac.uk/efo/EFO_1001870,Late-onset Alzheimer's disease,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/6cd984d5c1a9e8eef4bc,Normal lung architecture,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/649da1f5ec84cc3e7e66,Left ventricular end diastole anterior wall thickness,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/bc37e607a18cd62af341,Subcutaneous adipose tissue volume,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/bcbc95b308bc27bf7b43,Short-axis diastolic pulmonary artery (cm); BSA indexed,5
http://www.ebi.ac.uk/efo/EFO_0009928,Diuretic use measurement,5
http://www.orpha.net/ORDO/Orphanet_309450,Disorder of O-xylosylglycan synthesis,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/67599cc8cbd527fb8981,Maternal early gestational weight gain; maternal genotype effect,5
http://purl.obolibrary.org/obo/HP_0002861,Melanoma,5
http://www.ebi.ac.uk/efo/EFO_0009927,Antihypertensive use measurement,5
http://www.orpha.net/ORDO/Orphanet_440437,Familial colorectal cancer Type X,5
http://www.ebi.ac.uk/efo/EFO_0007796,parental longevity,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f76da65670207bc8881d,Log (fasting glucose at V1 - trough glucose) over (time to glucose trough),5
http://www.ebi.ac.uk/efo/EFO_0009863,anxiety measurement,5
http://www.orpha.net/ORDO/Orphanet_309824,Disorder of metabolite absorption and transport,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/bd409d10812e524e0aae,Total tau,5
http://purl.obolibrary.org/obo/HP_0003418,Back pain,5
http://www.ebi.ac.uk/efo/EFO_0007778,urinary albumin to creatinine ratio,5
http://www.ebi.ac.uk/efo/EFO_0007763,dihomo-gamma-linolenic acid measurement,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c169af4cadec1ea60575,Psychiatric disorders (dominant model),5
http://www.ebi.ac.uk/efo/EFO_0009579,Postpartum hemorrhage,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/bf068c2a3284416df516,lymphocyte measurement,5
http://www.orpha.net/ORDO/Orphanet_371071,Congenital disorder of glycosylation with epilepsy as a major feature,5
http://purl.obolibrary.org/obo/HP_0000131,Uterine leiomyoma,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c07246f7d19de06fd759,Brain microbleeds; strictly lobar,5
http://www.orpha.net/ORDO/Orphanet_363300,Genetic intractable diarrhea of infancy,5
http://www.orpha.net/ORDO/Orphanet_3318,Essential thrombocythemia,5
http://www.ebi.ac.uk/efo/EFO_0007654,clinical and behavioural ideal cardiovascular health,5
http://www.ebi.ac.uk/efo/EFO_0009268,Family history of Alzheimer's Disease,5
http://www.orpha.net/ORDO/Orphanet_34533,Corneal dystrophy,5
http://www.orpha.net/ORDO/Orphanet_448426,Genetic primary orthostatic hypotension,5
http://www.ebi.ac.uk/efo/EFO_0009282,Sodium,5
http://www.ebi.ac.uk/efo/EFO_0008380,perceived unattractiveness to mosquitos measurement,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7048df37cc624feeedb5,Peak regurgitant aortic velocity,5
http://www.orpha.net/ORDO/Orphanet_269573,Genetic syndrome with corpus callosum agenesis/dysgenesis as a major feature,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b438538bfe952c2ebbca,Log of insulin at 30 min at V2,5
http://purl.obolibrary.org/obo/HP_0031313,Abdominal aortic calcification,5
http://www.orpha.net/ORDO/Orphanet_271844,Genetic urogenital tumor,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ccdbfa59177f68302f6a,Body mass index (BMI) at 8 years,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7303c72cade54fcf680b,Urinary sodium-to-potassium ratio,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f512599b11e3c2eee9ac,Insulin at 30 min OGTT adj BMI,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f5e0a5397984afc2ac49,Chronic kidney disease (CKD) and diabetic nephropathy in type 2 diabetes,5
http://www.orpha.net/ORDO/Orphanet_459787,Lethal multiple congenital anomalies/dysmorphic syndrome,5
http://www.ebi.ac.uk/efo/EFO_0006832,Disposition index,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b661bed7cdf66bbd7a58,Ganglion cell inner plexiform layer (GCIPL) thickness,5
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9a307a32423e5be14613,Hypertrophic cardiomyopathy,4
http://www.ebi.ac.uk/efo/EFO_0004617,cystatin C measurement,4
http://www.ebi.ac.uk/efo/EFO_0803541,immature platelet measurement,4
http://www.ebi.ac.uk/efo/EFO_0007760,eicosapentaenoic acid measurement,4
http://www.ebi.ac.uk/efo/EFO_0800281,21-hydroxypregnenolone disulfate measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/88937649daf022139324,Daytime napping (usually vs. never/rarely/sometimes),4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c2346efd027e9eb06c8e,partial thromboplastin time,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/08c2b9a185c96be027f1,Head circumference at 6-30 months,4
http://www.ebi.ac.uk/efo/EFO_0009132,cholesterol efflux capacity measurement,4
http://www.ebi.ac.uk/efo/EFO_0004645,response to vaccine,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e151424f4fcb0571bd77,Glucose at 120 min at V1,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/20396ec7dc8434eb2af7,mucocutaneous lymph node syndrome,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/1b403fb22ca5e59f520d,eGFRcreat median annual decline in individuals with diabetes,4
http://www.orpha.net/ORDO/Orphanet_95494,Combined pituitary hormone deficiencies; genetic forms,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/dcb26f55fe23bd499450,immature platelet fraction,4
http://www.orpha.net/ORDO/Orphanet_93430,Multiple metaphyseal dysplasia,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e1de8b4bf55ae9ed45d8,TOAST small artery occlusion,4
http://www.orpha.net/ORDO/Orphanet_93426,Ciliopathies with major skeletal involvement,4
http://www.ebi.ac.uk/efo/EFO_0009180,rosacea severity measurement,4
http://www.ebi.ac.uk/efo/EFO_0009183,empathy measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0906daa8bd9b19058399,Pancreas iron content,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c81f1fbfcd2e52f9b34c,nephrolithiasis,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/975f28d70a6e377bbee7,Chronic kidney disease in diabetes,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c27b377780781865ed98,Insulin sensitivity adj BMI,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/895500124afe754d1998,HOMA-B at V2 minus HOMA-B at V1,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c3735420cbc92d67c045,Non-lobar intracerebral hemorrhage or small vessel ischemic stroke,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8cac814b587f2bc63d4c,family history of Alzheimers disease,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/00173a5dd9807f4365f0,Net left ventricular stroke volume,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8c7c9c03f9520367fd21,Dietary carbohydrate intake,4
http://www.ebi.ac.uk/efo/EFO_0803332,S-6-hydroxywarfarin to S-warfarin ratio measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8f2adf7a21b8bebf72fb,Pediatric steroid-sensitive nephrotic syndrome,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/07eff27c573d15ad0e3a,End-stage renal disease (ESRD) vs. controls in type 2 diabetes (T2D),4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/00c4d8451e973aeffced,Posterior urethral valves,4
http://www.orpha.net/ORDO/Orphanet_93614,Hematological disorder with renal involvement,4
http://www.orpha.net/ORDO/Orphanet_93619,Rare renal tumor,4
http://www.ebi.ac.uk/efo/EFO_0008328,chronotype measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c6a4caa130b2b8e07548,End-stage renal disease (ESRD) vs. macroalbuminuria adj HbA1c-BMI in type 1 diabetes,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/91649c9636deb0bd1105,prostate cancer,4
http://www.ebi.ac.uk/efo/EFO_0008002,physical activity measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c6b09982b6e1c6f95f26,Low hand grip strength (FNIH definition),4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c3657e78a340e5276936,Airway wall area percent in COPD,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/92a5b2e95188278e1651,Intrinsic epigenetic age acceleration,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e014282938c6143f323e,Insulin secretion rate adj BMI,4
http://www.orpha.net/ORDO/Orphanet_99408,Pituitary adenoma,4
http://www.ebi.ac.uk/efo/EFO_0803545,immature reticulocyte measurement,4
http://www.orpha.net/ORDO/Orphanet_98995,Early-onset zonular cataract,4
http://www.ebi.ac.uk/efo/EFO_0007959,fetal genotype effect measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/01d4ab6850137ac8e81d,Daytime dozing (often/all the time vs. never/rarely/sometimes),4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c2cbc47b059c03f76893,Chronotype (binary sMEQ score),4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/cdba3a901989f56352a0,Proliferative diabetic retinopathy vs no DR acct DoD-GC,4
http://www.ebi.ac.uk/efo/EFO_0007869,wellbeing measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b41e526ff469508de40c,Clonal haematopoiesis of indeterminate potential (without mosaic chromosomal alteration),4
http://www.orpha.net/ORDO/Orphanet_98737,Genetic neurological muscular channelopathy,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0d37069c36097e6116bd,Geographic atrophy,4
http://www.ebi.ac.uk/efo/EFO_0005194,amyloid-beta measurement,4
http://www.ebi.ac.uk/efo/EFO_0010089,bitter beverage consumption measurement,4
http://www.ebi.ac.uk/efo/EFO_0010093,bitter non-alcoholic beverage consumption measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0cc97b3c73bad09d3698,Capric acid,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ba7562000cf259caf06d,Log of insulin at 180 min at V1,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0d0c77763b12eb73c513,Youth-onset type 2 diabetes (T2D),4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0d1d03fde155c694e8e5,End-stage renal disease (ESRD) vs. macroalbuminuria in type 2 diabetes (T2D),4
http://www.orpha.net/ORDO/Orphanet_98574,Syndromic epicanthus,4
http://www.orpha.net/ORDO/Orphanet_98261,Progressive myoclonic epilepsy,4
http://www.ebi.ac.uk/efo/EFO_0020099,Weight-to-muscle ratio,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/12abdbb71d8863a0c04a,Prostate cancer,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/accac8137a2a3444960e,Age of type 1 diabetes onset,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ad8517b1d7bc324e63d7,Hernia abdominopelvic cavity (heterodominant model),4
http://www.ebi.ac.uk/efo/EFO_0010989,acetone measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b65809b20ac722c2f580,visual perception measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/142c31b44ea108cb404a,Left atrial passive emptying fraction,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/4abc6b2bbdccebba3685,Predicted COVID-19 vs predicted COVID-19 negative,4
http://www.orpha.net/ORDO/Orphanet_98313,Male infertility due to gonadal dysgenesis,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ae9612329715228c0c0f,Aneurysmal subarachnoid hemorrhage,4
http://www.orpha.net/ORDO/Orphanet_98369,Rare constitutional hemolytic anemia due to an enzyme disorder,4
http://www.ebi.ac.uk/efo/EFO_0006809,Docosapentaenoic acid (DPA),4
http://www.orpha.net/ORDO/Orphanet_98372,Hemolytic anemia due to a disorder of glycolytic enzymes,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0d9cf5ec4c8bba8df87e,eGFRcreat relative annualized decline in individuals without diabetes,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/4b12df0b51192f983d2d,Pancreas fat,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b16ce0ba9a9a81be2f58,Hip shape mode 3,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d69f5aa6b457008f66ee,Non-ischemic heart failure,4
http://www.ebi.ac.uk/efo/EFO_0006514,Alzheimer's disease biomarker measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d616164c9fa5202c7b27,Short-axis pulmonary artery strain (cm),4
http://www.orpha.net/ORDO/Orphanet_98503,Motor neuron disease,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b327b6bec77a4e8478e4,Any cardiovascular disease (heterodominant model),4
http://www.orpha.net/ORDO/Orphanet_98249,Ehlers-Danlos syndrome,4
http://www.ebi.ac.uk/efo/EFO_0005134,amino acid measurement,4
http://www.ebi.ac.uk/efo/EFO_0007710,cognitive decline measurement,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/a618cbbb27efb217dd87,Insomnia in Parkinson's disease,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9bf7d28aa2b677715a48,Wall area percent; segmental (main 6); Thirona,4
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0aabe726ebcbda421565,hyperthyroidism,4
http://www.ebi.ac.uk/efo/EFO_0004730,hormone measurement,4
