sym,rhsa,pwLabel
CCND1,R-HSA-8853884,Transcriptional Regulation by VENTX
CEBPB,R-HSA-8853884,Transcriptional Regulation by VENTX
EGF,R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis
LDLR,R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis
ADRB2,R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis
LDLR,R-HSA-8856828,Clathrin-mediated endocytosis
EGF,R-HSA-8856828,Clathrin-mediated endocytosis
ADRB2,R-HSA-8856828,Clathrin-mediated endocytosis
HIF1A,R-HSA-8857538,PTK6 promotes HIF1A stabilization
BCL2L11,R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
FOXO3,R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
JUN,R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
EGF,R-HSA-8863795,Downregulation of ERBB2 signaling
HGF,R-HSA-8865999,MET activates PTPN11
ESR1,R-HSA-8866910,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
MYC,R-HSA-8866911,TFAP2 (AP-2) family regulates transcription of cell cycle factors
CDKN1A,R-HSA-8866911,TFAP2 (AP-2) family regulates transcription of cell cycle factors
COL3A1,R-HSA-8874081,MET activates PTK2 signaling
COL1A1,R-HSA-8874081,MET activates PTK2 signaling
SRC,R-HSA-8874081,MET activates PTK2 signaling
HGF,R-HSA-8874081,MET activates PTK2 signaling
CREB3,R-HSA-8874211,CREB3 factors activate genes
HGF,R-HSA-8875513,MET interacts with TNS proteins
HGF,R-HSA-8875555,MET activates RAP1 and RAC1
HGF,R-HSA-8875656,MET receptor recycling
HGF,R-HSA-8875791,MET activates STAT3
SRC,R-HSA-8876493,InlA-mediated entry of Listeria monocytogenes into host cells
IL2,R-HSA-8877330,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)
CCND1,R-HSA-8878166,Transcriptional regulation by RUNX2
CDKN1A,R-HSA-8878166,Transcriptional regulation by RUNX2
BAX,R-HSA-8878166,Transcriptional regulation by RUNX2
ESR1,R-HSA-8931987,RUNX1 regulates estrogen receptor mediated transcription
SRC,R-HSA-8934593,Regulation of RUNX1 Expression and Activity
CCND1,R-HSA-8934593,Regulation of RUNX1 Expression and Activity
SRC,R-HSA-8934903,Receptor Mediated Mitophagy
H2AX,R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function
AHR,R-HSA-8937144,Aryl hydrocarbon receptor signalling
ESR1,R-HSA-8939211,ESR-mediated signaling
ESR2,R-HSA-8939211,ESR-mediated signaling
H2AX,R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs
ESR1,R-HSA-8939256,RUNX1 regulates transcription of genes involved in WNT signaling
ESR1,R-HSA-8939902,Regulation of RUNX2 expression and activity
NR3C1,R-HSA-8939902,Regulation of RUNX2 expression and activity
ESRRA,R-HSA-8939902,Regulation of RUNX2 expression and activity
COL1A1,R-HSA-8940973,RUNX2 regulates osteoblast differentiation
SRC,R-HSA-8940973,RUNX2 regulates osteoblast differentiation
AR,R-HSA-8940973,RUNX2 regulates osteoblast differentiation
TP53,R-HSA-8941855,RUNX3 regulates CDKN1A transcription
TGFB1,R-HSA-8941855,RUNX3 regulates CDKN1A transcription
CDKN1A,R-HSA-8941855,RUNX3 regulates CDKN1A transcription
TGFB1,R-HSA-8941858,Regulation of RUNX3 expression and activity
SRC,R-HSA-8941858,Regulation of RUNX3 expression and activity
PTEN,R-HSA-8943723,Regulation of PTEN mRNA translation
TP53,R-HSA-8943724,Regulation of PTEN gene transcription
JUN,R-HSA-8943724,Regulation of PTEN gene transcription
PPARG,R-HSA-8943724,Regulation of PTEN gene transcription
EGR1,R-HSA-8943724,Regulation of PTEN gene transcription
COL3A1,R-HSA-8948216,Collagen chain trimerization
COL4A1,R-HSA-8948216,Collagen chain trimerization
COL1A1,R-HSA-8948216,Collagen chain trimerization
PTEN,R-HSA-8948747,Regulation of PTEN localization
PTEN,R-HSA-8948751,Regulation of PTEN stability and activity
RORC,R-HSA-8949275,RUNX3 Regulates Immune Response and Cell Migration
GSTA2,R-HSA-8950505,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
MYC,R-HSA-8951430,RUNX3 regulates WNT signaling
CCND1,R-HSA-8951430,RUNX3 regulates WNT signaling
NFE2L2,R-HSA-8951664,Neddylation
HIF1A,R-HSA-8951664,Neddylation
CDKN1A,R-HSA-8951664,Neddylation
TGFB1,R-HSA-8951936,RUNX3 regulates p14-ARF
CCND1,R-HSA-8951936,RUNX3 regulates p14-ARF
FOXO3,R-HSA-8952158,RUNX3 regulates BCL2L11 (BIM) transcription
BCL2L11,R-HSA-8952158,RUNX3 regulates BCL2L11 (BIM) transcription
TIMP1,R-HSA-8957275,Post-translational protein phosphorylation
CSF1,R-HSA-8957275,Post-translational protein phosphorylation
IGFBP1,R-HSA-8957275,Post-translational protein phosphorylation
IL6,R-HSA-8957275,Post-translational protein phosphorylation
LPL,R-HSA-8963889,Assembly of active LPL and LIPC lipase complexes
LPL,R-HSA-8963901,Chylomicron remodeling
LDLR,R-HSA-8964026,Chylomicron clearance
LDLR,R-HSA-8964038,LDL clearance
PTEN,R-HSA-8986944,Transcriptional Regulation by MECP2
EGF,R-HSA-9009391,Extra-nuclear estrogen signaling
ESR1,R-HSA-9009391,Extra-nuclear estrogen signaling
SRC,R-HSA-9009391,Extra-nuclear estrogen signaling
MMP3,R-HSA-9009391,Extra-nuclear estrogen signaling
MMP9,R-HSA-9009391,Extra-nuclear estrogen signaling
PIK3CA,R-HSA-9009391,Extra-nuclear estrogen signaling
ESR2,R-HSA-9009391,Extra-nuclear estrogen signaling
PIK3CA,R-HSA-9013149,RAC1 GTPase cycle
PIK3CA,R-HSA-9013404,RAC2 GTPase cycle
SRC,R-HSA-9013420,RHOU GTPase cycle
EGF,R-HSA-9013507,NOTCH3 Activation and Transmission of Signal to the Nucleus
ESR1,R-HSA-9018519,Estrogen-dependent gene expression
FOS,R-HSA-9018519,Estrogen-dependent gene expression
MYC,R-HSA-9018519,Estrogen-dependent gene expression
SP1,R-HSA-9018519,Estrogen-dependent gene expression
PGR,R-HSA-9018519,Estrogen-dependent gene expression
JUN,R-HSA-9018519,Estrogen-dependent gene expression
POU2F1,R-HSA-9018519,Estrogen-dependent gene expression
CCND1,R-HSA-9018519,Estrogen-dependent gene expression
H2AX,R-HSA-9018519,Estrogen-dependent gene expression
CYP1A1,R-HSA-9018681,Biosynthesis of protectins
CYP1A2,R-HSA-9018681,Biosynthesis of protectins
IL2,R-HSA-9020558,Interleukin-2 signaling
OPRM1,R-HSA-9022699,MECP2 regulates neuronal receptors and channels
PPARG,R-HSA-9022707,MECP2 regulates transcription factors
PIK3CA,R-HSA-9027276,Erythropoietin activates Phosphoinositide-3-kinase (PI3K)
CYP2E1,R-HSA-9027307,Biosynthesis of maresin-like SPMs
CYP2C9,R-HSA-9027307,Biosynthesis of maresin-like SPMs
CYP1A2,R-HSA-9027307,Biosynthesis of maresin-like SPMs
CYP3A4,R-HSA-9027307,Biosynthesis of maresin-like SPMs
PIK3CA,R-HSA-9028335,Activated NTRK2 signals through PI3K
RXRB,R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis
SREBF1,R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis
RXRA,R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis
FASN,R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis
RXRB,R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
RXRA,R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
RXRB,R-HSA-9031525,NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake 
RXRA,R-HSA-9031525,NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake 
RXRB,R-HSA-9031528,NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose
RXRA,R-HSA-9031528,NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose
FOS,R-HSA-9031628,NGF-stimulated transcription
F3,R-HSA-9031628,NGF-stimulated transcription
EGR1,R-HSA-9031628,NGF-stimulated transcription
SRC,R-HSA-9032500,Activated NTRK2 signals through FYN
CAT,R-HSA-9033241,Peroxisomal protein import
ACOX1,R-HSA-9033241,Peroxisomal protein import
ACOX1,R-HSA-9033500,TYSND1 cleaves peroxisomal proteins
EGR1,R-HSA-909733,Interferon alpha/beta signaling
H2AX,R-HSA-912446,Meiotic recombination
IL2,R-HSA-912526,Interleukin receptor SHC signaling
PIK3CA,R-HSA-912526,Interleukin receptor SHC signaling
PIK3CA,R-HSA-912631,Regulation of signaling by CBL
ABCG2,R-HSA-917937,Iron uptake and transport
SRC,R-HSA-9603381,Activated NTRK3 signals through PI3K
PIK3CA,R-HSA-9603381,Activated NTRK3 signals through PI3K
BAX,R-HSA-9603505,NTRK3 as a dependence receptor
BCL2L11,R-HSA-9607240,FLT3 Signaling
FOXO3,R-HSA-9607240,FLT3 Signaling
PIK3CA,R-HSA-9607240,FLT3 Signaling
FOXO3,R-HSA-9614399,Regulation of localization of FOXO transcription factors
FOXO1,R-HSA-9614399,Regulation of localization of FOXO transcription factors
FOXO3,R-HSA-9614657,FOXO-mediated transcription of cell death genes
BCL2L11,R-HSA-9614657,FOXO-mediated transcription of cell death genes
DDIT3,R-HSA-9614657,FOXO-mediated transcription of cell death genes
FOXO1,R-HSA-9614657,FOXO-mediated transcription of cell death genes
CAT,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
NR3C1,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
FOXO3,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
IGFBP1,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
SREBF1,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
FOXO1,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
SIRT3,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
MYC,R-HSA-9616222,Transcriptional regulation of granulopoiesis
IL6R,R-HSA-9616222,Transcriptional regulation of granulopoiesis
RARA,R-HSA-9616222,Transcriptional regulation of granulopoiesis
CEBPB,R-HSA-9616222,Transcriptional regulation of granulopoiesis
H2AX,R-HSA-9616222,Transcriptional regulation of granulopoiesis
RXRA,R-HSA-9616222,Transcriptional regulation of granulopoiesis
CDKN1A,R-HSA-9616222,Transcriptional regulation of granulopoiesis
FOXO3,R-HSA-9617629,Regulation of FOXO transcriptional activity by acetylation
FOXO1,R-HSA-9617629,Regulation of FOXO transcriptional activity by acetylation
SIRT3,R-HSA-9617629,Regulation of FOXO transcriptional activity by acetylation
FOXO3,R-HSA-9617828,FOXO-mediated transcription of cell cycle genes
CDKN1A,R-HSA-9617828,FOXO-mediated transcription of cell cycle genes
FOXO1,R-HSA-9617828,FOXO-mediated transcription of cell cycle genes
PRKAA1,R-HSA-9619483,Activation of AMPK downstream of NMDARs
SRC,R-HSA-9620244,Long-term potentiation
RXRB,R-HSA-9623433,NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis
RXRA,R-HSA-9623433,NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis
RXRB,R-HSA-9632974,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis 
RXRA,R-HSA-9632974,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis 
CEBPB,R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency
DDIT3,R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency
SRC,R-HSA-9634597,GPER1 signaling
FOS,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
EGF,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
FOXO3,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
CCND1,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
COL4A1,R-HSA-9638630,Attachment of bacteria to epithelial cells
HSF1,R-HSA-9646399,Aggrephagy
CEBPB,R-HSA-9648895,Response of EIF2AK1 (HRI) to heme deficiency
DDIT3,R-HSA-9648895,Response of EIF2AK1 (HRI) to heme deficiency
SRC,R-HSA-9649948,Signaling downstream of RAS mutants
SRC,R-HSA-9656223,Signaling by RAF1 mutants
IL6,R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production
CCND1,R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)"
CDKN1A,R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)"
EZR,R-HSA-9662360,Sensory processing of sound by inner hair cells of the cochlea
EZR,R-HSA-9662361,Sensory processing of sound by outer hair cells of the cochlea
IL6,R-HSA-9662834,CD163 mediating an anti-inflammatory response
SRC,R-HSA-9664323,FCGR3A-mediated IL10 synthesis
SRC,R-HSA-9664422,FCGR3A-mediated phagocytosis
EGF,R-HSA-9664565,Signaling by ERBB2 KD Mutants
PIK3CA,R-HSA-9664565,Signaling by ERBB2 KD Mutants
EGF,R-HSA-9665348,Signaling by ERBB2 ECD mutants
PIK3CA,R-HSA-9665348,Signaling by ERBB2 ECD mutants
EGF,R-HSA-9665686,Signaling by ERBB2 TMD/JMD mutants
H2AX,R-HSA-9670095,Inhibition of DNA recombination at telomere
SRC,R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants"
PIK3CA,R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants"
JUN,R-HSA-9673324,WNT5:FZD7-mediated leishmania damping
PIK3CA,R-HSA-9673767,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants"
KDR,R-HSA-9673768,Signaling by membrane-tethered fusions of PDGFRA or PDGFRB
PIK3CA,R-HSA-9673770,Signaling by PDGFRA extracellular domain mutants
NR3C1,R-HSA-9679191,Potential therapeutics for SARS
IL6R,R-HSA-9679191,Potential therapeutics for SARS
NFE2L2,R-HSA-9679191,Potential therapeutics for SARS
CSF1,R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells
SRC,R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells
PIK3CA,R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells
HIF1A,R-HSA-9701898,STAT3 nuclear events downstream of ALK signaling
CDKN1A,R-HSA-9702518,STAT5 activation downstream of FLT3 ITD mutants
PIK3CA,R-HSA-9703465,Signaling by FLT3 fusion proteins
CDKN1A,R-HSA-9703465,Signaling by FLT3 fusion proteins
PIK3CA,R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants
IL17A,R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses
HTR7,R-HSA-9706019,RHOBTB3 ATPase cycle
FABP1,R-HSA-9707564,Cytoprotection by HMOX1
RXRA,R-HSA-9707564,Cytoprotection by HMOX1
PPARA,R-HSA-9707564,Cytoprotection by HMOX1
NFE2L2,R-HSA-9707587,Regulation of HMOX1 expression and activity
RORA,R-HSA-9707616,Heme signaling
RXRA,R-HSA-9707616,Heme signaling
PPARA,R-HSA-9707616,Heme signaling
NFE2L2,R-HSA-9707616,Heme signaling
H2AX,R-HSA-9710421,Defective pyroptosis
TP53,R-HSA-9723905,Loss of function of TP53 in cancer due to loss of tetramerization ability
TP53,R-HSA-9725370,Signaling by ALK fusions and activated point mutants
JUN,R-HSA-9725370,Signaling by ALK fusions and activated point mutants
CDKN1A,R-HSA-9725370,Signaling by ALK fusions and activated point mutants
PIK3CA,R-HSA-9725370,Signaling by ALK fusions and activated point mutants
CEBPB,R-HSA-9725371,Nuclear events stimulated by ALK signaling in cancer
EGF,R-HSA-9725554,Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin
ABCG2,R-HSA-9725554,Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin
HGF,R-HSA-9734091,Drug-mediated inhibition of MET activation
SP1,R-HSA-9735871,SARS-CoV-1 targets host intracellular signalling and regulatory pathways
GSTA2,R-HSA-9748787,Azathioprine ADME
ABCC3,R-HSA-9749641,Aspirin ADME
CYP2E1,R-HSA-9749641,Aspirin ADME
CYP2C9,R-HSA-9749641,Aspirin ADME
CYP3A4,R-HSA-9749641,Aspirin ADME
CYP2C19,R-HSA-9749641,Aspirin ADME
UGT1A1,R-HSA-9749641,Aspirin ADME
ABCC3,R-HSA-9753281,Paracetamol ADME
CYP2E1,R-HSA-9753281,Paracetamol ADME
UGT1A1,R-HSA-9753281,Paracetamol ADME
ABCG2,R-HSA-9753281,Paracetamol ADME
CCND1,R-HSA-9754119,Drug-mediated inhibition of CDK4/CDK6 activity
CYP3A4,R-HSA-9754706,Atorvastatin ADME
SLCO1B1,R-HSA-9754706,Atorvastatin ADME
ADK,R-HSA-9755088,Ribavirin ADME
NFE2L2,R-HSA-9755511,KEAP1-NFE2L2 pathway
CDKN1A,R-HSA-9755511,KEAP1-NFE2L2 pathway
LDLR,R-HSA-975634,Retinoid metabolism and transport
LPL,R-HSA-975634,Retinoid metabolism and transport
CYP3A4,R-HSA-9757110,Prednisone ADME
TP53,R-HSA-9758274,Regulation of NF-kappa B signaling
SHH,R-HSA-9758920,Formation of lateral plate mesoderm
NFE2L2,R-HSA-9759194,Nuclear events mediated by NFE2L2
FGF2,R-HSA-9761174,Formation of intermediate mesoderm
NFE2L2,R-HSA-9762114,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2
SP1,R-HSA-9762293,Regulation of CDH11 gene transcription
ACTA1,R-HSA-9764561,Regulation of CDH1 Function
MYC,R-HSA-9764562,Regulation of CDH1 mRNA translation by microRNAs
H2AX,R-HSA-9764725,Negative Regulation of CDH1 Gene Transcription
SP1,R-HSA-9764790,Positive Regulation of CDH1 Gene Transcription
SRC,R-HSA-9766229,Degradation of CDH1
NR3C1,R-HSA-9768777,Regulation of NPAS4 gene transcription
FOS,R-HSA-9768919,NPAS4 regulates expression of target genes
H2AX,R-HSA-977225,Amyloid fiber formation
SLC22A1,R-HSA-9793528,Ciprofloxacin ADME
ABCG2,R-HSA-9793528,Ciprofloxacin ADME
SHH,R-HSA-9796292,Formation of axial mesoderm
NFE2L2,R-HSA-9818025,NFE2L2 regulating TCA cycle genes
CCL2,R-HSA-9818026,NFE2L2 regulating inflammation associated genes
NFE2L2,R-HSA-9818026,NFE2L2 regulating inflammation associated genes
NQO1,R-HSA-9818027,NFE2L2 regulating anti-oxidant/detoxification enzymes
NFE2L2,R-HSA-9818027,NFE2L2 regulating anti-oxidant/detoxification enzymes
NFE2L2,R-HSA-9818028,NFE2L2 regulates pentose phosphate pathway genes
EGF,R-HSA-9818030,NFE2L2 regulating tumorigenic genes
SP1,R-HSA-9818030,NFE2L2 regulating tumorigenic genes
NFE2L2,R-HSA-9818030,NFE2L2 regulating tumorigenic genes
ABCC3,R-HSA-9818032,NFE2L2 regulating MDR associated enzymes
ABCG2,R-HSA-9818032,NFE2L2 regulating MDR associated enzymes
NFE2L2,R-HSA-9818032,NFE2L2 regulating MDR associated enzymes
NFE2L2,R-HSA-9818035,NFE2L2 regulating ER-stress associated genes
MYC,R-HSA-9818749,Regulation of NFE2L2 gene expression
NFE2L2,R-HSA-9818749,Regulation of NFE2L2 gene expression
TP53,R-HSA-9819196,Zygotic genome activation (ZGA)
H2AX,R-HSA-9821002,Chromatin modifications during the maternal to zygotic transition (MZT)
H2AX,R-HSA-9821993,Replacement of protamines by nucleosomes in the male pronucleus
PAX6,R-HSA-9823739,Formation of the anterior neural plate
CCND1,R-HSA-9825892,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation
CDKN1A,R-HSA-9825892,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation
FGF2,R-HSA-9830364,Formation of the nephric duct
HNF4A,R-HSA-9831926,Nephron development
TP53,R-HSA-983231,Factors involved in megakaryocyte development and platelet production
TP53,R-HSA-9833482,PKR-mediated signaling
HSPA1A,R-HSA-9833482,PKR-mediated signaling
HMGCS2,R-HSA-9837999,Mitochondrial protein degradation
TIMP1,R-HSA-9839383,TGFBR3 PTM regulation
TGFB1,R-HSA-9839389,TGFBR3 regulates TGF-beta signaling
SP1,R-HSA-9839394,TGFBR3 expression
RARA,R-HSA-9839394,TGFBR3 expression
RXRA,R-HSA-9839394,TGFBR3 expression
FGF2,R-HSA-9839397,TGFBR3 regulates FGF2 signaling
FOXO3,R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt)
CAT,R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt)
ESR1,R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt)
HSPA1A,R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt)
NRF1,R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt)
SIRT3,R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt)
HSF1,R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt)
LPL,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
RXRA,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
PPARG,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
H2AX,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
PDK4,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
PIK3CA,R-HSA-9842640,Signaling by LTK in cancer
PIK3CA,R-HSA-9842663,Signaling by LTK
H2AX,R-HSA-9843940,Regulation of endogenous retroelements by KRAB-ZFP proteins
H2AX,R-HSA-9843970,Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex
PPARG,R-HSA-9844594,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2
RXRA,R-HSA-9844594,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2
PPARA,R-HSA-9844594,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2
H2AX,R-HSA-9845323,Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)
COL1A1,R-HSA-9845619,Enhanced cleavage of VWF variant by ADAMTS13
COL1A1,R-HSA-9845620,Enhanced binding of GP1BA variant to VWF multimer:collagen 
COL1A1,R-HSA-9845621,Defective VWF cleavage by ADAMTS13 variant
COL1A1,R-HSA-9845622,Defective VWF binding to collagen type I 
COL1A1,R-HSA-9846298,Defective binding of VWF variant to GPIb:IX:V
SDHB,R-HSA-9854311,Maturation of TCA enzymes and regulation of TCA cycle
SIRT3,R-HSA-9854311,Maturation of TCA enzymes and regulation of TCA cycle
KDR,R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
PIK3CA,R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
CSF1,R-HSA-9856649,Transcriptional and post-translational regulation of MITF-M expression and activity
ATF6,R-HSA-9909505,Modulation of host responses by IFN-stimulated genes
ACTA1,R-HSA-9913351,Formation of the dystrophin-glycoprotein complex (DGC)
COL3A1,R-HSA-9925563,Developmental Lineage of Pancreatic Ductal Cells
COL1A1,R-HSA-9925563,Developmental Lineage of Pancreatic Ductal Cells
SERPINE1,R-HSA-9926550,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition"
PIK3CA,R-HSA-9927354,Co-stimulation by ICOS
EGF,R-HSA-9927432,Developmental Lineage of Mammary Gland Myoepithelial Cells
RXRA,R-HSA-9931509,"Expression of BMAL (ARNTL), CLOCK, and NPAS2"
RORA,R-HSA-9931509,"Expression of BMAL (ARNTL), CLOCK, and NPAS2"
RORC,R-HSA-9931509,"Expression of BMAL (ARNTL), CLOCK, and NPAS2"
PPARA,R-HSA-9931509,"Expression of BMAL (ARNTL), CLOCK, and NPAS2"
RORA,R-HSA-9931510,Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes
RORC,R-HSA-9931510,Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes
RORA,R-HSA-9933387,"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression"
SREBF1,R-HSA-9933387,"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression"
RXRA,R-HSA-9933387,"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression"
PPARA,R-HSA-9933387,"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression"
RORC,R-HSA-9933387,"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression"
EGF,R-HSA-9937080,Developmental Lineage of Multipotent Pancreatic Progenitor Cells
FGF2,R-HSA-9937080,Developmental Lineage of Multipotent Pancreatic Progenitor Cells
SHH,R-HSA-9937080,Developmental Lineage of Multipotent Pancreatic Progenitor Cells
